product,verified,rating,date,author,content,title
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,4,23 Aug 2020,preshusmom83,Had to call Arlo support several times for different issues. Spent excessive amount of time on hold and also with support troubleshooting issues.,No directions in box
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,4,23 May 2020,Plan9Shopper,"The primary reason I purchased a 2 camera Arlo Pro 3 system was its convenience in setup and use, plus the fact I got this on sale ($399+ tax.) Wireless camera connectivity is a definite plus and is a breeze, even if you're electrically challenged (like me.) Communication of alerts via cellphone notifications is extremely handy, especially if you're not home. They throw in 3 mo free phone alert service; after that, it runs around $10/mo. In addition, you get up to 2K color video feeds (even at night) due to a motion sensitive optional light which also acts as a deterrent for would-be criminals. Videos are downloadable via SmartHub to USB drive, or can be saved on your phone. Each saved video is available for 30 days, and you can mark favorites or delete feeds if you want.

My 2 camera package contained:
(2) Arlo Pro 3 cameras
(1) SmartHub 
(1) Magnetic charging cable (very short! - 3')
(2) Rechargeable batteries
(1) USB power adapter
(1) Ethernet cable (for SmartHub)
(1) Adjustable stationary camera mount
(1) Magnetic camera mount
(1) Quick start guide (far too brief!)
(1) Video monitoring guide (I don't remember the contents of this one, but it was much longer than the setup guide!)
They provide a link for Arlo Smart (the free monitoring software that runs on your phone) which you pick up from Google Play, etc.

Now for the cons. Idk if it's Arlo or my internet connection, but I'm not receiving audio with my text alerts every time. In fact, audio rarely accompanies my texts. Maybe it's due to people overtaxing broadband signals due to the current Covid-19 situation, but it's frustrating when lower priority videos come in with sound and more important ones don't. I must say that Arlo support has been trying to resolve this, and they've been very friendly and helpful with my issue (I've seen other reviews with people complaining about rude service.)
Something that irks me about Arlo is how stingy they are about including enough accessories in their already pricey systems. They provide only the bare minimum, then charge an arm and a leg for accessories you'll probably want. For example, the magnetic cable is puny (3'), so I bought solar panel chargers at $79 ea. The package also only contains one camera mount of each type. Additional mounts run around $40 for a pkg of 2 magnetic, and a lesser sum for standard mounts. Longer magnetic cable runs $50 for 25'. Anyway, you get the idea...
There are also 3 viewing modes, and if you want your camera(s) to zoom in on whatever triggered the event you'll have to downgrade your quality to 1080dpi, thereby losing 30% of your peripheral scope (from 160->120 degree radius.) Still, you'll be able to capture motion, depending on where you place your cameras, that is. These cameras are more accurate when motion happens from side to side, rather than when objects are coming towards or going away from them. There is a problem capturing all the action in some video feeds, however. This is more common with my camera with higher resolution than the other (2k vs. 1080dpi) and is probably more of a bandwidth issue.
You will need to hook up the SmartHub directly to your home router/modem with the supplied ethernet cable for optimum connection during setup. (I first tried connecting it to a switch in my home network, but it wasn't recognized.)
I've also read reviews saying that their cameras only need recharging every couple months or so. That's not the case here. I find myself recharging my cameras every 7-10 days, and I don't live on a busy street. I haven't installed my solar panels yet because we've had hail in our area recently, but I'm hoping they'll keep my cameras charged once I do set them up.

At any rate, I'm pleased with my purchase for the most part. I even bought a 3rd camera lately, so I'm committed to this system. (Maybe I should be committed for spending so much!)","Sleek, modern design for home security"
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,5,23 Oct 2020,Scionxb08,"Great upgrade. I had the gen one Arlo set-up but, needed four cameras to take care of the viewing areas. They were good but the constant need to buy expensive batteries out weighed their benefit. Caught these on sale so that helped encouraged my purchase. These have rechargeable batteries, a microphone, and a spotlight. So I am very happy with my purchase.",Great upgrade from the original
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,5,23 Oct 2020,Bert,"Arlo provides peace of mind. Long battery life, on the spot notifications of movement and accurate depictions of movement.",Great Camera System.
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,4,23 Sep 2020,Homeusebuyer,"the only drawback is that you have to subscribe to Monthly service to record. Kind of scammy that way, but good cameras.",Pretty good home cameras
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,5,23 Oct 2020,Junior,No so easy to use or setup did not loke retufned to store need to pay for subscription yearly,Arlo cameras
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,5,23 Nov 2019,TheBox,Super easy install..  now I  can keep my eye on everyone,Luv it mane
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,4,23 Sep 2020,Beachbum,"Overall a good system.  Like most things, there are some areas that could be improved.",Good system
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,5,23 Nov 2018,Tlcaldwelljr,Great cameras. Very easy to set up and monitor. Long battery life.,Great
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,5,23 Nov 2018,chena,An awesome set up - easy to install great clarity on the pictures,Great Buy
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,5,23 Apr 2020,jrl18,"I am really pleased with Arlo. This makes my third system (Arlo Pro, Pro 2, and now Pro 3). They just keep getting better. Love the new pro 3. Quality is great, alerts with the smart subscription are great, and the night vision is great. Only negative is price. I do feel that they are overpriced especially if you want the smart features. You have to pay the monthly fee in addition to the exorbitant price of the system itself. But at least it is a quality product that works well for me.",Great system
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,5,20 Nov 2020,Randoris,I love the camera system great quality i want to get sum for my mother,Cameras
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,5,23 Nov 2018,Slim,This is an excellent camera set up. The installation was a breeze. The camera quality is remarkable.,Perfect cameras.
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,5,23 Sep 2020,David7171,The Arlo sistema is excellent Im very happy the only big problem is the customer service Arlo is very bad I’m trae several time call for so-port never have respond uno time wetting for 1:30 minutes. I’m very disappointed,Is very good
Arlo - Pro 3 4-Camera Indoor/Outdoor Wire-Free 2K HDR Security Camera System - Black,1,4,23 Aug 2020,Valerie,One out of the 4 cameras doesn't work and have to return all 4 after all have been installed.  Would like to return just the one camera that is fuzzy and you can't make out picture.,One out of the 4 doesn't work and have to return 4
