product,verified,rating,date,author,content,title
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2018,Sulav,"Easy and makes your life easy. If you have fire stick, just tell this device to turn on the tv, play this and that on tv, it will do.",Worth it!
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,20 Nov 2020,Mandalynn1112,I love this this echo I never wanted to spend the money on the other speaker so this was perfect!,Great
Amazon - Echo Flex Smart Speaker with Alexa - White,1,4,21 Nov 2020,GoldenGhetto,"Speaker isn’t that great, but wasn’t expecting it to be. Very small and convenient",Small Alexa that can be plugged in anywhere
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,22 Nov 2020,Amay51,Very good for areas you can put without worrying the space. Small but it can serve the purpose.,Alexa echo flex
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2018,Merc95,I bought because they were on sale but I’m sure glad I did!! They are convenient to put around the house and I love the drop in feature,Flex works with Any Alexa device
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2019,MyAlexaFlex,"It works great, its portable and easy to use. I can take into any room in my house and its a seamless transition.",My Alexa Flex
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2019,Dodger,Great for what you need to look up something or need a timer when your cooking. I got this for $10 and can't believe it.,Great tool !!!!
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,19 Nov 2020,Blink,Talk to Alexa on my aisle is something from the future and is here !!!!!! Omg I’m getting old,Alexa flex
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,20 Nov 2020,Goodie,Flex is a nice product at resonalble price. Bluetooth thryu garage speakers. Would recommend.,Nice product
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2019,Bjmotomomma,"Live talking to alexa in another room and hearing music in my room.

Easy to install a plus for non techie me!!",New user
Amazon - Echo Flex Smart Speaker with Alexa - White,1,4,19 Nov 2020,Lin10,"Pretty crummy speaker, but it’s nice. Would only use for commands not music",Okay
Amazon - Echo Flex Smart Speaker with Alexa - White,1,4,23 Nov 2019,Vela,Bought for a friend of mine said he loves it he said it's great works great so he is  pleased,Good
Amazon - Echo Flex Smart Speaker with Alexa - White,1,4,23 Nov 2019,Peacegreatone,This is good for a small bathroom or small garage. I use it for intercom in those spaces. Work well,Nice gift item
Amazon - Echo Flex Smart Speaker with Alexa - White,1,4,20 Nov 2020,shadow1011,"Excellent extensions to the Alexa ""network"" for basic tasks and inquiries.",Simple and useful
Amazon - Echo Flex Smart Speaker with Alexa - White,1,3,22 Nov 2020,iPhonefan,It arrived on time. The speaker does not have a good sound for a blue tooth speaker. The unit gets pretty warm to the touch. It plays music from time to time from Amazon music on its own without an operator request. When the volume is set to high Alexa cannot hear your request such as turn down volume.,Amazon Flex
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2019,Tricia,If I would have known then what I know now I would have ordered one for almost every room in the house.,Echo Flex
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,20 Nov 2020,Bren,This is a great add-on to my other devices. I purchased more for Christmas gifts.,Great add-on
Amazon - Echo Flex Smart Speaker with Alexa - White,1,4,23 Nov 2018,Yoga,Great addition to my existing echo dot setup. Have one in kitchen and bathroom. Works well,Echo flex
Amazon - Echo Flex Smart Speaker with Alexa - White,1,4,23 Nov 2019,kgnil,Pluged in the family room. Good response and not bad sound quality ok for music.,Ok item
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Oct 2020,Chris,Works great. Only downfall is if you have ton many Alexis devices in the same house the wrong one may pick up what you’re asking for (play music),Great
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,17 Nov 2020,Addition,Great addition to my Alexa devices used in my house. Lets me have a speaker wherever I have an electrical outlet...,Great addition for my Alexa units used in my house
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,20 Nov 2020,LRH1,Works great and fantastic value. Connect to  Bluetooth or wired speaker for best sound. Very handy to have Alexa in the kitchen for multiple timers.,Great value
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2019,iPadProUser,"Add Alexa anywhere! Nice fit in tight spaces and adds options to outer spaces such as a garages, porches and workshops! Very affordable!",Affordable and flexible Alexa Services to any spac
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2018,UptownShopper,i didnt know if i would like this or not but now i cant believe i went without it before. i love that it is small but poweful. great for the bathroom.,surprised how much i love it
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2018,recentbuyer,"Works great! speaker volume and sound quality lower than echo dot, but  works same for all other stuff. Plus mounts to the outlet directly , no wires!",good for hallways
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2019,Yeya,Love the echo flex great sound for every room and no wires hanging i will be buying more for the whole house great stocking stuffers,Echo flex
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2018,Oscar,This is awesome. You can have one anywhere you have an outlet and has enough audio on its own or you can connect to a bt speaker if needed.,Must buy
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2018,Amazing,This is a great product I love the functionality  and the convenience  I would definitely  buy this product again. I am glad I made this purchase,Great buy
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,20 Nov 2020,Joe14,"Great product, easy to link into the app and entire Alexa systems at the house. High quality and easy install",Great device
Amazon - Echo Flex Smart Speaker with Alexa - White,1,4,21 Nov 2020,Echo,"Speaker a little weak, but overall it is nice to use in the attic or basement to communicate.",Nice item
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2019,RonCham,"Excellent, low priced deal from Best Buy. Sturdy enough to put in the rough and tumble basement, and it works like a true Champ.",Echo Flex Smart Speaker
Amazon - Echo Flex Smart Speaker with Alexa - White,1,4,23 Nov 2019,RS123,Nice product - sound quality is not that great but works. Good for price. Can be used in some corners of a home.,Echo Flex
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2019,choclon,this is great for the bathroom. it connects to my exhaust fan bluetooth speaker great combo! and I added the night light to it,added the night light for the bathroom!
Amazon - Echo Flex Smart Speaker with Alexa - White,1,5,23 Nov 2018,gamer1718,I have different Alexa systems around my house but I intend on installing them all together so then I am able to use this as a house call system.,Alexa Speaker
Amazon - Echo Flex Smart Speaker with Alexa - White,1,4,23 Jul 2020,Joe49ers,Works good for other rooms when you're too far away from Alexa... It does everything your echo dot will do.. Only drawback is the speaker isn't very good when it comes to music... Very handy item for me since I have a family room downstairs and I am too far away from Alexa to control my smart devices.. This little thing controls my downstairs just like Alexa would...,Good extension for the echo dot!!
