product,verified,rating,date,author,content,title
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,4,13 Oct 2020,samlem,Pretty cool. Fun making calls to home. Also handy to view my cameras outside.,Nice!
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 Jun 2020,JoeCool,"It not only provides time, but it works with all of my digital smart home devices.

Very is to pick up with curb-side pickup.",An Assistant
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 Jan 2020,Cheril,"I love the Echo Show 5, so much I bought a second one for my bedroom. I can monitor my Ring Video Doorbell 2, see and talk with my family around the world, use it as an alarm clock, play music, monitor my Blink video cameras, around my yard, EVERYTHING! I LOVE IT!","Gift from my niece, Lacey!"
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,4,13 Jun 2020,ConcernedMom,Doesn’t come with a lot of instructions. That’s the downside. I had to google most of it to find out. It very similar to the app but has more feature. If you have it in your kitchen you can view recipes.,Great Product!
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 May 2020,DanZ,"Very useful, I put in my bedroom and there’s a switch to turn off camera. It accommodates with light and gets dark screen.",Nice gadget
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 Jun 2020,Jayjay,"I love this, haven't had a problem with it, it tells me everything I need and does lots of different stuff!",Love it
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 Jan 2020,MichaelJ,"The amount if things this will do is always growing. For this reason, it a homerun. I can watch the news with a voice command at will. 
There is just no stopping technology.",Echo is endless
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,4,13 Jan 2020,Nancinohio,"Purchased for kitchen  I really like the Echo. it does everything that the Dot does but video. My only complaint is the size. Hard to see from across the kitchen. Going to purchase a larger screen next

Ask it anything it goes right to the program",Purchased for kitchen
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 Jan 2020,Hazeleyes2376,I love it and especially my wife for whom I bought it for. It’s so convenient for her now and me to ask Alexa for different stuff. Great product,Echo show
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 Feb 2020,Me009,It’s just the right size looks like a clock and whenever you ask it something responds right away so far it’s been really nice!!,Nice and good size!
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 Feb 2020,Cstylz,"I had no idea how much fun this little thing could be, until I busted my granddaughter hiding in the bathroom with it.",Happy
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 May 2020,Stringer400,I love it got it at a awesome price on black friday,Awesome
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 Mar 2020,OntheGo,After i changed to smart home I included the 3”Echo Show to the mix and I absolutely love it!!,Love!!
"Amazon - Echo Show 5"" Smart Display with Alexa - Charcoal",1,5,13 Jan 2020,BoogieMann,"I love having someone to talk to, do my research, keep track of time, play music, and so much more!  I think my wife is jealous.",my desktop friend!
