product,verified,rating,date,author,content,title
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,3,23 Nov 2019,Adrian,I mean it’s an ok gift but I would not recommend. You really can’t do much. I would buy the Amazon smart displays over this.,It’s ok
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 May 2020,JoeD,"Much better than using my iPhone's facetime.  Larger picture, better reception, color, etc.  Plus the Alexa feature is an added plus!",Great way to keep in touch with family and friends
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 May 2020,Budd24,Absolutely a great mothers day give able to talk to several family members at the same time and see everyone also great for music.,Love it great mothers day gift!
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 May 2020,OldMan,"Got this to use for video calling with our Daughter, Granddaughter, and Great Grand Kids. So nice to watch all of them on a larger screen.",Great features that make video calling realy fun.
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Apr 2020,LNE68,"Got one for my sister and one for my mother. They have been a Godsend for staying in touch during this pandemic.
Easy to set up and very good picture quality.",Perfect for home quarantine.
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Jun 2020,Mollie2005,This is a great product. Had doubts bc thought it would be similar to FaceTime. Works way better and has Alexa as well,Perfect Mother’s Day present
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Jun 2020,Traveler,"Bought it for my wife, she loves it. It makes it really easy to stay in touch with the family.",It’s great
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 May 2020,Laura,I received the portal as a birthday present from my parents since I was unable to see them in person . Now we can stay connected,See your family when you can't be with them
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Jun 2020,grandma,great way to talk to grandchilden and be face to face.....love seeing my daughters face as we talk and she cooks,keep connected
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Jun 2020,Tuck1022,Bought these for family members who live out of state and it makes it easy to communicate with everyone at once.,Great to talk with people far away
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 May 2020,Waxhaw,"Fun and I keep in kitchen and cook with my friends in another town while stuck in house with Covid-19,
Fun to chat with grandkids.",Portal by Facebook
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Jun 2020,Marables,We use the Portal to stay in contact with family that are beyond a days reach. It help us to be more personal.,Great tool to get together with family and friends
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 May 2020,Eric,We like the Alexis future and the camera is really good for auto moving on its own as you walk around in the room!,Great product for corona to talk with others!
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 May 2020,Odessa,Purchased one for my mom and one for myself.  Works great with being able to visit with her when in person isn’t possible.,Wonderful way to keep in touch!
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,4,23 Nov 2019,M40l1n,"It is a compliment. Looks great as a digital photo frame with a plus video call feature. It also has music and video, which we don't use. Really easy to set up one and multiple Facebook profiles. Manual camera and mic off switch is what sets it apart.

Only wished it integrated another chat service like wechat so I can call the foreign parents too.",As advertised!
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Apr 2020,Lisa,LOVE our Portal!  I can connect to my kids in Montana and my parents across the alley!  It is perfect for Shelter In Place during this crisis!,Wonderful tool to connect!
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Jun 2020,SmartShopper2020,Great way to stay in touch with my parents during COVID...Definitely would buy again,Amazing
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 May 2020,Tengesser,Bought for my mother and decided to get a2nd one for myself.  Great way to feel close to family who live far away.  It’s easy to use.,Loved it
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Apr 2020,Bill,We love our portal. Just don't let Alexa control it or she becomes confused by multiple devises in earshot. Just use he default Hey Portal,Great
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 May 2020,Brownsugar,"I bought this so I can talk & see my Grandchildren. It's the best 10"" screen and great photo and sound. I love it",Great picture and sound.
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Nov 2016,Karen,"Stay in touch with family with just a touch, has been very helpful during Corona and the travel restrictions.",Family time on Facebook Portal
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Oct 2020,Franky,Best investment i made during the pandemic. It was so easy for my mom and aunts to use. Just need a Facebook account,Family time
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Nov 2018,Musiclover1234,This portal is perfect and my house.  Everyone uses and they love it.,Nice Portal
"Facebook - Portal Smart Video Calling 10"" Display with Alexa - Black",1,5,23 Mar 2020,GirodRN,"This is ingenious!!! It’s a video phone, a digital picture frame, a digital music player, a datebook, & so much more!  The video phone with all the features is worth the money on its own.  You can call & talk, take a still pic, tell a video story with built in graphics, & more!! It’s easy to set up & easy to use, & during these times of unknown social settings (distances vs closeness)...it’s a lifesaver! It keeps families close ❤️ It’s worth every penny!!",A great “Portal” to your friends & family
