product,verified,rating,date,author,content,title
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,3,23 Nov 2019,Profaniter,"So I tried it out and see for myself, I thought it was cool. The smart video camera was pretty cool, it tracks every movement I made wherever I sit, the video quality was almost perfect, but it was pretty cool. my only issue is, who do I call, who would I chat with the most on Facebook messenger? So I decided to return it. it's not for me but if it's for somebody who use Facebook messenger and video quite a lot, then this is for you. 

When I had it, I heard Facebook Live will be implemented in this.",Was good but not for me
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,Eebo2005,The AI camera is a game changer! We used these to celebrate Christmas with family who couldnt make it back home. The video quality is Amazing! Highly recommend and I will be encouraging my family members to get one!,Amazing!
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,4,23 Nov 2019,techsavy4,There are times when you are asking it to perform a command but it doesnt respond. this could be that it needs the current software update done. Haven't had allot time since Christmas to use it or make sure it has the most current software installed,has some glitches with following commands
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Jan 2020,Sandy,"Love it
I would recommend it to everyone would buy again",Great portal for everyone
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,Julie,"We bought one for ourselves and one for our grandkids. 

How awesome it is to be able to see them so vividly when we talk. Plus, we can read them stories from our Portal.",Everybody needs a portal!
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,Nyjoe1,Like how this lets you connect to people all over the world and friends locally alike. Like all the features too,Great device
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,Portalman52,My family love this device. There is something for everyone in the family. We do video calls listen to music watch movie,Great device for the family
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,3,23 Apr 2020,DaniMac,"When I originally looked at this, I liked the idea that it was on a stand and could easily be changed from horizontal to vertical. 
When I got it home and put it on the counter it was just way too big.  I returned it.",Not a fan
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,Thinker,"Through Alexa portal, I can see and talk with my mom who lives in Mexico. Alexa brings me closer to my family even through distance.",Connection through distance
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Dec 2019,QD007,Wasn’t sure at first. But. Over all great product.,My wife loves this. No problems
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,4,23 Nov 2019,Porkchop007,I love it the idea just think it needs a few tweaks. It is Alexa compatible but can’t include it with other echos. Add it to groups etc. and the hey portal options are rather limited.,Great tech could use a few tweaks.
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,DMC57,We are enjoying many hours of talking face to face with our son who lives in Florida.  The quality is amazing,Absolutely love it
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,Jimmar,"we are in love with this product, it really helps speed up camera calls with the family members",Love this portal
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,1313,"Excellent, I brought this for my wife and she and I used it everyday to keep in contact with our two son and their family in two different places to communicate with them",Excellent
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,4,23 Nov 2019,Midnite,If you're looking for smart home hub with a camera this one is the one to get but it still needs work with its ai system Google is clearly better as die me I own both,Great camera
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,momof3,Great way to keep in touch with family! Love this product!,Thumbs UP!
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,rochel15,My daughter can call her grandparents whenever she wants.. It's awesome,love it
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,5,23 Nov 2019,denb,we bought the portal to keep in touch with family and friends and it works great. My wife uses it all the time. it's like we are there with them. Everyone should have one.,fun new product
"Facebook - Portal Plus Smart Video Calling 15.6"" Display with Alexa - Black",1,3,23 Jun 2020,Rachel,"Overall nice product for staying connected.  Video quality is often poor, wish FaceTime or better quality video was available.",Overall nice product for staying connected
