product,verified,rating,date,author,content,title
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2019,JanP,"Starting to automate our home this year and this was a great starter product. Easy to use and setup. Also, great packaging. Size looks bigger on picture but overall design is on point. After buying and setting up one, went back to the store to buy more.",Great product
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2018,Hamcs,"I have the regular google home, but this google mini does the job, and not because is small is not loud. No, the google mini it's loud and have a great sound, if you have more than one google home, you can stream music to all of them simultaneously and have that surround music effect.
Great buy, great deal, can't go wrong with the google home mini.","Practical, portable, great sound"
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 May 2020,Kris,This is my second Home mini. Bought another one because my dad wanted mine. The home mini is great for those who love to listen to music all the time. Would definitely recommend and easy to use.,Great for everyday use
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Oct 2020,Chris,Great voice recognition and awesome sounding electronic music,Awesome electronics
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,19 Nov 2020,GreyFoxPancake,"Nice mini smart hub for Google Assistant uses. Also works ok as a music speaker and lower to mid volumes levels. But I would recommend two for music listening so you get stereo sound. The microphone on this thing is really good at picking up our voices, even through other noises. And if you take the time to set up your voice recognition on Google Assistant, it can even tell the difference between who exactly is speaking the command, allowing for functions to be limited to specific users on the account. All of this said, I would still recommend the newer Nest Mini. It does all of what I said, just better. And with a few extra features.",Great First Go
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2018,gadgetguy11,"Google Home Mini is a versatile miniature rendition of Google Home with a smaller, yet surprisingly good sounding speaker. Similar to it's larger sibling, simply call out ""OK Google"" or ""Hey Google"" and speak your request. 

The strong suit, not surprising, for this Google assistant, is to address a question that can be answered by Google search engine. That is where it really shines & blows away it's competition. For this reason I recommend owning at least one of these or one of the full sized Google Home, if you prefer. 

If you already own a competitive virtual assistant, I recommend you buy this Google Home Mini. Owning both one or more Google Home Mini's and a competitive assistant make perfect sense. Each has a specialty and can do specific tasks better than the other. Owning BOTH offers you the best of both worlds. 

In addition to voice controls (that I prefer), tap the top to pause or resume music playback, and you can tap and hold to activate the Assistant. To adjust the volume, you tap the sides of the device. Or best yet, simply SPEAK your command! 

I recommend the Google Home Mini!",Mini Minimalism
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,4,21 Nov 2020,Adam,"I bought these for my youngest son, he is on the spectrum.  I will always answer any questions from any child, yet this item has been a great help.  he has it tell him stories, play music, answer questions he has when other people are not available.  we keep it only in his room.  we have bought a few over the years, I like the lower cost when on sale, that its small. he has ruined a few I am not sure how.  but he loves it and we always keep an extra for accidents, he wont change brand he only wants this one, he has tried similar size cost products but did not like them he says this is better.",small and helpful
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,4,23 Aug 2020,mlbk,"We got this free with purchase of a Nest thermometer. Prior to that we had an Amazon Echo (Alexa) for quite a while, I believe we got that shortly after they first came out. We set this up in the living room and the Alexa is in the kitchen. So we can talk to either on the first floor of our home, so sometimes for fun and out of curiosity we will ask them both the same thing to compare the responses. Most of the time they're pretty much the same, but there are times Alexa seems to know more. Once in a while the Home will be the winner. They can even talk to each other which is neat, and the kids get a kick out of that to be sure. What we use ours the most for is setting timers/alarms/reminders, asking about the weather, getting answers to math problems we don't feel like breaking out a calculator for, brief facts that come up during conversation (a celebrity's height, the definition of a word, what year something happened, etc - whatever you could Google!). The only thing we've incorporated is the Nest, we can ask the Home to adjust the temperature. I'm sure there are plenty of things we could be using it for that have not yet occured to us. These things freak some people out, but they're the precursor to the inevitable robot household helpers and I think they're pretty cool.",pretty good household helper
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,4,23 May 2020,Deemoney,"This was my first ever smart speaker, and while I wouldn't say it totally lives up to Google's hype commercials, I can't deny that the device is useful for certain things.

I primarily use the speaker as a way to play Spotify, and in that it excels.  For such a compact item, the speaker is powerful and the sound quality is good.  My only complaint is that, if the volume is sufficiently loud, it's hard for the voice recognition to pick up your ""Ok Google!"" or ""Hey Google!"" commands.

Google loves to hype their smart speakers as a planning tool, where you can just command the device to add things to a list or calendar or schedule without needing to whip out your phone.  This can DO that, however it requires that you are using the relevant Google apps on your smart phone.  Replace your phone's Calendar app with Google Calendar, for example, and you can set up future dates with the Smart Speaker.

The drawback is, this device LOVES to tell you what it can't do.  There are apparently ""routines"" you can set up with Google Assistant, such as a ""going to bed"" routine that silences your phone, reduces speaker volume, and prompts it to start playing the sound of ocean waves.  Trouble is, the smart speaker can't ACTUALLY silence your phone, and so when you tell it ""Ok Google I'm going to sleep,"" it reminds you to just pull out your phone and do it that way anyways.  Every.  Single.  Time.  It gets annoying.

Finally, the speaker is great for quick hands-free Google searches.  If I'm debating a point with someone and need to check something, I can say ""Hey Google, how to I calculate Celsius from Fahrenheit?""  However, you do need to be careful with how this is phrased, because this is a literal Google search: the device types your words verbatim into a virtual browser and reads you the top result.  To use the example above, it may, instead of giving me the equation I'm looking for, just read a quick blurb about the history of Celsius.  Interesting, certainly, but not what I'm looking for.  Or, more likely, the Speaker will simply respond ""I don't have any information about that,"" though this seems to happen more with complex subjects that aren't explained in the first paragraph of a Wikipedia article.

In all, I like the Google Home for the simple things, music and quick searches, but that's pretty much it.  The other bells and whistles are pretty hit-or-miss for me, but I imagine somebody more plugged into Google's whole ecosystem may appreciate them.",Useful Little Speaker
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Feb 2020,Mallory,"I love my google mini, it’s my little assistant for many things! I’m constantly talking to google, asking this and that! I definitely recommend this to all, there seems to be endless opportunities with this little gadget!",Handy Assistant
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Jan 2020,danny,"i was initially against the google home / alexis stuff but once i got one for my bedroom (along with smart lights), now I love these things.  I have one in my bedroom, bathroom, kitchen, living room, office, and both kids rooms. 

Hooked up spotify to listen to music through this. I put the smart lights in the main living areas and these controls them all. 

A great feature is the broadcast message feature. If dinner is done, I can broadcast a message to all rooms ""dinner is done"" and everyone in the house hears it.  

Another good feature is that I can call one mini hub from another. I haven't mastered this yet because sometimes it tries to call one of my contacts instead. Actually that literally would be my only complaint. if I said call 'nates room speaker', and it decides to call a person from my contacts, I cant cancel in time... it will ring my contact before i get a chance to say ""ok google hang up"".  a solution would be an option where it repeats your call request and wants a yes /no reply...  i.e., hub will confirm like this: ""call nates room speaker? say yes if this is correct"".  
I actually should take a star away for that one issue because I don't call hub to hub anymore just because of that - but everything else is so good I will just leave it and figure out on my own what i can do to not call contacts.",I didnt think i would like it as much as i did
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2018,MovieGoer,"Can't complain! This little device handles all my hands-free operations. From turning off and on the tv, the lights and led light strips, to handling other devices. The ability to get info without having to look it up is very convenient. And I enjoy ordering things on the fly.",Genie in a mini!
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Oct 2020,Slug951,I have both google assistant speakers and a amazon tap ever since I got a free google assistant speakers I have always found it far superior to the alexa app it is way clearer and the all works with my other electronics a lot better.,Great speaker
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2019,JustinSMyrtle,"I love the google assistant platform. I have these all over my house. I ask it to play white noise when I sleep. It turns on my Christmas tree. It makes life easy. You know what, it’s a little hot in here, I think I’ll ask it to turn my ac down a few degrees.",It would be hard to live without it now
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,4,23 Jun 2020,DSADAM,"Mine is the first-gen Home Mini. My gripes are two-fold:

1.) It's a pitiful bluetooth standalone speaker, and won't stay connected to any device I pair to it. (Including a Pixel phone.) Casting to the device works fine, but trying to connect to it as a bluetooth speaker just doesn't work reliably - it cuts out after a few seconds or minutes. They've released half a dozen updates since I've had the speaker, and none have resolved this.

2.) Voice Recognition on this first-gen unit isn't as fast/accurate as the newer devices, which perform V-R locally on the device as opposed to querying the net.

Otherwise, it's useful for controlling lights and setting timers/alarms, asking weather and traffic queries, and general information.","Good, but could improve."
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,4,23 Nov 2018,Bumgee,"First off, I have been using the Eco Dot for a while. I mainly use it to listen to podcasts and music while I am working around the house. It is an ok device for listening to music but the speaker is a bit tinny. The Google Home mini speaker is way better. It does not rival the big brother Google Home in terms of sound quality but it has a much richer sounding speaker compared to the Dot... more bass, clearer sound. The Google Home mini mic can have a hard time hearing the hot word if you have the sound up really loud but I am guessing that will be fixed with a software update.",Way better than the Eco Dot
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,4,23 Nov 2018,Run4funish,"If you want Google Assistant listening to you, then it is a good device. I wish they were compatible with ADT, but they do control my Hue lights and give great answers to questions. Overall, they are worth it, if you are not worried about privacy.","Great, unless you have privacy concerns"
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Oct 2020,Heel,"I purchased 2 of these -- one for my son's room, one for my daughter's room. This speaker really works well, and does more than I anticipated when I purchased it. In addition to the music, this works well as an alarm and also works well as an intercom. Easy voice recognition.","Great speaker, and more"
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Sep 2020,JDRSeattle,"This is amazing. I love that it can broadcast messages and make calls. It’s not even the highest model and does a lot. We use it for timers, online searches, listening to music and calendar searches. It’s great for so much. We haven’t even learned all the extra things it does yet and are excited to find more ways.",Best pair to my hub
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Sep 2020,blessedby2,"We are huge fans of the Google Mini , Home and Nest.  We have the minis in most rooms of the house and it serves many purposes!  We often use it as a broadcasting system and I have placed one in my office and blue toothed it to my computer while teaching remotely.  It provides a better speaker and does not create feedback with my webcam mic.",We have 4 now!
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Aug 2020,WLee,"These Google minis are great in areas you don't have a lot of space.  They provide most features.  Speaker is not as good as the Google Home for music but these help keep you connected to the system.  Love being able to answer my kids questions by asking Google from any room in the house.  Great for setting reminders, timers, etc. for everyday chores and tasks.",Great mini version for Google Home
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2018,GmfTech,"The Google home mini is so useful and sounds great! I have it tell me what's on my calendar in the morning. From wherever I'm sitting, I can have it play music without getting up! I use it to turn on and off lights in my house that I have connected. Finding Google Easter eggs is fun, and some of the games are fun too. You can even ask it to make you a sandwich!",Great assistant and great sound!
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Oct 2020,Nand,"The 27"" IPS screen delivers great wide viewing angles, and it has great accuracy out of the box. It also has very good gaming features, including excellent low input lag and AMD FreeSync support.",Giig
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2019,TeTe,I bought this as a birthday gift for my 13 year old son and he loves it. Now all the kids want one. It makes things more convenient and easier.,Little things can make life a little easier
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2017,rigirl4,"We love our google products. We clipped this one underneath a cabinet to get it off of the counter and to tuck the wires away and 2+ years later, it still works great!",Love google!
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2018,Jeannie,"I was very happy to buy My Mini Google.  After I purchased it I bought a Owl Holder and it projects the voice out louder.  
Easy to set up and love it.",Mini Google
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2019,Jenn,I received this as a gift and was not sure how I would use it.  Now that I have it awhile. I love it.  I find new ways to use it everyday.,So useful
Home Mini (1st Generation) - Smart Speaker with Google Assistant - Chalk,1,5,23 Nov 2018,joealmonte,"These 1st generation Google Home Mini speakers were built to last. I own three, and they are still performing like a champ. I highly recommend this product.",Built to last
