product,verified,rating,date,author,content,title
Apple - HomePod - Space Gray,1,5,12 Nov 2020,NOLASHOPPER,Been using this HomePod for nearly 30 days.  Started in my dining room but found it was too powerful and causing glasses to shake.  Moved to living room and connected to Apple TV for sound. Much better application for it.  Amazing sound quality.,Powerfull
Apple - HomePod - Space Gray,1,5,12 Nov 2020,True,"If you are already in the Apple ecosystem then this is a great purchase. Seamless connection between Apple devices, music and tv.",Would Buy Again
Apple - HomePod - Space Gray,1,1,12 Nov 2020,LilBoPeepGBC,I love apple product but this aint it way to expensive for what it does the speaker is not good at all not loud nothing about this product blows me away. i would stay away and go in a different route.,Not worth the price
Apple - HomePod - Space Gray,1,5,12 Nov 2020,Littlone230,"Great sound. Use for tv surround sound and it’s amazing. Top is sensitive, cat paws have turned it on in the middle of the night, but good quality.",Great sound
Apple - HomePod - Space Gray,1,5,12 Nov 2020,AppleFan,Excellent sound especially with two in stereo and excellent homekit product-but very expensive,Excellent product but expensive
Apple - HomePod - Space Gray,1,4,12 Nov 2020,Cris,They are so good and if you have Two of them and you  pair them....  they’re amazing.,Incredible sound
Apple - HomePod - Space Gray,1,4,12 Nov 2020,Map321,"I currently have a Google environment in my home, but the addition of the Apple HomePod with AirPlay 2 is nice. My only issue is that Spotify is not recognized.",Awesome speaker
Apple - HomePod - Space Gray,1,5,12 Nov 2020,KTar,"Top sound quality! Integration with HomeKit and Apple ecosystem is the big pro, but even all the “smarts” aside, just worth it for the great sound quality itself. Hard to find a better sounding speaker at this price",Top notch sound quality
Apple - HomePod - Space Gray,1,4,11 Nov 2020,Thomas,The homepod is very helpful and is one of those things that you can ask for help,Very helpful!
Apple - HomePod - Space Gray,1,5,11 Nov 2020,Fisherman,I was really impressed with the sound of the speaker. Great product!,Great speaker!
Apple - HomePod - Space Gray,1,5,11 Nov 2020,Oldtimer,"Better late than never, I’ve had this guy for two plus years and it’s sounds so good! Each new OS update continues to add more functionality. SIRI is still my least favorite Apple creation. Maybe that technology will mature into something truly useful.",HomePod Got Da Beats
