product,verified,rating,date,author,content,title
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Sep 2020,Jared,"Wish that it worked across multiple platforms, but having already committed to the Google platform, having the Nest IQ cam being built into this unit makes it a simple choice to add this to your existing smart home infrastructure.",The Nest IQ cam being built in is a game changer.
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 May 2020,MichJ,"While this takes the Google Assistant to a whole new level, the best party has been the video chat between Grandma and granddaughter during all this covid stuff. Even Grandma has been able to figure it out and says the video chat had worked great. Best Buy curbside pickup was quick and easy.","So easy, my Mom could do it"
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,07 Nov 2020,Googlenest,Love it and easy to use.  My 81 year old mom bought one also & loves it.,Googlehub
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Oct 2020,23MrCR,I enjoy using it more than the Google Home mini speaker and I enjoy having it play music on it along with the other two Home mini's that I have were they all play together.,It's groovy
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Nov 2019,Siege,Love the Nest Hub Max! We already have multiple Google products and I knew as soon as this was released we were going to buy it. Only thing I have to say bad about it this far is we don't use it as a camera because it angles up towards the ceiling. The camera is able to move during video calls so that's not a problem. The problem is using it as a security camera it stays stationary and can't focus on where activity is. If there was a way to set the camera to where you want it to view as a security camera this thing would be perfect.,Works great in my home
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,07 Nov 2020,RocketfishGoldPlugs,"Excellent coordination product.  Works great, and has a great display.",Nest Central control with pictures
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Nov 2019,ItzhakSternCPA,Easy to use. Could use additional functionality. Tries to force you to use Spotify.,Easy to use for simple functions
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,07 Nov 2020,Jorvato,"Fantastic device, bought it to help my kids with school. Recommended",Fantastic device
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 May 2020,Nick,"I have home hubs and home hub max's all over my house for controlling all the start home devices. This is a great addition and has a place in any home in addition to the regular hub. The sound quality is much better and the screen as well. The price is a bit high and if you do not have smart home items to control (lights, thermostat, camera, locks,...) them I'm not sure if it is worth the price but if you do then hands down a must buy.",Great for a home automation hub!
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Nov 2018,Vish,Did a good job on the lights. I hope most of the  people working for you are as good as this guy.,Lights
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,07 Nov 2020,Will,Nest Hub makes a great gift and provides security with accessories.,Great gift
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,07 Nov 2020,MarkG87,Great way to stay in communication with family during the pandemic.,Nest Hub
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Nov 2018,FamilyTime,Makes the dinner table fun and helps in the kitchen in a major way. Ordering two more for the holidays.,I can see clearly now
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Nov 2018,DisplayZeke,"This item is so awesome 
Google is doing  agreat job and honestly it looks great for a kitchen area",mine is
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,4,13 Aug 2020,Fete,"I love all of my Google home products.  I am an android girl and this Hub Max rounded out my mini network.  I've had it for several months now and I'm still learning what all it can do.  I set up the Nest viewing but I got freaked out so I turned off the camera. I only wish that it had intercom mode instead of broadcast.  If you like gadgets like me, you gotta have this one too.",Love it!
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,07 Nov 2020,moose,Very helpful! Around the house especially around the kitchen.,Cool little gadget.
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Oct 2020,Hurdledude,Got this for the parents so they could video chat with the grandkids and they use it to watch youtube TV during breakfast as well,For the parents
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,4,13 May 2020,Topher8691,I am a little older so the larger screen is really nice.  I don't make calls or anything fancy but I do view my various security cameras.  The one thing I really like about this is the sound!  It sounds very nice compared to my original Hub.  One thing I don't like (and it might just be me) is how difficult it is to set this up for multiple people and accounts.  I still can't quite get it so others can not view my calendar and I don't see theirs.  I am sure it is something I am doing incorrectly but it still seems much more difficult than it should be.,"Large screen, Nice sound"
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Oct 2020,EddieF,"Purchased for my office.  It's great! Plays music when I am working from home.  Have not yet tried the video feature, but may in the next couple of weeks.",Nest Hub Max is the best!
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Aug 2020,Bree,"I got this as a gift for my boyfriend. We absolutely love it. We use it in the kitchen for several different things. We look up recipes, play music, ask google to set a timer, and can view the camera when away from home",Great for the kitchen.
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Jul 2020,Jacob,"An important system for running your smart house great for watching TV shows movies playing videos displaying pictures and playing music it's also a clock and a video chat system. Worth every penny, great for a desk. This is my third display wish I could have one in every room.",Essential for a Google smart home
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Oct 2020,EvilKitty,We like Google a lot more than our Echos. The response time is so much faster and I feel it understands more than Alexa did.,Switched from Echos
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Apr 2020,KiloDeltaLima,"This thing is great. I've been wanting one for a while. It's nice that I can cast videos to it to show my wife something quickly or when I walk in the room it recognizes me and the 1st time it sees me in the morning it starts the ""good morning"" routine auto magically. That being said there is a Con. They are honestly too expensive for me to put them in every room. If I had the munnies though I would.",Wicked awesome.
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Oct 2020,Bishop,Works perfect for communicating. My daughter loves it and calls all the family on it all day everyday.,Great during this time
"Nest Hub Max 10"" Smart Display with Google Assistant - Chalk",1,5,13 Oct 2020,Masterbartender,Would recommend this to anyone this controls every light in my whole house including fireplace and TVs must have,Love this
