product,verified,rating,date,author,content,title
Google - Nest Cam Indoor Security Camera - Black,1,5,20 Nov 2020,Jcanon25,I’ve bought this multiple times. Always great! Always reliable.,Repeat buyer
Google - Nest Cam Indoor Security Camera - Black,1,5,23 Nov 2017,Carlos,Excelent product. I bought 2 exterior nest about a year ago and I was surprised when I had the interior.,Great cameras!
Google - Nest Cam Indoor Security Camera - Black,1,5,23 Mar 2020,Bestbuy2020,"We bought these cameras to put in our house to check on our dog and of course in case someone were to enter our house unwanted.  The cameras are very easy to set up, easy to interface with the Nest app, and are very user friendly overall. It is nice that you can hear and see what is happening in the room as well as talk back through the app.",Great cameras for general watching!
Google - Nest Cam Indoor Security Camera - Black,1,5,23 Oct 2020,Trippinbillie06,We already have a Nest thermostat and this was the ideal companion. Super easy setup and shows up instantly in your Nest app.,Perfect add to the Nest Thermostat
Google - Nest Cam Indoor Security Camera - Black,1,5,23 Nov 2018,Dave,This is my 3rd camera and I’ve yet to have problems.  Always good to have nest products.,Nest
Google - Nest Cam Indoor Security Camera - Black,1,5,21 Nov 2020,Nest,Really good  I like that it’s very clear. Highly recommend,Good
Google - Nest Cam Indoor Security Camera - Black,1,5,23 Jun 2020,Denise,"I love this product! If your power goes out, sometimes you need to reset it, but I haven't had too much trouble with it. The biggest trouble is the app that goes with it, but it works fine as long as your power doesn't go out! Also, I wish it could hear better. It doesn't pick up sound that great unless you're talking loud or up close.",Like this!
Google - Nest Cam Indoor Security Camera - Black,1,4,23 Jul 2020,Nestuser,"The Nest Cam works just as it is advertised to work.  No better and no less.  The night vision feature is poor quality, all in all, but it does function.  The sound feature works pretty well, though I have not been able to have a two way conversation; don’t know why not.  For the money it is a reasonable device, though far too soon to know how reliable it is or is not.  So far, so good.",As advertised
Google - Nest Cam Indoor Security Camera - Black,1,5,23 Oct 2020,BuckeyeJoe330,"I live in a 185 unit apartment building and there have been issues previously. It couldn't be proven, that is what prompted me to get these camera's.",Best choice I made!!!
Google - Nest Cam Indoor Security Camera - Black,1,5,23 Nov 2018,Talwall,Great indoor camera if you are able to get it for sale price. Overall satisfied.,Great indoor camera.
Google - Nest Cam Indoor Security Camera - Black,1,5,23 Aug 2020,Miah,Definition of plug and play. The quality is great and the controls are customizable. You do have to purchase a NEST aware subscription if you want additional features and the ability to record. It's like $6 a month. Overall a great investment.,Great indoor camera
Google - Nest Cam Indoor Security Camera - Black,1,5,23 Nov 2018,Cadkubat,Expensive but easy to set up and haven’t had any problems. Great night vision.,Good cameras
Google - Nest Cam Indoor Security Camera - Black,1,3,23 Aug 2020,Maine,"The camera performs as expected, but I wish it didn’t have so many connection issues. Despite having the fastest possible internet in my area and the most state-of-the-art modem / router etc. it still spontaneously loses connection at various times while I’m away, or whenever there’s rapid activity on the screen like an animal moving through the frame.

Also— BEWARE— for people who enjoy any modicum of privacy; these camera DO NOT turn off even when in “off” mode. Google has admitted that they merely “close their eyes,” however the cameras still hear and record everything. Considering everything we know about Big Tech and surveillance, you’ll want to consider totally unplugging the cameras from their power source when they aren’t being used.",Not bad but not great
