product,verified,rating,date,author,content,title
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,5,23 Jul 2020,SellerThink,"This is one of three new Google Nest Mini's I've purchased.
It was purchased to replace a black Home Mini.
The audio quality is amazing, especially compared to the original Home Mini.
I like that there are new colors, that makes it easy to distinguish which room it came out of, if it gets moved and you have more than one. 
The color looks very similar to white Chalk, thus it's name.
This 2 generation includes 5.0 Bluetooth.
The price I received at Best Buy, made it affordable enough to buy two.",Great product
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,5,23 Nov 2018,MDNOLA,"Nest Mini 2nd Generation Smart Speaker with Google Assistant - Charcoal

Great product, wish I bought it sooner. Small, easy to setup, easy to use. Google everywhere!",Google Everywhere!
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,5,23 Jun 2020,CrazyLeggz,"My old roommate had a few of these strategically positioned around the house, so when I moved in to my own place I HAD to invest in some. The sound quality and volume is impressive for the size and price of these Nest Minis. I primarily use these to play music, but I'm planning on linking them up to some smart plugs I recently bought. Even for someone who isn't super tech-inclined, these are super easy to set up. Just be sure to download the Google Home app to make the most out of these bad boys.","Hey Google, You Da Best"
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,5,23 Nov 2019,CP1234,The sales associate did a great job of showing me options and recommended the mini for my set up.  It works great and installing it was simple.,Google Mini
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,5,23 Nov 2019,Thisisus,I put this on my bathroom. The color and sounds are really good. My son and I loves it so much. Got it for sale and works really good so far.,I like it
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,4,23 Nov 2018,Bryan,"I purchased this Nest Mini as a gift to give away so I can't say that I have used it, but it was well priced and looks good.  In general, I like buying Smart devices such as this and they are good gifts to give away.",Nest Mini
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,4,23 Sep 2020,JanTech,"To put it simply, it's hard to think of living in a home without an assistant. Be it from Google or Amazon. The great thing about the Google Assistant is overall compatibility with basically everything. I'm a bit surprised that out of the box, the audio quality was not as good as the 1st Gen Nest Mini but, after some EQ tweaking it ended up being much better. Built in wall mounting is also much appreciated.",Must Have
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,4,23 Nov 2018,Disappointed,Have several of these.  Very helpful.  Wish it was easier to have it recognize everyone in the family but I don’t see a way to do that without giving kids more access than I’d like just so they could have voice recognition,Good product.
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,5,23 Nov 2019,DocG,Fantastic Product.  Compact and user friendly.  Smart Speaker is well worth the money.  Not hard to setup and install.  The sound is great.,Mr.
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,4,23 Sep 2020,Leland,"Let's assume you know what you're doing when you invite Google to listen actively to everything in your home.

And that you're ok with that.

From there this speak does what you think it will do. 

Minus a star because the ecosystem not as strong as Alexa, and the voice feedback is a bit more annoying/verbose when it doesn't need to be.",Good if you know what you're getting
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,5,23 Nov 2019,JohnA,Major improvement in sound quality over the previous generation!!! Really enjoy finding new ways to automate functions around the house.,Nest Mini
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,3,21 Nov 2020,HenryD,"I purchased the Nest Mini so I could hear my Nest Doorbell ring in my Pub.  I selected the Charcoal so it would be discreet: blend in with the surroundings.  To my dismay, it was provided with a white cord that sticks out like a sore thumb.  Why would Nest supply a white cord with a Charcoal device?  A black cord, yes.  Amazon Alexa gets this.  I had to hide it below my bar where it isn't visible at all.  Fortunately I had power there.  Step up your game Nest, this is Consumer Marketing 101.","SERIOUSLY, A WHITE CORD?!?"
Nest Mini (2nd Generation) Smart Speaker with Google Assistant - Charcoal,1,5,23 Sep 2020,Richard,"Setting these devices up is easy, and creating a whole home sound system and allowing broadcasting to the individual rooms is an awesome feature without needing an intercom system, and best of all it's hands-free. Using them for kitchen timers is an awesome feature when whipping up a meal.",One in every single room
