product,verified,rating,date,author,content,title
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2019,Mking,Ease of use and full control through the mobile app!,Great buy!
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2018,Evangelinew,"Not hard to install, quick. Love that I don’t have to go upstairs to lower or raise, eco mode is great and you can set if you are away!",Great product
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2019,Mike,Very easy to install. I love the steel look. Very easy to use.,Great do it yourself thermostat
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2019,Kadavis78,Easy to install and set up and very easy to operate,Good Product
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2019,Earl1104,It’s learning my habits working on when I am not at home that the heat are air stay the same,Great thermostat
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2019,Mingma,I love this nest thermostat 3rd generation.its saves a lot of money.,It’s cool technology
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2017,queenkristin,"I don't have to be home, touch the thermostat or get out of bed to change the temperature. Hot flash, no problem just turn on the air conditioner!!
I love the monthly email I receive breaking down my usage!!","Love, love, love the Nest."
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2017,JohnSeig,My wife and I want to slowly upgrade to home automation and this is a necessity. It’s supposed to learn the users patterns to automatically adjust the temp to its comfort. SMART.,"Stylistic, Practical Thermostat"
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2019,Luishome1219,I think installing this thermostat was a great investment it works great,Great thermostat
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2018,StrobeRK,"Love the Nest!! Does what I need it to do and is net enabled. 

One small negative. The rectangle bezel is just tacky. Got a metal round one and put it on.",Great thermostat!!
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2016,Chariio,"If you want to make your house smart about saving energy get this one. Easy to install and use, then after a few days it learns your setup. Also it know went you go away to save energy but also keeps the temp. Nice for you always",Very happy with this!
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2018,Nate,"I bought because there was a rebate but after the easy install, it has been learning my family's habits and saving us energy and money.",It learns how to save energy & $$$$!
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2018,DukeUber,"Super easy to install, already learning to turn on air conditioning at night when we go to bed!",Smart purchase!
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2018,Nene,Excellent thermostast were I can program the temperatures through out the day and save on my electric bill.,Great Thermostast
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2017,Menchy,"I love my Nest - Learning Thermostat - 3rd Generation. I can control the temperature using my iPhone/Alexa. Now, I am in the process of buying The Nest Protector.",Great Thermostat
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,4,23 Nov 2019,McGannskiRules,"This is the ""apple"" of digital thermostats and it's made by google (Nest's parent company).

It looks great on the wall. Has a solid feel to it and comes across as very well crafted. It would've been nice to have been able to compare out old thermostat to this one to see exactly how much we're saving on our oil bill but we're definitely going through less oil than we used to.

Installation was a breeze. I actually opened a chat with one of their reps to ask them a quick question about the unit and they pretty much insisted that they would stay connected with me until I completed the setup and tested everything out.

The configuration is a breeze too - at least it was for our heat-only system. 

The major shortcoming is the software. There are some things that are just not intuitive like the eco settings and some things that just leave you scratching your head wondering what they were thinking when they wrote the code, like displaying what the target temp is more prominently than the current temp - there's a feature called farsight that will show you the current temp for a moment but then it goes back to the normal display.

The usage history is capped to ten days. Seriously. Like how much memory would it take to give us a month or even a year, it's just some raw data that shouldn't take up much space at all on the device.

The home/away feature works when it wants to. There have been times I've been like, ""why is it freezing in here?"" and opened the app to find the nest thinks I'm away from home and times when I've been out for hours and opened the app just for the heck of it to see if the furnace is running and it thinks I'm home and the heat's cranking. 

We've had two of these installed for a little over a month and it still hasn't learned our schedule. It might have something to do with not knowing whether we're home or away, lollll, but either of these features should be pretty easy to make work any number of ways and have them work well but they just don't.

The app and web interface are nicely laid out and easy to use for the most part and from my experience with them, they seem to give you access to most of the controls and features that you'd have using the wheel on the thermostat itself, without having to stand there and scroll through everything with the notable exception of the farsight setting.

From what I can tell, you can't link two nests in different zones and get them to act smarter together, for instance to say hey the furnace is running for zone two, why not heat up zone one for a little bit too while you're at it. Maybe I'm missing something and by all means tell me if I am, but that seems like it'd be a nice feature to have.

It just feels really limited with what you can do with it and they've been out now for long enough where you think they'd have this thing feature packed with the ability to customize it a little more than what you get out of the box with this 3rd gen model.

I feel like the ecobee is probably a more robust option but just barely. That being said we did get two of these and I'm pretty happy with them ..... I'm just not satisfied if that makes sense. There's just a lot more I'd like to see these things be able to do that hopefully will be added via firmware or software updates as more people install them and clamor for more features.",Nice hardware. Software is lacking.
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Nov 2017,Qsrv,"Easy install. Nest works perfectly with Echo Dot. Alexa- raise Dining room to 69 degrees... Awesome. It learned after just a couple days to automatically turn the temperature down to 63 at 11:45 pm every day and back to 68 in the morning. I can set the Nest to also control lights when I'm away (Nest can detect the fact that you're away by noticing your phone is not present, I believe). Also I got a $75 rebate from the utility company. Win...win...win.",Super easy install
Google - Nest Learning Smart Thermostat - 3rd Generation - White,1,5,23 Jun 2020,HeatNaz,"So I knew very little about this product when I decided to purchase my 1st one but what I did know was my home as many homes come with these absolutely inefficient thermostats so I bought this nest smart thermostat & absolutely love it
Benefits: affordable & really smart as it learns how hot or cold a person likes their home
Knows when you are coming home as registered by cell phone location unless you tell it not to
Custom daily down to 1/2 hour custom temp daily weekly schedule
Rebate of $75 from srp off your electric bill after 2 months so think about what you paid -$75. How cool is that!
I bought my parents this gold one & installed it at their home. Almost immediately I could tell home cooling way more efficiently
This product is amazing. I would recommend to everyone",The absolute best smart thermostat
