product,verified,rating,date,author,content,title
Google - Nest Hello Smart Wi-Fi Video Doorbell,1,5,23 Nov 2019,IoTGuy,"I have been researching a video doorbell to replace my current Arlo Pro camera that I had on my front door. I was torn between the Ring and the Nest. After watching and reading other's reviews, the Nest's 4:3 picture made more sense to me than a 16:9, which makes everything fish-eyed. The facial recognition works as advertised and is already identifying the USPS and UPS drivers. I have both a Google Home Hub and Echo Show 2 and the camera works great on both.",Excellent Video Doorbell
Google - Nest Hello Smart Wi-Fi Video Doorbell,1,5,23 Aug 2020,AmandaRubntug,"I love the design of the Nest but the main reason I went with this over the Ring is the button push! The click and the chime is instant gratification. If you have used a Ring doorbell you know what I mean, theres no haptic feedback. I easily installed this my self, I had to buy the power supply separately since I don't have an existing door bell. I also had to buy a longer masonry drill bit to get through the stucco exterior wall. Choose a spot on a stucco wall carefully as once you drill you might get stuck with an uneven doorbell. Regardless I highly recommend this over the Ring!",The button press is so worth the price!
Google - Nest Hello Smart Wi-Fi Video Doorbell,1,5,23 Jun 2020,Dave,"I purchased this because my wife and I were gifted a Nest Hub recently, and after many hours of research, decided to purchase a Nest Hello after moving into a new house.

You should know that if you live in an older house, you may have to upgrade your doorbell transformer in order for this doorbell to work. This wasn't that difficult, but locating the transformer can be a quest in itself.

The doorbell has been very reliable and provides a great piece of mind since it records 24/7. The only downside is the monthly subscription, but I knew this going into it.",Awesome home security doorbell
Google - Nest Hello Smart Wi-Fi Video Doorbell,1,5,23 Nov 2019,GGHopwood,"Absolutely love it. I have it for home but also for my office when I'm away. I really like that now it's only one affordable  fee for all the cameras in your home. It's peace of mind and very convenient for someone to reach out if you're not there. The camera quality and audio is very good too. Also, it's fairly easy to setup. It's step by step and several resources are available for installing.",I love it.
Google - Nest Hello Smart Wi-Fi Video Doorbell,1,4,23 Nov 2019,GHOSTLEADER,"This Nest Door bell is good overall. But that’s it it’s just good I had an issue with this nest doorbell after a couple of days of rain it went out. I went trough all the necessary steps to try to reboot it but unfortunately it was basically destroyed from days of rain. Took it back to Best Buy as we only had it around six days before it went out. Best Buy exchanged it for us. We installed the new camera but had issues bringing it back on line to my nest account.But because I didn’t have the original nest contract number I had to call nest customer service. I was able to resolve the issue through nest, however the wait time for nest customer service are exceptionally long you may want to pack a lunch. I bought a protective silicone case to protect the door bell from going out due to weather. It’s been a good couple of months and I have had no issues after protecting it from outdoor weather which I think is crazy being a doorbell is usually outside in the weather. So why didn’t nest design this doorbell to work in water, snowy and cold environments? You will have to ask nest.. From what I’ve experienced is a poor execution for an outdoor doorbell camera. I feel there should be no need for me to buy a rain coat for my doorbell nest should pay me for having to buy such a ridiculous item and the charge $100.00 a year to store 10 days of video. Did I mention this $100.00 is per nest cam so For every nest cam you put in your home it is going to cost you $100.00 so five cameras that’s $500.00. This is why I don’t plan on buying any more of these cams I’d rather record my video locally locking my dvr locked in a safe location. When nest wants to be a little more reasonable on there prices I’m out.",It Works
Google - Nest Hello Smart Wi-Fi Video Doorbell,1,4,23 Jul 2020,TheGreatDoorbo,This product checked almost all the boxes for what I wanted. I was hoping that being able to create “zones” I could avoid getting notifications for every passing car. Not the case. I turn notifications off when not expecting someone. Not really effective for having an app and doorbell that should work together. Maybe the developers will add more customizations.,Good overall
Google - Nest Hello Smart Wi-Fi Video Doorbell,1,5,23 Mar 2020,WarpedTrekker,"The Nest Hello works great and the video is good. Night vision pretty good too. The transformer in my house is 16v 10A and it works with the Hello. Other competing doorbells would have required me to wire in another transformer. Nest Hello is a great addition especially if you have other Nest products. You can manage it all in the Nest app, or access it in the Google Home app. Streaming the doorbell video to my Chromecast TV is great. I ask Google Assistant to show my front door and the TV switches inputs and shows the live video. The 4:3 aspect ratio is great because it shows people head to toe, and also I can see my patio where packages are left.",Excellent security camera
Google - Nest Hello Smart Wi-Fi Video Doorbell,1,5,23 Nov 2019,JCR27,"What I like is with the subscription I got it keeps a 5 day constant recording others just record if something  happens for a short time, whit this I can go back and forward for days in needed",This is great
Google - Nest Hello Smart Wi-Fi Video Doorbell,1,5,23 Nov 2019,Tyler,"Installation was very easy as they I found a guide on youtube walking me through step by step. Ever since I installed this, it hasn't skipped a beat. Nice to see what is going on outside your front door and when packages get delivered, etc.",Great Camera.
Google - Nest Hello Smart Wi-Fi Video Doorbell,1,5,23 Sep 2020,eeakin2018,i switched the doorbell from ring to the nest and I love the quality of the camera. The only thing that I am not real thrilled with is that the nest monthly coverage is a bit more expensive than the ring. You could do $3 a mo for the ring but nest is $6. It's not that big of a deal as fast food meal cost more but still.... Other than that the quality is great.,great doorbell
