product,verified,rating,date,author,content,title
Google - Nest Wifi AC2200 Mesh System Router and Point (2-Pack) - Snow,1,5,23 Nov 2019,Mark,"Nice product. Fixed my Wi-Fi drops in my upstairs. Very easy to install, works absolutely fantastic. A bit expensive, more than I wanted to spend but my Netgear Nighthawk Router gave up so... 
I am ok with this product. No issues, no drops. 
Get what ya pay for.",Google Nest Router
Google - Nest Wifi AC2200 Mesh System Router and Point (2-Pack) - Snow,1,4,23 Nov 2018,Redzdeko,I do not know how I feel about this router Yet.. but I can say the set up is awesome. Less than 5 minutes. - I have an android phone. In terms of performance I am on the fence. I honestly do not see a difference in my connectivity but I did not connect the point only just the router. I will need to update this review..I am not disappointed with my purchase if that helps.,Still on the fence.. but not bad
Google - Nest Wifi AC2200 Mesh System Router and Point (2-Pack) - Snow,1,5,23 Nov 2018,ElderCoder,"Replaced three Xfinity Xpods with these two access points.  The coverage was unbelievably better and they don't crash like the Xpods did.
I handed in my rented Xfinity router, bought my own cable modem and use the Nest Wifi system as my router and it is working great.",Great product
Google - Nest Wifi AC2200 Mesh System Router and Point (2-Pack) - Snow,1,5,23 Nov 2017,GoogleMesh,"Amazing! My AT&T modem was acting up and not delivering the advertised speed. After doing some research, I found this piece of equipment. It is worth every penny, I have conected 24 devices and all of them are working flawlessly. Just make sure you tweak your modem first. Highly recommended!!!",Amazing Mesh/Router!
Google - Nest Wifi AC2200 Mesh System Router and Point (2-Pack) - Snow,1,5,23 Nov 2019,Maury,Got it for my mom. She loves it and she set it up as well. She isn't tech savvy at all but the app was easy enough to assist her with set up. Had the 2 pack orbi and it wasn't cutting it so I returned and got this. Mom's wifi is much better now.,Better wifi
Google - Nest Wifi AC2200 Mesh System Router and Point (2-Pack) - Snow,1,5,23 Oct 2020,Nick,"Had the original google WiFi, this is much better. Don’t use the smart capabilities so can’t speak to that, but in terms of doing what it needs to do? Great. Have 3 points and router in my 2 story 2800 sqft house which is too many according to google, but have a boxy layout so needed it and don’t regret it",Upgrade from Older Model
Google - Nest Wifi AC2200 Mesh System Router and Point (2-Pack) - Snow,1,5,20 Nov 2020,LuvsLakers,So glad I got this!  After years of horrible wifi in my townhome I finally decided to buy the Nest Wifi.  It took just a couple minutes to set up and Wifi has been flawless since!  Very happy with this purchase!,Finally- great WiFi!
Google - Nest Wifi AC2200 Mesh System Router and Point (2-Pack) - Snow,1,5,23 Nov 2019,microboft,"Google Nest wifi Router.

Easy to setup, and it gives wifi extension that I never had before.  It extend to my yard, which I need during my yard work.

Ping response is good.  and built-in ""hey google"" and speaker is another plus.","excellent wifi extension coverage, + ""hey google"""
Google - Nest Wifi AC2200 Mesh System Router and Point (2-Pack) - Snow,1,5,23 Nov 2018,Jmkbean,The best has expanded our WiFi and has allowed everyone consistent internet access without interruption. We had issues at the beginning of school with so many people working from home. The best resolved those and has saved us a lot of frustration.,Worth the money
Google - Nest Wifi AC2200 Mesh System Router and Point (2-Pack) - Snow,1,5,23 Nov 2018,Tony,After several reviews I settled on Nest Wifi Mesh. I was not disappointed. Took a little time to fix settings on my Verizon modem. But once done I saw a hefty bump in download & upload speed. Have no complaints with this at all. Highly recommend!,Great product
