product,verified,rating,date,author,content,title
Ring - Floodlight Cam - White,1,5,23 Sep 2020,tubesock25,"it was expensive, but worth it.  video and sound quality is excellent.  the app works great and being able to adjust the motion detection zone is very helpful.  please note that it requires a strong wifi signal to work properly, so you may need to address that.  i love everything about this camera",excellent quality and
Ring - Floodlight Cam - White,1,5,23 Jun 2020,Hihydy,"If you have cats- it will become annoying at certain points. I bought this for my mom, we have a security system already. But owl doesnt have the feature of live streaming on the phone and being able to talk through the camera like this Ring Floodlight has. 

    My mom can be at work and gets notifications if were leaving or if someones at the door in general. Its so sensitive, that even a cat running by can activate it. So just beware it can be annoying due to that sensitivity. But the safety you feel is priceless. And she loves it",Mom loves it
Ring - Floodlight Cam - White,1,5,23 Nov 2019,Mike,Works well and gives us extra security. I have this working with my Lutron lighting controls so all my lighting will go on when it detects a person near by garage.,Works well and communicates with my Lutron system
Ring - Floodlight Cam - White,1,5,23 Oct 2020,Buckie,I bought two other Wi-Fi camera systems and in my opinion ring is definitely the best I really like these flood cameras they work real well if you get one definitely get one that is hardwired. They are kind of expensive but they get the job done real well,I like ring
Ring - Floodlight Cam - White,1,4,23 Sep 2020,Johnnyexxo,"Seems to work quite well.  You can widen or narrow the area of focus which has is merits.  However, I’ve noticed some deficiencies:
-The loudspeaker isn’t very loud
-The people only setting does not pick up vehicles.  Only pedestrians.  
If you switch to another setting to pick up vehicles, you get everything.  Cats, squirrels, etc.  
Admittedly I’m new to this, so I’m still learning.  But these are my impressions thus far.",First ring camera
Ring - Floodlight Cam - White,1,4,23 Oct 2020,MonMon123,"Installing it was costly because it is wired, so I had to get an electrician to do the job.  However, once installed, the camera was clear and the lights are bright.  What disappointed me is the alarm—-it was not really that loud.  I guess that level would be enough for quiet evenings, but daytime, it’s probably not useful.  Overall a decent product and works well with my Ring ap.",Bright light & good camera
Ring - Floodlight Cam - White,1,5,23 Nov 2019,Dre30,I've had another Ring Floodlight Cam for a couple of years and decided ro add another to my backyard. Integrates seamlessly to the existing app. I love it!,I got 2 now!
Ring - Floodlight Cam - White,1,5,20 Nov 2020,Fool,I really enjoy this product every motion that comes in my area the light turns on. And tells me what’s going on near my neighborhood,Great ring product
Ring - Floodlight Cam - White,1,5,23 Nov 2017,router,The floodlight cam has a bright light and good view off the garage. It hooked up easily along with the Ring doorbell. I am pleased with the clarity of the view and the area it covers.,cam light
Ring - Floodlight Cam - White,1,5,19 Nov 2020,Drumrodgers,Great for what it is. The lights are bright picture quality is ok at night. If you try to zoom in the picture gets real grainy.,Great camera
Ring - Floodlight Cam - White,1,5,23 Nov 2018,Sparky,"Super simple to install and set-up.

Features like adjusting the sensor detection range and being able to turn off lights while keeping the camera active are great.",Motion activated flood light
Ring - Floodlight Cam - White,1,5,23 Sep 2020,Dietta12,This was a great buy has the 2 floodlights along with camera in middle. No one even realizes its a camera. I will definitely get another for my daughter's new home. Only down fall is that u do hav to pay a yearly fee after a year of use. But I do get a discount on my home owners insurance!,Clear and crisp picture n sound
