product,verified,rating,date,author,content,title
Ring - Spotlight Cam Wire-free - White,1,5,23 Nov 2019,mike,Easy install easy setup easy instructions easy to record and simple way to keep your home or property safe and protected,Great starter cameras
Ring - Spotlight Cam Wire-free - White,1,3,23 Jun 2020,Drew,"The camera itself is built pretty solid, the light on it is pretty bright, and the siren is loud. Solar panel works great! With only one battery in the camera i've only seen it drop to 85% overnight and that's with all the settings set to max. For the most part its pretty consistant picture with some stuttering on live view. 2 way works very well also.

Downside? The ring system does not support 5G wifi, which frankly blows my mind. With the cameras on the same channel as most of my household devices it can be hard to get quality picture and even establish a connection to the camera. One would think a company like Ring would support 5G on the cameras considering bandwidth these things can use. 

We live in the country and while the IR sensors work pretty well, half my yard is little to no light so it doesn't go to far in that direction. If you're in a more populated area with outside lights the IR will work better. You can see in the photos I included that in low light it looks really good, but when it gets darker the quality drops if you cannot provide some light for it.

While I would recommend this system (love the battery and solar panel combo) to more residential areas, I am likely switching to Nest which has much better night vision reviews.",Good Camera but bad firmware
Ring - Spotlight Cam Wire-free - White,1,4,23 Nov 2018,Spilly42,"These are not nearly as good as the floodlight cam, so if you debating, get that. I have both. The spotlight cam still takes excellent quality video and with the addition of zones, it has improved the usefulness. The warning: if you cannot choose your wifi speed (2.4 or 5Mb) you will most likely also need a Ring Chime Pro. This is not an issue with the wired Ring cameras, just the battery versions. Also for some reason, it molds on the top of the camera.","Okay, but choose wisely"
Ring - Spotlight Cam Wire-free - White,1,4,23 Oct 2020,Mikey,The only reason I didn't give it five stars is because I have 7 ring cameras and four our Spotlight cam but they are wired 110-volt versions this camera looks exactly like the 110 volt versions so I thought all the settings and features would be the same but they're not the camera works great I bought the solar panel for it it stays charged 100% everyday it just doesn't have all the adjustability for motion on the camera and also adjustability for motion on the light like the 110 volt versions do other than that they works great there's nothing wrong with it I love my ring cameras,My seventh ring camera
Ring - Spotlight Cam Wire-free - White,1,4,23 Jul 2020,NedC,"I initially put this in my backyard. It's doesn't throw out as much light as a floodlight but it is enough.  Ending up getting another one for the driveway. It gets a pretty decent spread of motion detection.  One sort of flaw, for vocal notifications, like ""You have motion in your ....."".   The only device name it says is if you used one of the default name choices.  For example, my driveway cam I named , well, Driveway. But whenever there was motion it would say, in the app vocal, ""Motion in your spot camera"".    Driveway is not a default. I renamed the cam  ""Front"" and now it says ""motion in front"".   The popup notify on your phone does show any name.  I confirmed this with Ring support and they created a ticket to have more name choices.    The cam runs on one battery, but you can put two in, then when one drains, it will switch to the other while you charge the one.  Solar is also a choice. Because my driveway requires a ladder for me to change batteries, I decided to order the wired one and will put it in the driveway.",Bought more
Ring - Spotlight Cam Wire-free - White,1,5,23 Nov 2018,Rena,"""
I found unit easy to install and use-as long as you follow the instructions. Battery took 6 hours to charge and is holding charge well. It only took a couple of positions and sensitivity adjustments to find the best settings. I also found that downloading the Rapid Ring App in addition to the Ring App, was a good decision. It gives you instant access to the live camera.
Would you recommend this product as a gift?",My ring
Ring - Spotlight Cam Wire-free - White,1,4,23 Nov 2018,AdamS,"Pretty good.  Image quality is good with good lighting, but this is used on a garage at an alley and I really should of got the bigger flood light. Otherwise pretty good.  Got it to pair with my ring alarm system (doorbell, indoor camera, motion sensors, door sensors,keypad, and alarm siren/base). Also got some connect smoke and CO detectors to pair to the system.",Good product
Ring - Spotlight Cam Wire-free - White,1,5,23 Oct 2020,DebL,"These Ring Spotlight Cams are just what we needed for our  back patio and back patio. The batteries have held up so far, but one is draining faster than the other. We adjusted its motion sensitivity as it was being triggered more frequently than the backyard one due to its location by the sidewalk. The drain on the battery has slowed down some. We prefer the Battery-charged Spotlights rather than the Wired ones since they would have required an electrician.",Battery-charged Spotlights
Ring - Spotlight Cam Wire-free - White,1,3,23 Nov 2018,MikeMike,"I read all the reviews about the wireless ring spotlight, good and bad reviews. After all those reviews I end up given them a chance since they are wireless. 
Here we go....

Battery: 
Everyone wants to know how long this device really last. Now I don’t know how the device was tested to last 6 months on a single charge. I’m still on the edge to see if my cameras will even last the month. I installed them on 12/3 and as of today 12/17 (14 days in) , they are at 40 and 37 percent full. My settings are at the lowest settings and if I’m home I try not to check the cameras through my phone to save the battery since I notice the battery drains like crazy when you view them live (disappointed) Yes that defuses the point of being able to see them love. I figured why not just look out the window, rather then letting the app load. So, as of now, the battery is not the best and I wish they would come with two batteries instead of one. 

Settings: 
This part really took me by surprise. Ring advertises that you can select the area you want the motion to be patrol. Negative, that’s only with the hardwire products. The wireless one only gives you the option in a 180 degree and from 0-30ft. The wire one gives you more options. Also, on the wireless one, you.l can’t select the sensitivity of how the camera senses motion. Wireless just has light, standard, and frequent. The wire one has from pets to only persons. This was a really set back for me when I found this out because my neighbors cat is always setting off my cameras. 
Ring, please update this!! 

Quality: 
The quality is a hit and miss. You can’t really see a clear image when you zoom in. Not sure what that consist of. At night, the spot lights are great. They give enough light to alert any intruders. Night vision is good but you have the same problem when you zoom in. The two way talk is great, used it couple of times and they’ve been a success. Only reason I haven’t returned them back. 

Over all the cameras would be better if they had the features ring advertises and if the battery life really last 6 months.

I would love to know how I can get the 6months or even 4-5 months of battery life.",Great product but...
Ring - Spotlight Cam Wire-free - White,1,4,23 Sep 2020,JohnB,I purchased a couple of these for my home and have been very happy with the quality of the video. I have mine set in the most sensitive setting and get a about a week out of the battery. You can back the sensitivity off and extend the battery life to you can add optional solar panels to help supplement the battery. You must purchase a plan with Ring if you want the data uploaded to the cloud but the cost is very reasonable. It's a great option if you don't want to have hardwired cameras installed,Great camera but could use longer battery life
Ring - Spotlight Cam Wire-free - White,1,4,23 Nov 2018,Moda,This is the first spotlight cam I've purchased and it's a good addition to existing Ring set up. The amount of light it gives off is a little disappointing. I have 2 Ring Flood cam and although I can't expect them to give off the same amount of light I would like to see a bit more for this camera.,Good addition to the family
Ring - Spotlight Cam Wire-free - White,1,4,23 Nov 2019,PamSD,"Installed almost a month ago. Easy to install, clear picture. Hooked to our home's wifi through the mobile app. with just a little difficulty (not exactly as directions noted but worked). Motion detection very good and can be adjusted back if too sensitive. Live view is a nice feature but if you have more than one camera, doorbell etc. streaming you can go through mobile data quickly! Multiple mobile users can have access. Ring protection plan is available and very economical (free 30 day trial when you activate your cameras). Batteries are inexpensive and in these Spotlight Cams you get one battery for each camera but they can hold 2 each. Buy the extra 2 and you can double the time. USB charging cables come in the package. It looks like one battery charge will last over a month and with 2 installed in each Cam the time will be doubled. It also depends on your settings. The neighborhood watch group in the app is informative. Everything for installation is in the packaging which made it very easy. The only reason I go with 4 stars vs. 5 stars is there was not much information (and is not easy to find after the fact) or a warning about how much data use can occur. We installed the 2 cams and a doorbell and had all 3 with live view activated. We used triple the mobile data we normally do. If you have unlimited no problem or if there was a warning about the live streaming it would have helped. We have adjusted our viewing and love the security of being able to see our home from anywhere. Absolutely a very good purchase that I recommend highly!",Lots of Features and easy to install
Ring - Spotlight Cam Wire-free - White,1,5,23 Nov 2019,Sonytelevision,"We have had these for a bit, have had no problema with them at all. Very easy to setup  With the Wifi ones. Can Taylor them for your yard and the motion you want to pick up. I did buy one extra battery that i put in the one camera that gets the mostro use.",Ring
Ring - Spotlight Cam Wire-free - White,1,5,23 Oct 2020,JANEY,"It is working great.  I am amazed at the motions it picks up.
We live on a corner lot and it can pick up both streets.

We had a beautiful owl who landed on roof area and it was
looking right into the camera.  Stayed for quite some time.

We plan to purchase another for rear location on the property.",Night Owl Guard
Ring - Spotlight Cam Wire-free - White,1,4,23 Oct 2020,JT31,"The problem with this thing is that it continues to detect motion that shouldn’t be detected. I have it set on person only mode. However, it continues to alert on a patio umbrella that flutters a little teeny bit in the wind. It should recognize the difference been a person and a little bit of fabric swaying in the breeze.","Pretty good, but not perfect"
Ring - Spotlight Cam Wire-free - White,1,5,23 Nov 2018,Nick1,"Kids have a problem with people putting toilet paper , forks buried in the yard air let out of tires and filthy words painted on their cars put a ring camera with a solar charger for the battery on the house so they can record for the Sheriff department.",Kids security cam.
Ring - Spotlight Cam Wire-free - White,1,5,20 Nov 2020,Jack,"Great added security for my home.  Very alert whenever a living creature walks by, this will alert me immediately.  Peace of mind.  too bad you need to pay fees to have video playback but the fees is small.",Great Nice Looking Camera
Ring - Spotlight Cam Wire-free - White,1,5,23 Nov 2019,JOYY,"If your looking for a straight forward install, this is all you need. Installing and setting up this cameras was a breeze. If you are lazy to charge the battery every two weeks then buy extra battery if you are installing the camera on high traffic area. So far this units served their purpose.",Its get the job done!
Ring - Spotlight Cam Wire-free - White,1,5,23 Nov 2019,Sharon,"Love the spotlight cam. The image is good quality, the audio recordings as well. It turns on the light at night when theres movement. Had it for a month, so far the only downside is you have to be close for it to detect movement",Good quality
