product,verified,rating,date,author,content,title
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2019,Foxmx,"Great add on for an owner of a Ring doorbell, now I can see from another perspective who’s in my door",Great add on
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,17 Nov 2020,CameraBag1,Great camera with really good clarity.  Love how easy it is to set up and install.,Back Yard Ring
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,4,21 Nov 2020,Delia0399,"Good camera, light weight doesn’t need a cord to charge, battery life is not the greatest but is easy to install.",Ring Camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Sep 2020,Lala,"I have these in several rooms as well as on my porch, it helps me keep and eye on my pets and my children while also protecting my home. You can speak to delivery workers from inside of the house or anyone",Perfect for protecting your home
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Jul 2020,FaridSanz,"GREAT VIEW! HD. The price is fair. My only suggestion to RING would be to update the MOTION ZONES so we can select the or draw our zones. Having 3 On/Off zones does not work specially if you live by the street or traffic. Battery also does not last 6 months as specifired. Other than that theyre good cameras, you can recharge the battery or put a solar panel sold by ring.",BUY IT! ITS WORTH IT!
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Jul 2020,Matityahu,"The versatile nature of the Ring Stick Up cam is nice. Can use Indoors or Outdoors. Mounting is a breeze and comes with all the hardware needed. The only downside is that you don't have the ability to run it on either battery or wall power. Ring sells two separate devices for this, why not combine them into one product?",A great addition for Ring users!
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,18 Nov 2020,TechGeek,Works perfect in my garage. Captures everything! The night vision is awesome,Ring
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Jul 2020,Jay1,This camera is really great. It's small but yet is very good and quality is awesome for the price couldn't have chosen a better camera at a great deal. I would definitely recommend this product to anyone. I'm glad I chose this who specifically as well. Best Buy always has good deals and hasn't disappointed me yet.,Really great camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,21 Nov 2020,Dave,Great camera! Resolution and clarity is very good and very easy to set up!,Excellent camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2019,Aimee,"Brand new,  shipped timely although was a day late, most shipments have been. Good deal.",Glad to have
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,4,23 Oct 2020,Lisa,I have this on my side covering my garage side door and I was able to customize the sound so I know which ring device is alerting me to motion. I have no issues with it thus far.,Works well
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,4,23 Nov 2018,Tysofly,very glld camra I use it all the time only thing is u have to change the battery a lot i wish they had stronger battery with these camras,good
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2016,jose,Bought this for my mom and she paired it woth her ring door camera and she absolutely loves this. Gives her a piece of mind.,Ring
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2019,Lalo,Bought this for inside the house love it. Keeps an eye inside the house when I’m not home,Great image
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,20 Nov 2020,Riot,Works great and the battery lasts a long time. Install was super easy,Great purchase
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2019,BigMuss,Easy to set-up and excellent quality. I’ve found these to be perfect for my back yard.,Great cameras
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,4,23 Nov 2017,Poroto,"So far so good. 
I wonder how my experience will change after the free subscription ends. 
Is not clear what are the benefits of the subscription.",Subscription concerns
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2019,SusanM,It’s nice to be able to keep an eye on the inside of the house including the animals.,Safety
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Oct 2020,Delqath,"Simple to setup and has a great image quality.  The normal ring app is sometimes slow, so make sure you download ""Rapid Ring"".",Great camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Sep 2020,Patrick,I really like this camera.  I fully charged it and set it on motion detection. It's been active for weeks. Still at 80%. Hidden on the front porch between plsnts. Dose not have any issues. Go live works awesome.,Ring indoor and outdoor. Camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Oct 2020,gabe,this camera is great wireless and pairs to the ring app no problem. I bought it to keep an eye on my dog when Im working.,excellent camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2019,Barbie,"The camera works great. I have it hooked up the the solar panel so I don't have to constantly recharge the battery (which takes hours to do). The setup was easy but I did have an issue with getting the camera to recharge with the panel at first,(it didn't want to recognize it was hooked to the panel) but I called customer service and they were able to factory reset the camera and it has worked great since with no issues. It has been cloudy and rainy lately and my camera still has power.",Works great
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Sep 2020,Betsy51,"I purchased this camera to put out in front of my home. The quality of the feedback is amazing. Bright light, low light, this camera performs above and beyond my iriginal expectations!",Great camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,22 Nov 2020,Tito,"Great product, installed in an hour, ring app is very easy to use",Ring camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,4,23 Nov 2019,John,"Good security camera for indoor and outdoor use, able to see what is happening from smartphone even when not a home",Good security camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,4,23 Nov 2018,Lion,Good quality camera but device is too expensive. Would have selected different camera but it interfaces easily with Ring app.,Security Camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Oct 2020,JHA2,A terrific complement to the rest of my Ring system. For a secondary entrance this camera may be a better (cheaper) option than a Ring doorbell.,Great camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,4,23 Nov 2019,Jenkins,"It feels like a motion sensor with a camera attached to it instead of the other way around, but it will do for now.","It works, takes video and notices things that move"
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,3,23 Nov 2019,mookie,"Decent camera. Good video quality. The sound quality both with the speaker and mic were not great. The battery life seemed okay, but I had bought a solar panel to keep it charged so I didn’t have to get on a ladder to change batteries every few months like I do with my Ring Doorbell 2. Unfortunately, the solar panel doesn’t work. So I returned the camera along with the solar panel.",Good Little Camera With Flaws.
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2019,Great,Bought to watch mom when we weren't home. Very great for the price  does the job,Great buy
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,4,23 Sep 2020,Sashimi13,I added a solar charger to try out and see if I can avoid charging battery from AC . So far the device is ok for a backyard application. Returned the other one I purchased for a wired one in the front yard and high activity.,It’s ok so far
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,20 Nov 2020,MKMK,Love the view of my yard from this camera. Highly recommended.,Love it!
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,22 Nov 2020,Angie,Picture quality is great. Live view is great. Easy to install.,Ring camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Oct 2020,Juan,I bought this camera to keep an eye on my boat. The dock is far enough away from the house that other brands signal wouldn’t reach but my WiFi did and it works great,Works great
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2019,Wizardrocs,This ring is nice get notifications emails me when battery needs to be charged.,AAA DOORBELL
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Oct 2020,Greatness,Awesome item works great for checking in on the kiddos while doing school work making sure things are getting done and checking to see whom is sneaking food upstairs,Awesome
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2019,gfossie,Perfect for the location I needed to protect. Unobtrusive and very easy to mount.,Back yard protection.
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,4,23 Nov 2018,GZML,"Relatively easy to set up and install. The battery life is good, but they have to be monitored and changed diligently.",Ring vid
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2017,WoodcliffLake,So great I bought another and one for my parents.  They work great and the storage plan is reasonable.,Home security
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Sep 2020,Jonboy,This camera was easy to hook up and connect with other RING products. The only down fall is making sure there is a spot light nearby at night to help make the camera visible.,Great camera for outdoors
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Oct 2020,Iroh,Great product the only download side was the first one i got had a connect issue but other than that its awesome,Ring camera
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Aug 2020,JayHouston,"We replaced three older Arlo cameras with these Ring cameras, along with the solar panels to power them. They were easy to install and the images they produce are very clear.  We already had a Ring doorbell, so all of our monitoring devices are on the same software platform, which was another reason for the switch.  Not knocking Arlo, as we got good use out of them, but it was time to update our system and Ring seemed to be the best fit for our need.",Great viewing
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,4,23 Oct 2020,Titanost,"This is a very good, high-quality camera with a good battery life and nice features such as automatic alerts for detected movement, night vision, etc. The portability makes this a game changer, because you can pick it up and put it anywhere that you have a concern. However, in order to actually save any of your footage, you have to pay Google for a monthly subscription fee (beyond the one-month introductory period, which is free). This would be forgivable, if there was the ability to record to your own personal hard drive or NAS; however, this is not an option with this camera. If being able to record and save video is important to you, and you are not already paying for a Google subscription, be aware that the overall cost of operating this camera will be far higher than the actual sticker price.","Nice Camera, but pricing model is deceptive"
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Nov 2019,Jeffdaws12,"Camera is good for the price.  By it being 1080p, your picture is pretty clear.  The battery will last you for about 30 days then you will need to recharge it.  You can secure the camera to any surface by using the security screw that comes with it.  You know immediately it's recording by looking at the blue light on the camera so you won't be missing any images.   It's very easy to merge with other ring cameras as well.",Great Camera Addition to your Ring products
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,21 Nov 2020,stimpytheman,"This camera was ordered to cover a blind spot that I had in front of my garage and has more than exceeded my expectations.  Ring products are the best bang for the buck by far and with also having a ring doorbell and floodlight, feel that my house has a great, budget family, means for monitoring activity at all times with great options and video quality.",RING PRODUCTS NEVER DISAPPOINT
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,3,23 Dec 2019,greg,"we purchased 3 cams ,they installed very easily ,and the video is good, but the audio on these are weak , i contacted 2 different people at ring to discuss the problem, one was not very knowledgeable about the product , the other was good but i got conflicting answers. we were trying to find out if the spotlight cam had better audio .and if the siren was a little louder? the alarm on the unit is very low. i still don't have an answer and best buy has made it even more complex to try and exchange one for a better wired unit because it was on a 0 interest purchase. turned into quite a ordeal. if you want this for just video or to hear what is outside its really pretty good, if you plan to talk to the people outside (like they show in there ads ) or want to hit the siren to scare them away. you better open your window and ask them to put there ear to the unit","not bad cam, audio is not good at all"
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,23 Oct 2020,DebL,"This Ring Stick Up Indoor/Outdoor Wire-Free Security camera was bought to install under the eave of our house to light the side yard. The angle view is only 130 degrees, so it doesn't cover the wider range of 180 degrees that the Floodlight Cam does. We decided to buy another floodlight cam for the back corner of the side yard and use this stick-up cam in our garage on the back of the middle of the drywall. If our garage door is opened, we get an alert of if we just want to check on our cars,  we can look at a Live view from the comfort of our bedroom.",Garage
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,20 Nov 2020,JustMe,"I was concerned about battery life when I purchased this. However, for my purposes, this is not remotely an issue. It has been in use for 6 weeks now. I have it set up for motion with a picture every 5 min. I only use it at night. I still have about 3/4 battery life and there are usually 3-8 “events” every night, sometimes many more.",Good battery life. Easy to use.
Ring - Stick Up Indoor/Outdoor Wire Free 1080p Security Camera - Black,1,5,18 Nov 2020,ladyred,I wish I would have gotten a few more when they were on sale. I love that I can check in on my home from my phone. It alerts me if there is movement in my room that I have it in. Its small enough to not be so noticeable. It has a wide spam of the room so nothing is hidden. Now I have to get more for the other rooms in my house.,I see you
