product,verified,rating,date,author,content,title
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Nov 2018,Adrian,"Peace of mind know who's at the door, added security able to have conversation with person at door.",Peace of mind no who's at the door security to a c
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Nov 2019,ZR1205,"I installed this in March 2019. The home was built in 1993 so had the older 10v 5va doorbell transformer.

The Ring Pro requires a 16v 30va transformer. Home Depot and Lowes do not carry them, nor does Ace etc, so ordered one on Amazon. 


Installed the transformer then the Ring Pro. I also have a strong internet wifi at the front door, so was ok with that part.
 I also installed the little square white box Ring Pro provides in the box, that protects the Ring circuit so it doesn't get fried, before I powered everything up. 

Great video and 2 way sound, and setting the motion zones very easy. 

So far, so good, would recommend. Have had it running a couple of weeks now.","Love it, dont forget 16v transformer."
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Nov 2016,Turbogizzmo,"The Pro is great! It's slimmer so it can fit in the tight spot i needed. I had issues with the first unit and Ring 2nd day'd me a replacement and their support was top notch! The wiring was easy with plenty of details via manuals, online videos and articles on the site. 

Make sure to ask Best Buy Employee for the Ring Pro if you don't see it on display. They had them in the back stock room and just the bigger battery models on display.",Best Home Automation Investment!
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Nov 2017,mjustin,This doorbell is so easy to setup. The video instructions gives you a step by step guide. The app is very easy to use.,Great Video Doorbell
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Nov 2016,Far1234,"Easy to install and easy to use. $3 for recording per month is perfect.
Looks good and changeable faces was a good idea.
Just make sure that you have electricity where you install it ( it doesn't come with a battery like the older model).
One time it stopped working and I had to disconnect the wires and connect them again and since then it works perfect.
One day some weird people came to my door and I wasn't home so I used the talk button from my phone and talked to them so they thought I'm home and they went away.",best $250 that I spent
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Nov 2017,PaulC,This has met all expectations. Added the monitoring for a year for $30. Well worth it! Easy to install and set up,Great product
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Sep 2020,Kenneth8608,One of the beat purchases I have ever made.  I love it!!  I had a contractor come to the door.  I was two minutes out.  I was able to talk to him from my car to tell him that so he didn’t leave!  How awesome!!  That’s just one example!  It’s great!!,Ring doorbell
Ring - Video Doorbell Pro - Satin Nickel,1,4,13 Sep 2020,David,"At first I got the Ring 2 and was not happy. The Ring Pro is much better quality and timing. Lag time is minimal with the Pro - not so much with the standard Ring doorbells.  Set up was a little frustrating,  but eventually got it working.",Works much better than standard ring
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Nov 2017,samel,I like this doorbell not only because it chimes when a stranger presses the button but you can also watch all of your neighbors unusual activities,ring ring ring
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Jul 2020,Jason,"I have been holding out on adding a Ring doorbell to my house as I found it unnecessary for a long time.  However, as we started to order more items from Amazon Prime it became essential while we are out of the house for work.  It is amazing the items you see happening in front of your own home.  Just the other night we had a fox on our porch at 3:00 am just hanging out.  Besides the protection, the kids enjoy these sightings.",Great Addition
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Sep 2020,Cindy,Just had this installed and I love the view... the only thing that bothers me is the notification every times vehicle pass the house but I’m new to technology so I Will figure our how to stop that... All n All the doorbell is great,Camera doorbell
Ring - Video Doorbell Pro - Satin Nickel,1,4,13 Jul 2020,RWEST,"I have this doorbell almost a year now and enjoy it  My only negatives are the camera does not capture the ground in front of the door so I cannot always see the packages that are left there.  I wish the camera angle could be adjusted.   I also object to the monthly fee for saving videos, which I do not subscribe to.  Otherwise, I am happy with the product.",Pretty Good Device
Ring - Video Doorbell Pro - Satin Nickel,1,4,13 Nov 2018,Paranoid,Every time a car goes by I hears a ring.  The pitcher is about 20 sec. behind but I can see what is going by.,Ring
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Oct 2020,JoePhoto,"Nice to have wired in so no batteries to take care of.
Integrates with smart home features and Alexa.
Requires monthly fee to keep recordings. A bit annoying but not a big deal.",Easily wired into existing doorbell wires.
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Jul 2020,Frenchie,"The only problem we had is that the Geek Squad did not install the Pro Power Kit which led with loud noises. We were told that they could not do anything and that we needed to call an electrician.
Electrician came and  said that Pro Power Kit should have been installed initially. We called the Geek Squad about 10 days ago and asked for the General Manager to call us.  Still waiting on phone call",Good product
Ring - Video Doorbell Pro - Satin Nickel,1,4,13 Jul 2020,Jaye,Ring doorbell is a good interactive video doorbell. Like that it works with Echo Show devices and love that you can see and communicate with whomever is at your front door without ever getting up. The $180 sale price along with the free promotional item that was included made this a great buy!!!!,Nice Doorbell
Ring - Video Doorbell Pro - Satin Nickel,1,4,13 Sep 2020,Chelle,I haven't figured out how to keep it from picking up every little thing and sometimes when I try to bring up the video it is just a black screen. But I was able to set it up fairly easily and for the most part it works fine.,Good but
Ring - Video Doorbell Pro - Satin Nickel,1,4,13 May 2020,Packerman77,"My story with video doorbells is a long journey simply because of the doorbell chime I have installed in my house.  The builder put a Nicor 18888 chime system in which is not compatible with much.  I upgraded my chime to the Nicor PrimeChime Plus, but again that is only compatible with a few video doorbells and the Ring Pro is not one of them.  So be sure you know what chime system you have before purchasing any video doorbell.",Good product but I cannot use it
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Nov 2017,Kisma,Absolutely love my Ring doorbell.  I recently moved and left my old one behind for the new owner so this is the only one I want at my door.,Great product
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Nov 2016,Bhart,Works great! A little sensitive. Once I put it on people only worked better. Still picks up on people walking down the sidewalk beside my house.,Love it
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Dec 2019,mikez,"I wanted to not have to have cameras around my house and, in reality, they are probably a bit overkill most of the time. What brought this on is that I had 2 idiots walk up on my porch and try to steal Halloween decorations and a light timer. Grand total of $40 worth of stuff. They were probably neighborhood kids. The simple fact that people came onto our front porch with my family sleeping and the only reason I knew is because I was up late/really, really early spooked me. I travel a bit for work and the added peace of mind this gives both me and my family is worth the investment. Add in the fact that I get alerts when packages are dropped off wherever I am and can converse through the app on my phone and it is even better. I also added 2 ring solar spotlight cameras to the system. Would I rather have spent the money on something else? Yes. Am I happy we have the added peace of mind? Abso-freaking-lutely.",Did not want to like it.....but I do
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Oct 2020,Nopeeps,I live alone and have no window in my front door. The ring has taken anxiety away when answering the door as I can see who is there. The panoramic view is an added bonus. I would purchase again,More than expected
Ring - Video Doorbell Pro - Satin Nickel,1,4,08 Nov 2020,Technodolt,GOOD BASIC SECURITY.  A LITTLE CUMBERSOME TO VIEW WHEN ALERTED.,DOOR RING
Ring - Video Doorbell Pro - Satin Nickel,1,5,13 Nov 2017,SportsFam,Everyone needs to invest in one!!! Great for knowing who is at your door without you actually having to peek out the window.,Safety first
Ring - Video Doorbell Pro - Satin Nickel,1,4,13 Sep 2020,jpg1,All in all this item does answer the hype. The only downside is it picks up a very wide berth so can be annoying but that’s a small price to pay for a greater sense of security,An offer that truly is as good as it seems
Ring - Video Doorbell Pro - Satin Nickel,1,4,13 Nov 2019,KTA1,"Had a few stumbling blocks on the installation.  Scheduled installation during our construction phase of the remodel - and didn't even think we needed WiFi AND electricity.  They were great on delaying the installation until cable and power restored.  Then they discovered we had terrible WiFi signal that needed to be addressed.
Best Buy came thru with some suggestions on how to improve the situation, reviewed what had to be done once signal strength improved if I wanted to finish it myself - which I did but they stopped by next time they were in the area to make sure I din't have any problems.
As for the product itself - not the instant ring and picture you see in the commercials but that maybe an issue of the signal strength and our particular door location and exposure does have its share of being triggered by traffic.  But it does save on answering the door without having the descend all 3 levels to check who is at the door.",KTA1
