product,verified,rating,date,author,content,title
Ring - Video Doorbell 3 - Satin Nickel,1,5,23 Oct 2020,BigMac,I really enjoyed the ring doorbell except my mind at ease the best purchase I made all year,Loving it
Ring - Video Doorbell 3 - Satin Nickel,1,5,23 Aug 2020,Kiki,This is my first video camera.   It was super ez to connect.   Took 5 minutes.   The picture quality is AWSOME.   I connected the chime pro to it and it's loud.    I don't have alot of delays like some stated.    It's pretty much accurate and on point.   I was able to link it to my Alexa device.    I had problems with people stealing packages so hopefully this will deter them from doing so because I made my camera visible.,Great Camera
Ring - Video Doorbell 3 - Satin Nickel,1,5,23 Sep 2020,MSHeavyDuty,Love the Ring Doorbell! This is not our first...actually our third. We loved the one that we put on my mother's house when we moved in to care for her (has Alzheimers). It came in so handy many times. Today showed me just how valuable having the Ring Doorbell at our home that we are remodeling. Contractor was at our house but we weren't. I answered the Ring and talked to the Census interviewer via the Ring! He had no problem understanging me when I answered his questions. My husband and I have now decided we no longer have to do a whole house wired security camera system. I highly recommend the Ring Video Doorbell.,Love It!
Ring - Video Doorbell 3 - Satin Nickel,1,5,23 May 2020,Antron30,Great product it connects to all three of my echo dots and my echo show 8 and when the doorbell is press the live feed shows up on the echo show and along with a voice alert saying someone is at your front door with a door bell chime so u dont have to purchase the chime from ring if you have any echo dots or echo show,Ring doorbell 3
Ring - Video Doorbell 3 - Satin Nickel,1,5,23 Jun 2020,DavidAllan,"This is our 2nd Ring video doorbell.  This newer model has some nice features, especially the easy to remove to charge battery.   The ""screw"" that holds the case closed to give access to the quick change battery is a real pain to use so I keep it closed with a small piece of tape.",Works great.
Ring - Video Doorbell 3 - Satin Nickel,1,4,23 May 2020,Serenitysis,"My Ring doorbell works, it just doesn’t alert me until the person is walking away.  That makes talking to them pretty impossible.  I am disappointed about this.",Ring Doorbell
Ring - Video Doorbell 3 - Satin Nickel,1,5,23 Oct 2020,MooseD,Bought this camera for peace of mind. Installation was not difficult. Took a bit more time to adjust the settings. When facing a busy street I found that the camera was activating every time a vehicle passed by or someone was walking by on the sidewalk. Pulled back the zone so now it only activates when someone gets close to the porch. Did have to add a WiFi extender to get better coverage as I was missing alerts with spotty WiFi coverage during certain times of the day. Video quality is good. Also purchased the Chime Pro to get alerts inside my house. Connects through WiFi to all my Ring cameras. Recommend purchasing a backup battery to have ready to replace existing one since it takes so long to recharge.,Easy wireless setup.
Ring - Video Doorbell 3 - Satin Nickel,1,5,23 Nov 2019,JHSr,"An excellent product indeed! It works as described and carried more features than I thought. During this season, while at the gym, it was great to be notified of motion on the porch. The video on my phone of a Mario building set for my grandchild was delivered and left on a chair on our front porch. My wife was away too but close enough to return home immediately and get the package before someone driving by or walking by was tempted to take it. The app features also link with other devices and let you know when something is happening in your neighborhood. Glad we have it.",Great Device to Monitor Porch
Ring - Video Doorbell 3 - Satin Nickel,1,5,21 Nov 2020,ZYZzyz,Very easy to install. As far as setting it up on Amazon Alexa as well as fire TV there is a small learning curve. May need to have it set up by the most technical person in the house. Once it’s set up it works very well and can be integrated with iOS and Android mobile devices.  All in all it provides exactly as much real-time and historic monitoring of events within its view as you want in 1080p video/sound. The one thing I do not yet have experience with is the service as I am still on the first free month.,Does what it says on the box.
Ring - Video Doorbell 3 - Satin Nickel,1,4,23 Jun 2020,Barney,"Ring works well. Main issue is battery recharge requirements. 

Even though I have a second battery to use when the charge of the first runs out you have to replace the used battery too frequently.
I’m going to look into getting a power box to go directly to the Ring and a house power socket.",4.5
Ring - Video Doorbell 3 - Satin Nickel,1,4,23 May 2020,Packerman77,"My story with video doorbells is a long journey simply because of the doorbell chime I have installed in my house.  The builder put a Nicor 18888 chime system in which is not compatible with much.  I upgraded my chime to the Nicor PrimeChime Plus, but again that is only compatible with a few video doorbells and the Ring 3 is not one of them.  So be sure you know what chime system you have before purchasing any video doorbell.",Wish I could have loved this!!
Ring - Video Doorbell 3 - Satin Nickel,1,4,19 Nov 2020,Strosfan23,"So far, so good!  I get an alert every time someone drives by, and when a package is delivered, so it is good for peace of mind.

I would highly recommend getting a second battery,  because when you have to recharge it, it usually takes several hours to fully charge the battery.  

I am also now planning to get the chime, so everyone inside hears when someone actually rings the doorbell.  

Overall, I am very satisfied with the Ring Pro 3, but would love to have the option for internal storage instead of having to pay monthly to keep any videos for later viewing.",Good doorbell for an okay price!
Ring - Video Doorbell 3 - Satin Nickel,1,5,22 Nov 2020,maldonotto,This is my second Ring doorbell as I had the original Ring 1. My first unit was not hard wired and it had a rechargeable battery but it wasn't removable. I went with this style because of the ease of being able to recharge the battery without having to remove the whole unit. I'm glad I went with this style. An added bonus is you get to pick from 2 different colors as both covers come with the unit.,Ring 3 Doorbell
Ring - Video Doorbell 3 - Satin Nickel,1,5,23 Sep 2020,Shauna,"This is a great way to keep an eye on your property surroundings. I love the Ring doorbell. I am able to see when packages are delivered as well as when anyone approaches. The app for Ring doorbell connects you to your neighbors and you are able to see what is going is on in the neighborhood, as well as inform others. This was an amazing purchase, and I will continue to buy Ring products!",I love the Ring doorbell
Ring - Video Doorbell 3 - Satin Nickel,1,5,22 Nov 2020,Cjcj,Upgrade  from a Door Bell 1 to the 3 and it’s totally like Daylight to Dark.The video so clear and no more statistics when someone speak.Also the range is so much better like the Ring one at full 30 feet could not pickup at our mailbox.The Ring 3 i now pickup the mailbox and other cars we live in a culdesac .,Great
Ring - Video Doorbell 3 - Satin Nickel,1,5,23 Nov 2018,PDMC,"We are very pleased with the Ring Video Doorbell 3. Out of the box, the Ring app did most of the work to set up the device with our WiFi network. I am especially happy to see the unit is provided with a rechargeable battery pack (no running out of batteries).  We are really impressed impressed with the Ring Video Doorbell 3 and highly recommend it",Best Ever Video Doorbell
Ring - Video Doorbell 3 - Satin Nickel,1,4,20 Nov 2020,Cindy,"Easy to install and the camera is very clear. Many settings to customize. I have it set to notify when it detects a person so I don’t get unwanted notifications. I didn’t hard wire so with battery only, it doesn’t last as long as expected so I purchased an additional battery to keep one charged at all times. I’m happy with my purchase",Feeling more secure
