product,verified,rating,location,date,author,content,title
Echo Flex - Plug-in mini smart speaker with Alexa,1,5,Reviewed in the United States ,5-Dec-19,Drumlord29,"I added another echo device to my collection! I've got every single kind of echo in the market. For obvious reasons, the speaker isn't the best. It is surprisingly smaller than I thought. I use it in my garage for when I close the garage using Alexa. I have the MyQ garage opener which i can open or close with my echo auto in my car. But after I turn off my engine, so does my echo auto. So I have to pull out my phone or manually push the garage opener on the wall. So I plugged it underneath my garage door opener so I can tell Alexa to close or open the garage door from anywhere in my garage without my phone or pushing a button. I don't really intend to use this for playing music. It's really for doing simple Alexa tasks in my garage. It is an echo device that is not meant to look and sound pretty. It's Alexa at its most basic form. Small, no cables, small speaker, and works like any echo device. I believe it's meant for a garage bathroom or hallway if uppity have the night light or motion detector accessory. If you want to play music with it, a bluetooth or wired speaker is highly recommended. Although I had very little expectations with this being that I meant to use it to just open and close my garage, I did notice one negative thing on it. I tried adjusting thre volume from the Alexa app but it switches back to 70% everytime. No idea why. Perhaps there built in speaker is best heard at 70% and if connected to a better speaker, it will allow for a louder volume. I'm going yo have to try that someday. But for now, it's perfect for what I wanted to use it for. If you know what you need it for, don't expect it to be more than that. If you want a better sound, get a dot or something bigger. For simple uses, this will do fine for all your Alexa needs. I may use it for my echo microwave which is currently paired with my echo input connected to a speaker. Don't blame the equipment if you want it to do more than what the hardware can achieve. Be fair to the gadget on what it is capable of doing.","Small, not for music, great for basic Alexa"
Echo Flex - Plug-in mini smart speaker with Alexa,1,5,Reviewed in the United States ,5-Dec-19,Drumlord29,"I added another echo device to my collection! I've got every single kind of echo in the market. For obvious reasons, the speaker isn't the best. It is surprisingly smaller than I thought. I use it in my garage for when I close the garage using Alexa. I have the MyQ garage opener which i can open or close with my echo auto in my car. But after I turn off my engine, so does my echo auto. So I have to pull out my phone or manually push the garage opener on the wall. So I plugged it underneath my garage door opener so I can tell Alexa to close or open the garage door from anywhere in my garage without my phone or pushing a button. I don't really intend to use this for playing music. It's really for doing simple Alexa tasks in my garage. It is an echo device that is not meant to look and sound pretty. It's Alexa at its most basic form. Small, no cables, small speaker, and works like any echo device. I believe it's meant for a garage bathroom or hallway if uppity have the night light or motion detector accessory. If you want to play music with it, a bluetooth or wired speaker is highly recommended. Although I had very little expectations with this being that I meant to use it to just open and close my garage, I did notice one negative thing on it. I tried adjusting thre volume from the Alexa app but it switches back to 70% everytime. No idea why. Perhaps there built in speaker is best heard at 70% and if connected to a better speaker, it will allow for a louder volume. I'm going yo have to try that someday. But for now, it's perfect for what I wanted to use it for. If you know what you need it for, don't expect it to be more than that. If you want a better sound, get a dot or something bigger. For simple uses, this will do fine for all your Alexa needs. I may use it for my echo microwave which is currently paired with my echo input connected to a speaker. Don't blame the equipment if you want it to do more than what the hardware can achieve. Be fair to the gadget on what it is capable of doing.","Small, not for music, great for basic Alexa"
Echo Flex - Plug-in mini smart speaker with Alexa,1,1,Reviewed in the United States ,27-Nov-19,Scott Andrews,"I bought this to replace my first generation echo do hanging in the outlet in my bathroom. I mainly use this unit for morning news while getting reading in the morning.  The sound quality, in regards to volume, is terrible. With the sound turned all the way up and standing within 2 feet of the Flex, I can barely hear Alexa. I can only imagine how useless the Flex is in a larger room.",Sound sucks
Echo Flex - Plug-in mini smart speaker with Alexa,1,2,Reviewed in the United States ,20-Nov-19,Planet PuertoRico,"Its very small, alexa sounds like a chipmunk, the attachments are nice but the audio should have been a priority as its the main way of interaction and the first thing you notice, any chance of using the usb port for a better internal speaker attachment? it comes with an aux output for an audio system and bluetooth connectivity for expanded audio options. It's sold as a smart speaker but it just sounds really, really cheep.",Small / the audio quality sounds terrible
Echo Flex - Plug-in mini smart speaker with Alexa,1,5,Reviewed in the United States ,28-Nov-19,D. Newton,"REVISED TO 5 stars: One of the latest updates established connectivity and functionality, and it now works exactly as expected. It’s a small speaker, and thus won’t provide anything but minimal sound, nor is it designed to. Understand this beforehand and you won’t be disappointed like so many others who didn’t think through what it was designed for. If you need great sound/music quality, then other Echos are designed for that. So far, the Alexa app hasn’t been able to see/recognize/connect to the Flex, no matter what I do. I’ll box it up and wait a couple of months for an update to fix this issue. I have 14 other Alexa units in total, so this was just a purchase out of curiosity, not necessity.","Understand the niche for this, and why the speaker is small, and you will be happy."
Echo Flex - Plug-in mini smart speaker with Alexa,1,1,Reviewed in the United States ,10-Oct-20,Amazon Customer,"This is by far the worst echo device I have ever used, and I have four other various models. The Echo Flex consistently drops out of multi room audio groups and has to be unplugged and plugged back in to resync. The built in speaker is terrible and useless if you are more than a few inches away from it. It also has by far the worst microphone and struggles to hear me even when I'm in the same room. The 3rd generation echo dot in the other room reliably hears me better than the flex that is 20 closer.",By far the worst echo ever
Echo Flex - Plug-in mini smart speaker with Alexa,1,2,Reviewed in the United States ,19-Nov-19,Fabriezy,In a quiet space the speaker is loud enough to hear but just barely and it sounds terrible.  I get way better sound from my phone so forget using it for anything but giving Alexa commands.  Maybe for a hallway with the nightlight option but even then I think I would rather have a Dot so I could use it elsewhere if I wanted.,For most a Dot with a mount is the way to go. Heres why...
Echo Flex - Plug-in mini smart speaker with Alexa,1,1,Reviewed in the United States ,22-Nov-19,J. Hall,"I'm so surprised Amazon brought this to market. I have almost every echo device and this one does not live up to the others The sound quality was that of a bad transistor radio. I get the idea of the thing but if it doesn't have good sound quality,  I'm not interested.",Save your money!
Echo Flex - Plug-in mini smart speaker with Alexa,1,2,Reviewed in the United States ,18-Nov-19,Rafael,"UPDATE: After having it for almost a year I been having problems where it disconnects often and sometimes won't respond all the time I can tell it to turn off the light but then tell it to do something else like ask the time and it seems confused, won't answer, but then the next day it does. I lked it for the motion thing but just going to get a regular dot for the garage. I have this in my garage and works perfectly when I'm working there and want to turn on lights I have connected to a smart plug. Also if I want to know the weather or if I have a question in general works great. I can play music on it but it's not great for sound, but I don't think that was the intent for this. If your buying it for higher quality sound get a Echo Studio - High-fidelity smart speaker with 3D audio and Alexa. Or pair it up with a Bluetooth speaker or use the 3.5 mm audio jack and hook it to your stereo. I did the drop in with an echo dot in the house and it worked great. I could hear them clearly and they could hear me, which is nice if someone needs me they can drop in on the garage. I also have a camera in the garage so I can also see and now talk to whoever is there. Overall I'm happy with it. Oh and if the LED is flashing a yellowish color it's the way it notifies you you have a notification. Found that out when The one I have in the house was also flashing indicating I have a notification.","UPDATE:..... Nice little Device, works perfectly as intended."
Echo Flex - Plug-in mini smart speaker with Alexa,1,1,Reviewed in the United States ,24-Nov-19,kreardon,"I bought four of these so I could communicate with my family throughout the house. The speaker is so terrible everyone keeps repeating ""what?"" Sending them back",Horrible sound
