product,verified,rating,location,date,author,content,title
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,5.0,Reviewed in the United States ,22 Aug 2020,Jonathan Butler,"We bought the portal mini, as it was the cheapest of the options. We wanted the portal for the wide angle lens and for the stories feature. Our primary use was to help the kids connect to their grandparents who live far away. This Device has been a social life saver during Covid 19. We live far away from our families so having an easy way for our kids to visit with their grand parents, aunts, uncles and cousins has been great for them. my 3 and 5 year old have learned how to use it and call all their favs. When you set up the portal (using a face book account) you can set the people you want to be callable on the device. This prevents your kids from calling your old college room mate or other random people that you are ""friends"" with on facebook. It really is easy for kids to use. The smart tracking camera is cool, not perfect. Callers without the portal  have no control over the focus feature of the portal camera. So they get random zooming in whenever the camera senses motion. I hope they continue the wide angle lens on the newer portals. I think this is the best feature as it really allows you to feel like you have a guest over for dinner as apposed to the narrow view of a phone camera. The wide angle lens is a necessity for kids and a stationary device. It has no battery at all so it must be plugged in. This is a pro and a con. For kids, it keeps them from dragging it all over the house and abandoning their relatives to stare at the ceiling  in a random room. But it also means if you want to take a conversation from the living room into a story time in a bed room, you have to hang up and call back after it bootes up again. The stories feature is cool, but if you have the portal and the person on the other end of the call does not, they don't see the words to the story. This is a selling point to buy one for the grand parents. But since it's not as portable as a cell phone, grand parents may prefer to use their phone. The ""stand"" that comes built in is not great. It sits at a slight up angle. Which is fine most of the time. This stand is also part oft he the power cord, so you can't take it off. You can set it flat on the edge of the device, but it could get bumped and fall forward. It is also a great digital picture frame! it automatically shows pictures from your facebook account ( the one you used to log onto the device). You can limit the pictures to different albums etc. The pictures show up as a screen saver after a few minutes of inactivity. It does work with Alexa with some nice features compared to the amazon echo we have in the house. It will add things your shopping list and show you the list at the same time. It will also tell and show the weather. I'm sure these features work the same or better on amazon screen devices.","""Portal"" between Families"
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,5.0,Reviewed in the United States ,25 Nov 2018,John and Cindy Thompson,Received my Facebook portal for early Christmas present from my husband. It is absolutely amazing! The quality is super!  Everyone that has seen Mine wants to order one too!  I just read as well they will be adding more apps can’t wait this is amazing products thank you Facebook and Amazon I love my Alexa and Portal! Best gift ever! BTW stereo sound powerful speakers! 💕 Phone call quality is amazing! Pandora and I heart ❤️ radio my favorite!,Absolutely Amazing! Fantastic Quality!
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,2.0,Reviewed in the United States ,31 Dec 2018,Van Bodhi,"The set up and usage has been full of issues.  Their customer service is good.  They call you within minutes.  Bu the machine rejected our home wifi when every other device was working.  We had to change the router password and reset it even though all of our phones and home computers where working.  YOU CAN NOT CALL THIS DEVICE FROM A COMPUTER.  Only from phones, tablets or other portals.  Very sad.  The device when it works is easy to use even for my 85 year old father who we bought it for.  Yet the difficulty of set up and the lack of compatibility with computers is dis heartening.",Nice but not nice
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,5.0,Reviewed in the United States ,03 May 2020,jc,"I got portal plus about 9 months ago.  It is great as a video chat device.  The main benefit I saw is that display is large and the speakers are loud and voice control is available.  This is used for the grandparents who are computer illiterate and somewhat hard of hearing.  The speakers are loud so they can really hear me .  It's volume is adjustable too for those not so deaf.  This loudness was definitely required.  When they video chat with me I can hear them fine too so the microphone is sensitive. This means whether they stand up close of talk from the kitchen (30 ft away).  The display is larger that  a tablet and we put it in landscape mode (can be portrait too) .  Our goal is it is a device that just sits there and needs no attention like a landline telephone.  It will take multiple calls at once ie video conference so the most we've had is 3 people call at once.  All 3 were displayed simultaneously.  The other thing that helps illiteracy is they can just answer by saying "" hey portal answer"".  We did not want them to touch the device or initiate call. 'superframe' is what they call the display of pictures when not in a call.  So we load it with tons of pictures and somehow it cycles and displays pictures.  Not just what I load up but what I also put in their facebook account.  I'm unclear as to when and what pictures get displayed.  Easy to answer if you have just a few photos but if you have hundreds+ then I don't know which ones get chosen over time.  So every week or so I add photos to their facebook account and hope newer ones show up. Lots of other capabilities but it accomplished our main objectives.  Some features that I hope will come in future: 1) remote administration - so I can program /adjust as needed 2) auto answer - so I can check up on them and they don't have to do anything to answer 3) superframe - better control of what and when pictures show up. Click HELPFUL if you find this of benefit .",loud and big picture
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,5.0,Reviewed in the United States ,18 Nov 2018,Edy,"The tracking is simply fascinating, making it easy to move around and not holding a device at video calls.",Fantastic Tracking
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,2.0,Reviewed in the United States ,10 Nov 2020,M. Phillips,"This is some really bad software.  On the good side, the Portal TV is a super handy way to video chat using your TV... once you finally get to the calling part.  Unfortunately, the set-up process and user interface almost makes it not even worth it.  Paired with the fact that Facebook locks you into their little messenger world... is not ideal. When I turned the device on for the first time, it needed a 40 minute software download.  (I have descent broadband).  Then it started to install, but I accidentally touched the back button on the remote, and it had to download the software update again, for another 40 minutes.  All-in-all, device set-up took me 2 hours.  Unacceptable. The user interface is clunky.  Keep finding little glitchy things throughout that are frustrating. Searching contacts is hard, unless they are in your 'favorites' (which of course big brother facebook picks for you).  The alexa integration doesn't add much, but it is nice to say ""Hey Portal, call John Doe"".  There are cool features like games and mic drop and facebook watch, but they dont work unless the other side also has the same device, which nobody does.  I have also found that not many people answer fb messenger calls, when you try and call.  You have to text them first and let them know.  For group calls, you cant schedule like a zoom and send a link.  You have to create a room (which is super clunky) and hope people see it (which they dont).  I read that it supports Zoom, but I dont see it in the available apps. The actual video call is pretty cool, since the camera pans and zooms auto-magically.  Its very intelligent with its movements, even with multiple people moving around.  But everybody I call is using their phone, and are in portrait mode (not landscape) and are moving around (cause... its a phone).  I had envisioned more of a video conferencing feel like in the office on a big screen.  But since it only works with messenger, which everyone has on their phone, its not a great experience. Dont recommend.  Just too clunky and the software is disappointing for such a prominent company.  The interface is like a prototype that a college coding class would make, with illegible fonts and oversimplified menus.  Sad really.  The exception would be if you plan to have frequent calls with someone else with a Portal, and you could suffer through the excruciating set-up and learning the clunky interface so you could just say ""Hey Portal, call Jane Doe"" when you want to use it.  Then it might be OK.",Disappointing.  Software is terrible.
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,1.0,Reviewed in the United States ,30 Nov 2019,curiousmetoo,"Have tried all things - turned the portal tv on and off, tried to change the portal tv name etc. fortunately help / FAQ section showed how to reset it - remove the power input from the back, press the side button, keep it pressed and then insert the power cable back while keeping the side button pressed. Eventually in about 10 seconds, it will start the reset process and then you can remove your hand from the side button. Wanted to create a simple anon account to use it and got stuck in facebook review process, asking for photograph, mobile number etc! Not sure if I will keep this. Too hard to setup, no drop-in feature yet. Good idea, but bad execution, bad testing.","Unable to setup - error ""Portal Name Not Saved"" and does not move past it"
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,3.0,Reviewed in the United States ,08 Dec 2019,Jenakay,"I really wanted to love this, but the cons outweigh the pros. I bought this as a present for my mom to video chat with grandkids using Facebook messenger. -The device is very bulky, much thicker than I expected. -Too confusing to use ""Hey Portal"" and ""Hey Alexa"" on one device. Alexa cannot answer or make calls, only Portal can by saying ""Hey Portal."" I kept accidentally saying, ""Hey Alexa"", to make a call and it kept telling me that voice commands would not work on that device. -I tested a few calls, and depending on the other person's messenger app, sometimes it would call to the portal and sometimes it would only call to my phone. It also calls both at the same time. -You cannot use the portal voice command to call with WhatsApp, only Facebook messenger. -My device did not have a setting for using the device GPS to know when you are home, to route the calls to your phone instead when you are not at home. That was very confusing. I also did not see the option to switch the call from the portal to my phone during video chat. -The camera moving around and zooming in and out was pretty cool, but it also did think my Christmas tree was a person and it kept zooming in to keep both of us in the frame lol. Overall, it is too glitchy and not advanced enough for the price, in my opinion. Especially just for video chat since I can't see her using it for anything else.",Too expensive for basically just video calls.
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,4.0,Reviewed in the United States ,23 Dec 2019,Georgette,"So touch screen is great, sound is amazing. Had the whatsapp video call drop calls when using the filters during the call. Can call multiple ppl on one call. Just note that if you call via fb messenger or whatsapp you can only add people to the call via whatever app your using. ALEXA will not make calls. So if yiu say alexa call mom, it will tell you it is not supported and tell you to use your phone app. But if you say hey portal call mom, it will call mom and search via their name on fb messenger. The camera follows you but not as fast as it advertises on their commercial or video example. Video quality is legit.  Perfect for a toddler that runs around and for the grandparents to enjoy watching him play versus a phone moving around all the time. No more video calls with them looking up his nose or facing the wall. Lol. Really enjoying this product and use it mostly for music and video calls so far. There aren't that mant apps for it yet. However sure the kinks will be worked out when software upgrades are available. Got it on sale so for $129.99 is a decent price to me for what it does.  Glad it got it and love watching my son argue with alexa bc she cant understand his toddler language yet. (Priceless)",Fee things it needs improvement (software updates can fix)but love it so far!
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,5.0,Reviewed in the United States ,28 Nov 2019,SoyPreciosa,"My grandbabies moved out of state and I got 2 of these to keep the connection. We call each other all the time and its so easy to play games.  We even get Alexa in on the fun, my grandkids will tell Alexa to play a song and we all just dance all around the house and just like its suppose to the Portal follows us.  Sometimes we have to be sneaky when we're trying to play hide and seek so Portal doesn't follow us and give up or location before the other peeson is done counting. If you need to stay connected this is an amazing option.",Helps keep your connection strong with the grandchildren.
Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black,1,5.0,Reviewed in the United States ,23 Nov 2018,Nyc37,Sorry but some of the reviews here are super BS (like they can't see me etc - probably they never used a tech product before). I am a tech freak buy any new gadget out there and I believe I can be quite honest when it comes to a products usability and tech. This is solid! Very impressive honestly. From the way it's build to the video and sound quality..I bought the large version for myself and the smaller for my family that is 4000 miles away. And I will tell you this..I've never connected in a more fun way with my niece before. It's amazing! We were been dancing together. Not having to hold a phone makes a big difference. Having the camera follows us make a big difference. Sound quality is superior comparing to chatting through the phone/messenger. Video quality is impressive and actually while my mom is on the same WiFi we get tons of interruptions when on phone but when we talk over portal there isn't a site break. That makes a huge difference. You get the full potential if both yourself and your family/loved on has one.  They also have some apps and they say they will add more. Alexa integration is solid even though I wish we could also watch the video news and not just hear the audio version.  I find this to be among the best first generation products I ever tried,Not sure why the BS reviews. This is amazing!!
