product,verified,rating,location,date,author,content,title
Nanit Plus - Smart Baby Monitor and Wall Mount: Camera with HD Video & Audio - Sleep Tracking - Night Vision - Temperature & Humidity Sensors and Two-Way Audio,1,2.0,Reviewed in the United States ,08 Mar 2019,Samantha,"Night vision lights are extremely bright and very distracting. If my baby’s eyes flicker open for even a moment, the lights catch his eye and he’s awake and just stares at them until he becomes upset and starts crying. HUGE design flaw.",Red lights are bright and distracting. Very disappointed
Nanit Plus - Smart Baby Monitor and Wall Mount: Camera with HD Video & Audio - Sleep Tracking - Night Vision - Temperature & Humidity Sensors and Two-Way Audio,1,5.0,Reviewed in the United States ,07 Nov 2018,Tom H,"We initially had the Nanit (original), and although that product had great picture clarity, was easy to set up, and had a very user-friendly and intuitive app, we were having regular connectivity issues.  As a result, we decided to upgrade and get this product, the Nanit Plus, which we were told by the (very patient and professional) support team, would resolve our previously reported connection problems.  And although the Nanit Plus has a number of other new features and improvements, for us it was really about being able to have a stable solution that was reliably available when we needed it most - for those late-night wake-ups where you're not sure if the baby just needs help getting their binky back, or if they're up and need a feeding, etc. After ordering, the unit arrived promptly and was very well packaged (it seems like they took packaging design cues from Apple; everything is very neatly and efficiently placed; it's all secure but still easy to access, with quickstart instructions right up front and nothing too heavy or looking like ""package gap fillers"").  As with the original Nanit, the Plus is SUPER easy to set up and install, and I had it up and running literally in about 4 minutes.  It was definitely a much better install and setup experience than we'd had with other crib-cams that we've used from other brands.  The only thing that I had to reach out to Nanit about was rolling the associated Insights service/account to the new camera. One of the things my wife and I noticed right off the bat, is that the camera's resolution and picture clarity within the app are really sharp - the images and video are super-crisp even in nightvision mode.  The sound quality is fine (let's be honest, it's going to be as much limited by the speakers on your smartphone as anything else, but it's good to know that the mic and everything on the sending-side is of good quality).  The Plus now also allows you to talk (or sing) to your child with an integrated speaker - something we don't really use, but is nice to have available. Most importantly, though, the camera stays connected to the network!  The Plus has a greatly improved chipset, better antenna/receiver setups, and is able to cling to the wifi network in the house far better than the Nanit original, or the Motorola we had before that.  Because of the design of the Nanit with the floor mount (or wall-mount) placing it directly over the crib, you get the clearest, most unobstructed view of your child - something I didn't necessarily think was that big a deal, until I had the Nanit.  That placement is also key to the Nanit Insights - it's their own sleep analysis service that provides you with information about the quality of your baby's sleep.  Along with insights, Nanit provides tips and pointers (based on sound clinical practice and the latest understanding of sleep behavior, sleep improvement, etc.) that are actually useful and actionable - without seeming condescending or patronizing. There are other fairly typical features associated with the Nanit like sound, motion, temperature and humidity reporting (and, you can set alerts based on user-defined thresholds or sensitivity levels for each) that are all easy to access within the app.  Nanit also takes a unique approach to access, allowing the ""owner"" (primary user) to set up a ""parenting team"" of other users that can access the camera through the app.  It also lets you snap pictures from the live feed, which you can share. Overall, the whole product (hardware, software, app) is exceptionally well-designed and executed.  More importantly, perhaps, the company's customer service and technical support teams are some of the best I've ever had to work with.  When we were having connection issues with the earlier model, they were always super-patient, understanding, professional, and prompt with any followups or offline responses.  Fortunately, with the Plus, you're far less likely to ever need to contact support for an issue resolution, though.  Where we used to have connection issues or have to reset or reboot previous crib-cams, we've had the Plus up continuously for 5 days without a single hiccup. I absolutely and unequivocally recommend Nanit to anyone who's looking for a crib-cam solution that is feature-rich, provides crystal-clear video and audio, and is easy to set up and use.  Don't even waste your time with the other brands.",The Plus is everything you'd hope a Kid-cam could be
Nanit Plus - Smart Baby Monitor and Wall Mount: Camera with HD Video & Audio - Sleep Tracking - Night Vision - Temperature & Humidity Sensors and Two-Way Audio,1,1.0,Reviewed in the United States ,08 Apr 2019,Emily K Dempsey,"If this worked properly, it would be an amazing monitor option! The problem is the connectivity (or frequent loss of connectivity). We have 1G service to our house, multiple wireless repeaters on each floor, but still consistently lose wifi connection with the monitor despite multiple troubleshooting efforts. We still used the camera function but got a cheap, audio only, monitor to supplement. When it was connected, the audio flickers in and out non-stop, which is fine during the day but horrible when you're trying to sleep at night.  I would also wake up in the morning and it would give me the night time report that the connection was lost for a hour here, hour there, when I was asleep! It is so unreliable, I don't trust it as my only monitor with a newborn baby. I love the Insights feature, it has a great camera and night vision, but at the end of the day I need to go to sleep knowing I will be able to hear my baby if there is an issue, which I can't trust will happen with the Nanit. I wish I would have spent money on something else.",Major wifi connectivity issues make this unreliable!!!
Nanit Plus - Smart Baby Monitor and Wall Mount: Camera with HD Video & Audio - Sleep Tracking - Night Vision - Temperature & Humidity Sensors and Two-Way Audio,1,1.0,Reviewed in the United States ,18 Jul 2019,LG,"The camera quality is not great. There is a loud click when it switches from night vision to color picture (daytime) there is about a 5 second delay between the camera and your phone. I didn’t like the fact that some features are only available if you get a subscription. As if the monitor wasn’t pricey enough. If I wasn’t taking care of a newborn, and taking it downs wasn’t such a task,  I would have returned it.",I’d keep looking for other options.
Nanit Plus - Smart Baby Monitor and Wall Mount: Camera with HD Video & Audio - Sleep Tracking - Night Vision - Temperature & Humidity Sensors and Two-Way Audio,1,5.0,Reviewed in the United States ,12 Apr 2019,Lauren V,"After being disappointed with three different models of traditional monitors (we tried Samsung, Motorola and another I can’t remember) due to their poor picture quality, terrible battery life and inability to monitor from outside the home, we decided to switch to a WiFi monitor and bought the new Nanit model. So far we love it. First, I was really impressed with the setup experience. The app walked me through every single step and the whole process only took a few minutes. Once I had it up and running, I couldn’t believe how clear the video was - it’s HD quality, even in night vision. The motion and sound alerts are super clear and without any delay. In fact I really like that I can minimize the Nanit app and still hear my son crying or talking even if I’m using another app or my phone is locked. It’s also nice not having to carry around another bulky electronic device (a handheld) in addition to my phone. Another thing that’s cool about the Nanit is that my husband and I can check in on our son when we have a babysitter over or are traveling on business (something we couldn’t do with our old monitors). Finally, the sleep tracking is an awesome feature but I haven’t had to use it much now that the little guy is reliably sleeping through the night. I’ll certainly be buying another Nanit camera before our second baby arrives this summer and we go back to square one on the sleep training situation though. I definitely recommend this product!",Finally found a baby monitor we love!
Nanit Plus - Smart Baby Monitor and Wall Mount: Camera with HD Video & Audio - Sleep Tracking - Night Vision - Temperature & Humidity Sensors and Two-Way Audio,1,5.0,Reviewed in the United States ,13 Nov 2018,Singh,"My wife and I are expecting our second baby and purchased this product to prepare. We decided to test it for couple weeks on our 2 year old daughter and we loved it. We're actually contemplating buying another Nanit plus to replace our current cam!! We love this monitor and after having used multiple baby cameras in the past, we are glad we found the Nanit Plus! PROS: WIDE ANGLE VIEW & IMAGE QUALITY- The HD camera is pretty clear and the night vision does wonders. The audio feedback in the app at night is actually pretty low compared to some of other monitors we tried which we like because we we can really only hear it when she's awake or she cries. SLEEP TRACKING: We haven't really used all the features on this yet but the dashboard is pretty cool, it tells a bunch of stuff about sleep efficiency and how long it took her to fall asleep. TEMPERATURE & HUMIDITY - We argued countless nights on whether it was too cold or too hot in our daughters room before getting this camera. This is the only monitor we found that has this feature and its priceless! Now there's no more wondering what the temperature is like at night in our baby's room and we can turn the heat on as needed. EASY SETUP: Wi-Fi and App Setup were very easy and straightforward. Took just under 5 minutes! CONS: LITTLE PRICEY: The monitor was a little on the expensive side but the added features (Room Temp, Easy Setup) make it worth the price SUMMARY: HIGHLY RECOMMENDED: Overall, we would highly recommend this baby monitor to all the parents and soon-to-be parents out there. The Nanit Plus has all the bells & whistles of a top of the line baby monitor with added features that no other baby monitors in the market have. You will not be disappointed!",Nanit Plus is a great product - Worth the price!
Nanit Plus - Smart Baby Monitor and Wall Mount: Camera with HD Video & Audio - Sleep Tracking - Night Vision - Temperature & Humidity Sensors and Two-Way Audio,1,5.0,Reviewed in the United States ,04 Oct 2019,Sarah,"Update 10/2020 - one year in and, well, its still a good camera, but after the first free year of what is called ""insights"" - tells you how long baby slept, memories, review the night, nap quality, etc. - it is literally just a $300 camera. For that, get yourself a $25 Wyze cam and call it a win. Unless you want to keep paying for insights ($50/yr or $5/month). The insights price is reasonable and I really like the features, but I realize now that there are other good quality cameras on the market, not advertised as a baby cams, that are just as good (i.e. the Amazon Wyze cam). ______________________ Original review: This baby monitor is excellent! We have been using it for a few weeks with our first baby and it has been a relief. We can put him down for naps during the day (because he still sleeps at night in our room) and not worry. The app notifies you when sound or motion is detected. The best feature is that you can leave sound running in the background of your phone while you use it for other things. The picture is excellent and the night sight is particularly impressive. You can also zoom in from your phone to see the baby closer. It is a battery drainer, but still worth the purchase.",Excellent picture and quality
Nanit Plus - Smart Baby Monitor and Wall Mount: Camera with HD Video & Audio - Sleep Tracking - Night Vision - Temperature & Humidity Sensors and Two-Way Audio,1,1.0,Reviewed in the United States ,12 Jan 2019,Merter Picakci,"Hi, I've purchased the camera  for my newborn baby girl. However, it is not pairing with my iPhone as seen in the attached picture. I tried with many different telephones and models but still not working even with iPad. It gives Auth-1 error. I paid couple of hundreds for nothing. I don't recommend this expensive camera to anyone. Furthermore, Nanit website support didn't reply me yet. Best regards,",It is not working
Nanit Plus - Smart Baby Monitor and Wall Mount: Camera with HD Video & Audio - Sleep Tracking - Night Vision - Temperature & Humidity Sensors and Two-Way Audio,1,5.0,Reviewed in the United States ,06 Jul 2019,Kristina B,"Your browser does not support HTML5 video. This camera has by far been the Best baby camera we have bought!  We purchased several cameras before but I never fully felt confident in any of them as I do with Nanit.  Some would lose connection, some had horrible night vision and others I wasn’t quite sure if it was truly safe. As first time parents we of course worried and continue to worry about everything and we wanted peace of mind knowing our little one was safe at night.  This camera will tell you the temperature and humidity of your baby’s  room and will alert you if either one of those go out of range. It will also alert you if there is movement and sound in the crib. The insight membership truly is worth it because  you can track your baby’s sleep progression.  It breaks everything down in videos and you can make notes and add family members to the live feed. Also, did I mention you can watch your baby sleep from anywhere!  So when I work late, I still can’t see my son sleeping.  Nanit also has a very tightknit security system which was one of the main reasons why we decided to go with Nanit. Our baby’s security was our main priority. So if you are questioning whether you should get this product or not. Do yourself a favor and stop stressing and reading and endless reviews (because, I did the same thing) just buy the camera. It is so worth it!",Best Baby Camera on the Market!!
Nanit Plus - Smart Baby Monitor and Wall Mount: Camera with HD Video & Audio - Sleep Tracking - Night Vision - Temperature & Humidity Sensors and Two-Way Audio,1,1.0,Reviewed in the United States ,26 Oct 2018,Amazon Customer,"Very clear when the lights are on but 99% of the time you're using the baby monitor when the lights are off. For the price, quite disappointed at the night time clarity and glitchy video. A friend's baby monitor they bought 4 years ago still has a better night time picture then this one. Music / White Noise feature is not operational yet. Camera automatically switches between day and night vision but rarely switches two daytime vision even when the lights are on all the way.",Not worth the price
