product,verified,rating,location,date,author,content,title
Google Nest Cam Indoor - Wired Indoor Camera for Home Security - Control with Your Phone and Get Mobile Alerts - Surveillance Camera with 24/7 Live Video and Night Vision,1,1.0,Reviewed in the United States ,20 Aug 2019,Amazon Customer,"I have always been a big promoter of Nest products. Requiring me to use a bright green flashing light on my cameras changes that. The ability to leave it on was always there. Why change it? Those who wanted it on could leave it on. Those who wanted it off could have it off. Now everyone is stuck with an obnoxious BRIGHT green flashing light when cameras are being viewed. (And yes, I set the light to its dimmest setting. As soon as you view that camera the brightness goes right back up to call attention to itself.) I’ve temporarily solved this by covering the light with some black electrical tape, hoping that this new “update” is reversed. If not, I’ll have no choice but to switch products. Terrible, Google Nest. Terrible.",Obnoxious Aug 2019 update
Google Nest Cam Indoor - Wired Indoor Camera for Home Security - Control with Your Phone and Get Mobile Alerts - Surveillance Camera with 24/7 Live Video and Night Vision,1,1.0,Reviewed in the United States ,11 Oct 2017,Memphis GG,"We have invested heavily in Nest equipment due to reviews. The thermostats are quirky and undependable. The camera has now started to not recognize when I am at home with my cell, thereby sending endless reports of activity whenever we walk by. I finally had to turn the camera off. I have had to re-do settings on my outdoor camera over and over. Also, when i click on the alert to see the activity, it just spins and spins. I have to save it as a clip and then view it. Pathetic. The camera clarity is fine, but the technology behind it is flawed and undependable. This is a serious flaw when you purchase these in most cases for viewing when you are away. If you can't depend on them . . . Update: alerts are a little better; apparently it is learning. However, it just is not dependable. Sometimes it turns off when I'm in the house with the cell phone which is designated to trigger turning the camera off, sometimes it doesn't. The software is just not dependable yet, on either the cameras or the thermostats. We have two houses and it is very irritating when I have to keep resetting, re-entering info, manually turning cameras off, etc.","Unfortunately, not ready for prime time"
Google Nest Cam Indoor - Wired Indoor Camera for Home Security - Control with Your Phone and Get Mobile Alerts - Surveillance Camera with 24/7 Live Video and Night Vision,1,2.0,Reviewed in the United States ,14 Aug 2019,Porcupine racer,"These cameras worked fairly well when they were on. I paid for the subscription and they recorded, caught a decent enough picture and sound. The location ability of their app in correlation with my iPhone X was terrible. They would sometimes not turn on (despite the app indicating I was not at home) and they would sometimes turn on (while the app indicated I was at home). This first issue was more prevalent with all 3 cameras, while I did have an issue with 2 cameras turning on while I was home. Nothing in location had changed, in fact, my phone was still sitting on my desk the whole time. I realized it had turned on when I stood up from my meeting and got a notification that there was motion (I guess the motion detection works, but the noise coming from my speaker phone did not notify me, you could at least hear it on the recordings). Nest's technical support answer was to uninstall/reinstall, unplug, reset, blah blah blah. They ended up with not having a true solution and credited me with $50. Which I will not use because I cannot use a service where my expectation of privacy is violated and no true solution developed.",Privacy is of no concern
Google Nest Cam Indoor - Wired Indoor Camera for Home Security - Control with Your Phone and Get Mobile Alerts - Surveillance Camera with 24/7 Live Video and Night Vision,1,5.0,Reviewed in the United States ,24 Nov 2019,Julieanne,"Exactly what I expected. Works fine, easily integrated into the NEST system and easily viewed remotely on smart phone. Disappointing that you have to subscribe to have access to the recordings, but that was spelled out in the description. Can buy that cloud service, but cannot used any of the equipment I have to achieve the same results. Cannot combine with my other surveillance cams or the DVR. FOV is wide and therefore makes a difficult image if you are using with a shorter focal length such as under 20 feet. Example: When in use as a doggie cam in the house, image is distorted.  Motion detection and setting options are good. You have excellent options when setting sensitivity and ability to select region to include/exclude from motion detection. Definitely want to exclude ceiling fans and TV from the motion detection zone. Or externally exclude any street traffic or blowing tree limbs. Software also seems to be able to discriminate between humans and not when choosing to ""detect"". Audio functional, but not great. What can one expect from a small camera with built in speaker? Would be nice to have an audio-out option for plugging in better speaker or ability to record. Probably easy to connect with Google Home Hub (base unit) -- had to have my wife do it as it was more involved than I had patience. These cameras are still a little expensive for the function--compared to what you can have with options that do not have a NEST/ RING/ALEXA base unit compatibility-- and you still get the shake down to buy cloud space if you want the recordings archived at all. Had very short trial period and you get to test drive the community function which would be great for security conscious people. Ability to see what ""events"" have been reported by other participants around your vicinity. The NEST system (doorbell included) was handy during trial period when someone crashed their car into my front yard and I could watch the people, police, and tow-truck tearing up my front yard. I was also able to communicate with police who came to my door to inform me, but I was grocery shopping. Would recommend, but may wait until price comes down to buy again. Would really get excited about this if there were options to record directly to my own equipment, without giving Google (and who knows who else) access to images (and audio) from inside my home. You definitely want to remain aware of when it is ON/OFF.","Works good, works with NEST software"
Google Nest Cam Indoor - Wired Indoor Camera for Home Security - Control with Your Phone and Get Mobile Alerts - Surveillance Camera with 24/7 Live Video and Night Vision,1,5.0,Reviewed in the United States ,15 Dec 2017,Michelle,"What a great indoor cam. It goes great with my Nest Secure.  Very easy to setup and link with our Nest Secure. The cam can pick up the slightest sound.You can hear and speak through it. Yes you can talk to your pets through the mic and or if someone is in your home, you can say something to them right through the cam. It will pick up my cat eating her food and it can hear us talking on the second floor!! It will send you a notification that your camera hears a noise. My cat got busted doing things I never thought she would be doing when we aren't home.  You can also view your camera at the Nest website or the app when you log in and you can turn it on and off and schedule a time to turn it on and off if you like.  While our Nest camera is connected to our Nest Secure, you can use the camera separately.  Make sure there is nothing obstructing the view of the camera such as plants, books etc.  My only grip is the monthly fee if you want to save your videos to the cloud. It cost 10.00 a month.The app works great with it and although many complain about the pricing of this cam. You can find coupon codes online. I got mine on Cyber Monday and got it for a excellent price! The infrared night view is very clear and can see everything. You can pan around the area, picture quality is pretty good but not great but clear enough you can see details of the room you are viewing.",What a great indoor cam
Google Nest Cam Indoor - Wired Indoor Camera for Home Security - Control with Your Phone and Get Mobile Alerts - Surveillance Camera with 24/7 Live Video and Night Vision,1,2.0,Reviewed in the United States ,28 Oct 2019,Scott and Julia,"Get False alarms constantly and the cameras sit in a bedroom with no one in it most of the day. Maybe the sun? The cameras connector constantly breaks. We’ve gone through a couple already, and although nest has replaced the cameras we are now outside of our warranty window (I believe) and the connector is breaking again so it’ll be interesting to see if nest is going to replace it again. Also.. after years of waiting nest still has not even announced plans to integrate Apple home kit, and they have now disabled the Apple Watch app, and the entire works with nest program (ifttt and others). They are constantly withdrawing from everything except for google which seems to be their new business strategy, perhaps to get you to jump into the google eco system. For me, however, it’s having just the opposite effect. I’m highly disappointed in this because I really liked nest from the very beginning (the first nest protects and thermostat) and we have several nest products.. but now I feel like they are abandoning their entire Apple fan base. So i do not want to purchase anything from nest anymore and I’m about to need another camera. Instead of buying another nest I’m likely going to replace my two cameras With arlo and buy an additional third with arlo which is providing homekit integration. This is a huge disappointment to me and I cannot understand why it makes business sense to just throw away a huge chunk of their customer base (Apple users). My review will be updated if homekit is ever further considered by the company but I have high doubts.",Been waiting for homekit for years.
Google Nest Cam Indoor - Wired Indoor Camera for Home Security - Control with Your Phone and Get Mobile Alerts - Surveillance Camera with 24/7 Live Video and Night Vision,1,2.0,Reviewed in the United States ,26 Jul 2018,Safetylady49,"I have had 3 of these for the last couple of years. I use them in windows looking outside because if a camera is outside it is vulnerable to vandalism and I bought these before they repackaged for outside.  Now I have been scrutinizing for the last few months and see it FAILS TO ALERT RANDOM ACTIVITIES TOO MUCH!!  UPS or mail deliveries - even me driving into the driveway. It alerts for swaying branches of trees yet completely misses some deliveries and vehicles.  Well, it only needs to miss alerting THE ONE WHERE THEY STEAL OR VANDALIZE  for the thing to become somewhat worthless. 'Night vision' sucks so I have motion activated floodlights in several critical areas.  I have to use an ipad to really review later at home (because the software for viewing on PC sorta sucks in comparison - and I would rather view while at work on a PC...) So, I paid $30 for a minion cam and have spent the last few days with them side by side. View is actually a tad better on the cheaper cam - and the cheaper cam picks up more than the $200 cam. AND, the subscription is $10 per month with unlimited number of cameras!!  bye bye nest.",poor performance when compared with LOT cheaper ones out there
Google Nest Cam Indoor - Wired Indoor Camera for Home Security - Control with Your Phone and Get Mobile Alerts - Surveillance Camera with 24/7 Live Video and Night Vision,1,1.0,Reviewed in the United States ,27 Jun 2016,Steve Cahill,"Couple of big issues, and some minor stuff as well. Biggest issue is that it is not suitable for customers whose internet service comes over a DSL line. This is because video quality is quite poor when bandwidth-limited by the DSL line's upload rate, which is slow. As in, moving faces at distances greater than a few feet are just blobs of pixelated color, and even close up, it takes a few seconds for the details of the face to fill in as the video compression algorithm gets the data, and then only if the face is completely motionless. If you're using this camera for security, you won't be able to identify people in its field-of-view if the camera is getting internet service through a DSL line unless the faces are completely motionless. Forget reading license plates, unless the plate is 1 foot from the camera and not moving for at least a few seconds. See the video-snapshot examples. This was tested at 360p, which was the only setting that worked on the DSL line; 720p just locked up the camera. This poor video quality is not inherent in low-bandwidth DSL; rather, it seems to be a limitation of the video compression algorithm being used in the Nest cam, since comparision-testing Skype works fine over the same line. Fast-bandwidth cable internet will be different, I'm certain, and having excellent video is a capability of the system ... but not on a modest-upload-speed DSL line. Another important issue is that the audio in the user-to-camera end is of very poor quality. Think: the worst cellular phone call you've ever listened to. I tried joining a family meeting with the Nest cam; the oldest generation said ""Can't understand, just ruuuba-ruuba-ruuba"", the kids could get a word now and then, and the middle generation said ""...Ethiopia??"" Volume adjustment of the camera or at my talking end did not help the audio quality. In addition the camera has substantial audio delay when used over a DSL line; various trials were in the 1 - to - 10 second range. Forget carrying on a conversation through the camera; unusable. And, on top of these ""not fit for purpose"" issues, the video-review/control web user interface is buggy. Examples include: the camera scheduler turns it on at 6AM and I get a notification in email that motion has been detected at 6:05AM, but there's no marker at that time in the motion-detection indicator on the UI. There was motion, review showed deer in the frame, but where's the marker? Or: the camera has a power-outage because it was deliberately unplugged. I tried to watch the video leading up to the unplug. The low-detail sampled-frame popup in the UI showed the event, but when I tried to play the video of the event through the UI, as the view approached the time of the unplug, it would halt and move the ""play"" timepoint to a point much earlier in time. The only way I could see the unplug event was to make a clip of it and view that. Or: random crash/reboot events when trying to use the configuration controls in the UI: adjust the zoom and occasionally crash. Change the video setting from 360 to 720, and lock up. If the system doesn't have the capability to do something that the controls are enabled for, it should communicate, rather than just crash. Or: after running for some time, clicking on the playpoint selector doesn't move the ""play"" cursor there; I have to pop up the low-detail popup and click that to get a particular time-to-play selected. And, finally: issues with support. During setup I posted a request to the help-desk for info regarding configuring the audio routing on the monitoring PC. It's 2 weeks later, and there's no reply. For reference: Nest cam is software version 205-600052, serial number is 18b430556xxx. Remote interface is PC Win7, up to date, and Chrome browser, up to date. Nest cam's local internet service is through a DSL line on a conventional home system that has no other high-bandwidth usage running, and is otherwise normally functionally, with as-expected upload and download speeds. In summary: lots of issues, for a high-end ""no problems"" price. In hindsight, I shouldn't have bought it.",Not for use with internet access over DSL. Very poor remote-to-camera audio quality. Buggy. Poor support.
Google Nest Cam Indoor - Wired Indoor Camera for Home Security - Control with Your Phone and Get Mobile Alerts - Surveillance Camera with 24/7 Live Video and Night Vision,1,1.0,Reviewed in the United States ,17 Aug 2019,Greg,I regret buying all my Nest products. They keep randomly implementing mandatory updates without any care for the customer. First they remove the works with Nest program killing all integration with my devices using homebridge and fragmenting my smart home. Now they forced an update that removes the option to turn off the LED indicator making my SECURITY cameras completely obvious to thieves! I’m tired of this and will be switching my cameras to a brand that actually listens to what its customers want.,Used to be good. Google is slowly killing their own product.
Google Nest Cam Indoor - Wired Indoor Camera for Home Security - Control with Your Phone and Get Mobile Alerts - Surveillance Camera with 24/7 Live Video and Night Vision,1,1.0,Reviewed in the United States ,08 May 2017,Celine D. Yang,"I'm pretty disappointed in this product. It keeps going ""offline"" even though I know the internet is working (since I'm using other devices that are connected to the same wifi). Neither the camera nor the router have moved so there is no reason why the connectivity should be dropping so frequently. And our apartment is NOT large. It's only 625 sq feet total so range should not be an issue at all. The rare times it IS working, it works just fine. Video quality is nice. I would prefer the microphone to be a little more sensitive, but oh well. The set-up was easy. But for the price, I expect a little more reliability. Disconnecting from Wifi is not acceptable. I cannot recommend this product and when people ask me about indoor security cameras, I will be sharing with them how unreliable the Nest Cam is.",Randomly Goes Offline
