product,verified,rating,location,date,author,content,title
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,20 Aug 2019,Matt Smith,"Of course, now that Google has purchased Nest, they are changing the options and integrations that Nest had prior to the acquisition. Google should not be able to decide whether or not the status light on my cameras are on or off.",Google overreach
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,01 Sep 2019,DoctorMD17,"Get a different brand. We have had this for 2 years and there are many things wrong. First, it doesn’t pick up all motion outside. Sometimes I’m waiting to get the notification that I was just on my porch and nothing. Second, you can’t make out anything at night. We had a couple strings of car break-ins and this thing was of no use to police. And lastly, the icing on the cake, they BREAK! Ours broke for the first time a few months ago. The wire shorted and customer service said it was just normal weathering. They sent us a new wire. Last week, it stopped working completely, AGAIN. After over an hour with customer service they sent us just the camera but no new adapter, so, again, totally useless. Now we will have to spend another 1-2 hours with customer service for another mediocre fix. Not to mention, they don’t do priority mail, so now we’re still without a camera for another week. They also don’t credit you the monthly fee you pay for the service, even when their service doesn’t work. We’re moving in the near future and will be switching security camera companies.",Had for 2 Years: Terrible Long-Term Quality & Service
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,15 Feb 2020,Mark,"Purchased another camera for my home that was having intermittent Offline issues, so i contacted customer support. It is AWFUL !! First, there is zero USA support, its outsourced to Honduras and i believe Phillipines. The language barrier is ridiculous, and troubleshooting takes forever. I was on the phone for over an hour, speaking to several people, was on hold at one point for 17 minutes....its just ridiculous. I may return the camera just  based on how AWFUL the customer support is. Absolutely the worst ever!!",AWFUL Customer support !!
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,2.0,Reviewed in the United States ,28 Nov 2017,Kristofer r Miller,"This is probably my most regretted investment in a long time.  It may be because I am ignorant and didn't know this has a 100% required to be useful subscription service.  AFTER you already pay a price higher than any other cameras on the market. It is totally awesome when you first get it and have the 10 day recording.  But after it becomes almost completely useless.  It starts spamming you notification every time the sun shifts, or if there are squirrels in your yard, or literally anything.  Than it only gives you snap shots for the last 3 hours, that seem to not even catch anything and it seems to even be a lower resolution and is less responsive after the subscription.  I tested this by leaving the door my camera is watching at a normal pace multiple times, only to either get a picture of the door after it has closed, or to get maybe my arm or the back of my head, but never anything that would be useful if I were to be robbed. Again, the camera itself has a lot of potential, but the fact that they tie this already expensive product to a subscription that at minimum costs you 100, a year, not including the cost of purchase. In addition, you can get some home security systems installed and serviced for aa similar price to the equipment breakdown of Nest with 1 camera running a 30 day recording.  Only difference is, for the 66 a month you pay for a security company, they actually put  sensors on multiple doors, often a few cameras. This just feels like Nest wanted to utilize the Cell phone marketing strategy, of sell you something that is super powerful, but unless you pay them for a subscription, your very useful thing becomes unusable.  The only way I feel this would be morally acceptable is if it were a rental or exclusively a service, where you didn't purchase equipment that you expected to have a reasonable value. I figured I would at least be able to use this as a security camera I could record to my own storage locally.  However, you can't without a lot of hoops and purchasing 3rd party software. In addition, there have been a lot of articles about how easy it is to hack into a Nest camera, since it is wireless.  And since it is easier to hack into the camera, that means anyone who want's to that has the knowledge, can enter your personal network through your now useless security camera and then have access to the rest of your network. If you sell a product... at least be openly blunt about how tethered it is to your personal subscriptions. To me this feels like buying a vacuum cleaner, that works for a month as advertised, then sends you a message saying you can no longer store any  dirt in the vacuum, and the motor will no longer turn as fast, and will only be functional as a heavy broom at best until you purchase the subscription to the hardware you already purchased and own. I really wanted to love this, and if you don't care about having a company lock your personally owned hardware to a  subscription service, which makes it almost impossible to use 3rd party non subscription services without making your  security footage publicly available, then recording it at a lower quality from a live stream... then this is an awesome product.  I just can't justify this purchase to anyone, when you can use the same third party software, and make rasbarry pi security camera array of multiple cameras, that you can record to your own storage (on or off site) for the same or less money.  Yes it will have a few less frills, but this is a security camera, not a toy.","I wanted to love this, But became Aware (pun intended) of some issues"
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,02 Aug 2020,Travis Huber,"I had 2 of the 4 cameras that I bought installed at my house, the first few days into about the second week was great. That soon came to an end when we started looking at them when it got dark. The night vision on these doesn't allow me to see to the end of my deck, about 20 ft, or the end of my driveway, again about 20 ft. I was also trying to get away from a system that only had a subscription service, I thought that I would be able to gook this into a system that I could store locally not in the cloud. I was wrong and severely disappointed. The cameras are overpriced for what you get and only allow screenshots that may or may not catch the motion if you decide to not pay for Nest Aware. Now to motion detection, these cameras think everything that moves is a noteworthy event. A bird flying by? Notification! Shadow moves just right? Notification! Wind blowing the trees around? NOTIFICATION!! you cannot see dead zones or any sort of AI detections without Nest Aware. Picture quality now. So, you bought a 1080 camera what do you expect? Well, I thought better than what I got. I will be getting 4k cameras to install with my system over 1080 after having these 3 short weeks. All in all, if you want to have cameras that integrate into your Google Home system these, in theory, would be great but you do need to pay the monthly or yearly fee for Nest Aware and I would recommend getting the 4k cams instead of these 1080 ones. I cannot recommend these cameras to anyone who does not have a Google Home setup as I would even have a hard time recommending them to someone who has one. One last thing, you are not able to view all of your cameras at once, only one at a time. This was a big issue for me as I wanted to have a monitor that had cameras up at all times.",Returned product- Here is why.
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,5.0,Reviewed in the United States ,03 Jan 2019,Brad,After researching many of the options for outdoor security cameras I decided on the Nest option.  So far so good.  I originally purchased the 2 camera pack and installed them outside my front and back doors.  The front door was a bit more challenging as I needed to go up the wall and into the attic for the power source but in the end with good planning it went well.  Both cameras are working great and give us a good look at the areas they cover.  We are so happy we have decided to get a 3rd camera to give coverage of our driveway.  These are really nice cameras  and we are very happy.  My suggestion is to plan your placement of the camera and how you will power it carefully before starting.,It works
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,2.0,Reviewed in the United States ,01 Sep 2019,Phil,"Lots of positives: - Camera performance is very good - Motion detection is very good - Service reliability is very good But the big downside is the massive amounts of broadband video the cameras take. - These cameras can take 400GB per month!  With Two of them, you could be using 800GB.  Comcast has a limit of 1TB, after that they charge you $10 for every 10 GB of data. - You can lower the bandwidth used to 100GB, but then the video quality drops dramatically. What nest/google needs to do is to add a device that you can put on your home network to record video locally, and then have a subscription for a certain amount of data uploaded to the cloud. I now have many of these cameras. I have had to turn off recording for most of them because of this massive bandwidth consumption problem. Nest / Google is clearly short sighted.  I'm sure I will start to replace these cameras overtime with cameras that do a better job with local storage.",Watch your internet bill.  Consumes excessive amounts of data!
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,15 Aug 2019,DanTheMan996,I bought the Nest cameras for security when Nest owned the company. They worked ok but now Google owns them and they decided to change the way that they operate without regard to the customers and their security. I have found a better product that is less than half the cost of these cameras. I will never buy a Google product or service.,Not now that Google Owns them
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,16 Aug 2019,Steven A. File,"This product is no longer the quality product that I loved before Google bought Nest a few years ago. In August 2019, they announced (the same day of the changes) that they were taking away the ability to turn off the camera status lights ""for greater transparency and privacy in your home"".  They should be turned off for outdoor security cameras in particular as this is like advertising to thieves and trespassers where your cameras are to avoid or steal them. Nest Aware alerts of activity in the camera area have taken longer and longer to the extent that they are now taking as long as seven minutes to receive on your cell phone. I no longer recommend this product!",No Longer Can You Turn Off The Status Lights!
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,2.0,Reviewed in the United States ,22 Jun 2020,BC,"Camera seems to be OK quality, however is lacking a key piece of functionality, hence a reason for returning the product and giving it a 2 star rating. Push notifications to your mobile phone can  only be set up to 'always' or when I am not home (based on your phone location). When you think about it, those 2 options are not really useful in majority of circumstances. Either you get spammed continuously with alerts (like kids going in and out of house continuously), or you are not getting notifications when you are home (let's say at night). I would have to continuously open up the app, change settings to what I need multiple times a day to get what I need. Even my few years old Samsung outdoor camera has  a schedule you can set - for example, only send notifications on workdays between 9-5PM (when I am at work) and during night 11PM-6AM while I am sleeping to know if someone is around the house).","OK, but lacking key functionality, hence returning the product."
