product,verified,rating,location,date,author,content,title
"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, Black, Works with Alexa",1,5.0,Reviewed in the United States ,22 Jul 2018,Rick,I purchased two of these from Amazon a year ago and they haven't failed me yet. Now I am linked to everyone in my neighborhood through the app and last night I received a notice that my neighbor's house had an attempted theft of his outdoor smoker/grill. I immediately contacted Ring through their app and told them to activate the recording service. That same man came to our back porch within minutes of leaving my neighbors house and tried to steal my brand new outdoor pizza oven. My Ring light came on and scared him away. My camera footage was able to assist the police in tracking down and arresting the man.,Everyone Should Have at Least One of These Floodlight Cameras
"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, Black, Works with Alexa",1,1.0,Reviewed in the United States ,16 Feb 2018,The Norm,"UPDATE 16FEB2018: After two weeks, I must downgrade my review... it's become obvious that the Ring Floodlight Cam only detects motion during the day.  At night, I can walk through the center of my defined motion zone, but the cam won't record until I'm within 10 feet of it. The defined zone is my driveway which is about 40 feet long and we have 3 cars. As long as the ne'er-do-wells only break into the car parked closest to the Ring cam, they will be recorded. A quick Google search for ""ring cam won't detect motion at night"" will yield many stories of the Ring product line failing to work in darkness. Apparently, the problem has been documented since September 2017 and Ring has failed to fix it. I must say that I'm beyond disappointed. At least I discovered this in enough time to send the cam back to Amazon for a refund. INITIAL REVIEW: We've begun having an ongoing problem with car break-ins in our neighborhood. I wanted to get a security cam to monitor our driveway. I looked into standard cctv and more advanced poe/hd cams with a dedicated computer and HDD, but hesitated due to the complicated nature of the installs. Not that I can't do that, but I really wanted a simpler option. Enter the Ring Floodlight Cam. I purchased one to install in place of the motion floodlight over our driveway. I am pleased. Pros: - Easy/straightforward install. If you can wire a light fixture, you can physically install this cam. - Getting the cam online was simple (you have to use the Ring App). - Setting zones was easy as well (using the app). - I receive motion notifications within 5 to 10 seconds of motion being detected. - The cloud app works well from my phone and is one of the more reasonably priced plans out there. - The two way voice communication allows me to startle my wife when she comes home from work. Cons: - The camera mount has very little range of motion... approximately 30* left, right, up or down. It worked in my install but it may not for you. - I see no way this cam could be mounted under an eave... vertical wall only. - A bubble level on the cam would be VERY helpful for setting the cam level with the ground (necessary for the motion sensor to work properly). - My house has several access points all using the same SSID. The cam occasionally connects to a weaker signal of one of the other APs. (Will likely fix this by setting up an SSID just for the cam.) When it connects to that weaker signal the performance of the cam is significantly degraded. Install tip: It was 20*F outside when I installed the cam. I didn't want to be running up and down a ladder if I had problems connecting to the network. I wired the cam up with a plug (from an old, grounded extension cord) and ran the wifi setup routine at my kitchen table. I verified everything was working (including the app, motion detection, etc.) before I installed it outside. My sole wish is that the wide angle lens were ""slightly"" less wide. But I knew that before purchase and it didn't stop me. If this cam continues to work as well as it has so far, I will likely get another for our front yard/door.",CANNOT DETECT MOTION AT NIGHT!!
"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, Black, Works with Alexa",1,1.0,Reviewed in the United States ,03 Nov 2017,Amazon Customer,"Piece of garbage- bought 2 - both failed- had both replaced— both failed again - 3rd time same thing- had ComCast come - WiFi way beyond what’s required by Ring - NOT READY FOR PRIME TIME - 42 emails, 10+ hours on the phone, up and a ladder more than 30 Times to hit the stupid reset button— on and on -DO NOT BUY!!",up and a ladder more than 30 Times to hit the stupid reset button— on and on -DO NOT BUY
"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, Black, Works with Alexa",1,2.0,Reviewed in the United States ,08 Oct 2017,Luke,"I really wanted to like this product, but it comes with some flaws.  Several actually.  I feel like this product could benefit from several improvements, and perhaps not so much as the unit itself, but the ring app for Mac and the smart phone. My #1 issue during the installation was that the bolts that were provided were too short.  I had to reuse the old ones.  #2. I wish it could come with WIFI and ethernet ports.  We have a larger property so the signal on one end of the house can be unstable.  #3. Ok, software needs major work.  The light scheduler does not work.  Our lights were on a schedule to turn on at 7pm and turn off at 11pm, they do come on, but the ring app will never turn them off.  Also if there is movement the lights come on, but they don't turn off after the designated time of 15 minutes. My other problem; and this is a big deal for me is that I can view only one camera at a time.  I can understand this on a cell phone, but on a desktop computer I want to see video from all cameras installed.  The application will tell you to close one feed before you can open a feed from another camera.  The reason why I'd like to be able to see video from all my ring cameras is because I want to have the ability to track my kids around the house.  Some might be on a swing set while others could be riding a bike in front of the garage.",Software needs work.
"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, Black, Works with Alexa",1,1.0,Reviewed in the United States ,13 Jan 2019,D. Moyer,Was a huge fan of ring products up until last night when the LED light on my floodlight camera stopped working.  Product is 1yr and 2 months old.  Just out of warranty.  🤨 after working with Ring tech support for @2 hrs have been told there is nothing they can do and I will need to repurchase. Hard pill to swallow.  $250 product has no way to replace light and just stopped working just after 1 yr old.,Light just stopped working!
"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, Black, Works with Alexa",1,5.0,Reviewed in the United States ,11 Dec 2017,Al,"Your browser does not support HTML5 video. I got this with my eyes wide open, knew a had a few flaws but also knew that the basic concept was very neat and if they could get it all to work as stated this would by far be a must have, not only for security, having fun with friends, well the list goes on and on. After a lot of trial and error it is working great now. OK, Let me first tell you what I have, I have the Ring Floodlight Video camera, TP-Link AC1900 Long Range Wireless Wi-Fi Router (Archer C9) TP-Link AC1750 Wi-Fi Range Extender w/ Gigabit Ethernet Port (RE450) , TP-Link 2.4GHz 8dBi Indoor Omni-directional Antenna, 802.11n/b/g, RP-SMA Female connector (TL-ANT2408CL) , Sounds like a lot but it's not. The router settings are simple. There is free software programs out there (Google it) that analyze your Wifi signal quality, RSSI, signal strength and more so when you have everything setup you aim your antennas at the range extender and look at free program to see if it's better or worse, keep doing this until you have best signal, remember  Ring Floodlight Video Camera goes from 0-100, the lower the number the better: RSSI (dBm) Signal -30 100% -40 100% -50 100% -60 90% -64 80% -68 70% -73 60% -77 50% -82 40% -86 30% -91 20% -95 10% A lot of people think the higher the number the better, Wrong. I had Ring outside mounted on front of carport, about 45 to 50 feet from router, the new C9 TP LINK from Amazon, Well er, ah, what was I doing wrong, kept Googling and reading and decided I had come this far can't stop now so ordered TP Link Range extender, boy  did this  make a difference. 2 ways to set up extender, simple way WPS button, push it on router and then push big button on extender or what I did I used WPS but named extender to, it will tell you how in instructions. Even though this was a major improvement I wanted more, after more reading I decided I needed the TP-Link 2.4GHz 8dBi Indoor Omni-directional Antennas so I got 3 of them, but only use two, 1 on each end of router and one that came with router in middle. While reading up on antennas is where I read about aiming them at your device or extender. Man I was cooking with grease now. I thought it could not get any better than this. OK, man was I wrong, completely. Today I moved Ring Floodlight closer to router by moving Ring on this side of carport, 9 feet up mounted on front of house near window, window is 9 feet up to. Mounted Ring, came inside, mounted range extender on window sill inside house, about 2 feet from Ring outside separated by glass window, came to router, just aimed the 2 8dBi antennas at range extender, other antenna straight up, turn on iPhone, Live View and almost fell out of chair, there are no words to explain the difference in video quality. If you do it right, this is a must have. I had not even used free programs yet to test aiming of antennas so I looked at signal strength on Ring App -25. This is the stuff if done right. Good luck. Also if you have ethernet connection and want to use wifi at same time (Not be kicked off wifi upon every reboot, google use how to use Ethernet and wifi at same time, youtube video tells you how to add two things to registry to make this happen, works great, Again Good Ruck.",Move Ring closer to router and Get Range Extender- Motion even detects objects as small as a cat
"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, Black, Works with Alexa",1,1.0,Reviewed in the United States ,09 Jan 2018,Eric,"After owning a Ring doorbell for about a year, and being happy with it, I decided to buy the Ring Floodlight in August 2017.  I got the unit, installed as a replacement for my current motion detecting floodlight, and gave it a try.  It was flaky.  Sometimes the camera would capture me walking up my driveway and other times not.  Sometimes you would see the car start backing out of the driveway, look like it was stopped, and then it would just disappear. I call Ring support, then spent hours with them testing out my WIFI link,  power cycling the device, which is a pain, as I had to keep going out to my circuit breaker box, allowing them to log in an see the same thing I was seeing.  After a few hours, they decided that it was a WIFI issue and they would give me a Ring Chime Pro to extend my WIFI.  I agreed to this, but as my tests using my phone as a WIFI tester showed I could get better then 5Mb/sec up and 20Mb/sec down right next to the Ring Floodlight, I was skeptical. The following week, the Ring Chime Pro showed up.  I plugged it in, set it up, and things were no better, so I was back on the phone with support for the rest of the day.  Moved the Ring Chime Pro to multiple locations, power cycled the Floodlight,  did more WIFI tests, and they finally decided to send me a new Ring Floodlight unit. I got the new unit in, installed it, but it was not any better.  I hoped that maybe the automated Ring software updates would help over time, but nothing.  Half the time the Floodlight is on all day long, and I have to use the app to turn it off. I drive up at night, and the Floodlight may turn on for a few seconds, or it may stick on for the night, or something in between.  The camera may alert me, or it may not.  When it does alert me, I normally see images that freeze, so you see someone walking up my driveway, the image freezes, and then seconds later, they just disappear. My internet provider supplies me with 125 Mb/sec down and 12 Mb/sec up which is way more then the Ring Floodlight needs.  Using WIFI I have no problems doing video Skype or Google hangout calls,  so I know the issue is not my WIFI or Internet.  The Ring Floodlight just does not work.  They can’t even get a simple motion detection Floodlight to work correctly, and the floodlight feature does not even use the Internet. Stay way.",The floodlight does not even work right
"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, Black, Works with Alexa",1,4.0,Reviewed in the United States ,31 May 2017,ca,"Absolutely do not buy this product. Great in concept but until they update the software to hold the wifi settings in the event of an intermittent power supply or intermittent wifi signal, the product is worthless. Every couple of days the product goes offline, the lights kick on/stay on and you have no control of the device unless you climb a ladder and manually reset the entire device. Ring has not been helpful at all in addressing this issue. The Ring Doorbell Pro does not have this issue so it is shocking they released the floodlight cam with this glaring flaw in design. Update: Ring has responded to complaints regarding the software issues and the product is working significantly better. No wifi connectivity issues and a few other glitches have been fixed. Only complaint is that customer service talked to me like I was clueless when they in fact had no idea about their own problems - once escalated a person with some sense help direct the issues to engineering for reprogramming.",Great in concept but until they update the software to ...
"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, Black, Works with Alexa",1,5.0,Reviewed in the United States ,17 Sep 2017,Rocky,"I'm using this floodlight cam to monitor a vacant family home located 1-1/2 hours away from our home location. Installation was very easy. I had my own tools, but the product came with everything needed (and these weren't the ""cheap"" IKEA-like assembly ones either) so I used those supplied with the cam/light. They even provided an ""s-hook"" to hold the light up close to the electrical junction box during installation so you didn't have to try juggling the fixture while making the electrical connections, or argue with your wife who is holding the fixture ""too low, stop moving around, don't answer that call, etc., how thoughtful was that?!?!  It ""paired"" very quickly with the wi-if network, and I'm very impressed with the picture quality and response time. I installed 4 Panasonic web-cams 15-years ago at our home that had pan/rotate/zoom capabilities so I was a bit concerned that this product was a fixed position camera.  The wide angle (I'm old and don't remember the product specs but I think it's 140-degrees) 1080p picture quality with digital pan and zoom quickly alleviated that concern. The clarity, length, and width of field-of-view is amazing!  I've already ordered a 2nd floodlight cam as well as a Doorbell Pro for the ""remote"" vacant home. I also plan on ordering units for our own home.  In speaking with the very friendly, and knowledgeable Ring support group, I was pleased to find out I can add as many Ring units, at as many residence locations as I desire and still be able to take advantage of their ""unlimited"" $100/year 60-day video Cloud storage plan that also provides a discount (10% I think) for additional Ring products purchased on their web-site, and if I remember correctly, also some type of extended product warranty.  If you visit the Ring website, (and I'm sure those products will also be available thru Sellers on Amazon as well) they have several new products shown that will be available ""Fall 2017"" that look very impressive, including their new Doorbell Elite version that will feature POE (I think this stands for Power over Ethernet) which means you can connect this Doorbell using a CAT 6-type cable to a compatible switch/router and have a very secure and stable ""wired"" (not ""wireless"" ) connection without having to have a seperate pair of wires to power the functions of this ""Elite"" Doorbell. I am not an employee, or am in no way affiliated with Ring, I payed the same price we all payed for this product that I purchased here on Amazon, but as an engineer who doesn't like having arguments with my project helper (i.e. my wife), and who recognizes a high quality product that is designed to make installing and using the unit easy for most anyone, I felt the need to compile this review.","Save Your Marriage, Buy This One!"
"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, Black, Works with Alexa",1,1.0,Reviewed in the United States ,13 Oct 2017,Harmon,"Problems ... problems! When the cam was installed it worked beautifully..sound and picture. Later that day the phone could not connect to the camera.We followed the suggestion from Ring for help but nothing works.We still get random connections about 2 times a day for about 5 To 8 minutes only...then it's back to ""trouble connecting to Ring"" .  Totally frustrating.The internet speed indicates as adequate. Calls to customer service has not helped with their suggestions. This could be an excellent camera if it worked as it should.",Frustrated with Ring Flood Light
