product,verified,rating,location,date,author,content,title
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,2.0,Reviewed in the United States ,30 Sep 2019,Cynthia,"I am very disappointed in the functionality of this product. Having indoor security is a great thing but I do not wanna have to give up all of my privacy to get it. There are plenty of reasons why a person may not want to be recorded inside their home. Currently, you have no options for turning off the cameras from the app. After more than half an hour on the phone with customer support, they made it clear that there was no option for privacy except for physically unplugging the cameras.  This is extremely impractical. My cameras, for instants, are mounted up at the ceiling and need a ladder to access.  I'm sure that I do not need to give you examples of all the reasons that this would be problematic, since I can think of a half dozen off the top of my head. Another possible partial solution would be restricting what information shared users can see. Currently there don't seem to be any options at all about how much someone can see if you share your account with them. If they were option settings for sharing, I could decide how much they see.  But there aren't. I am still deciding if I will be keeping these new cameras or not.",Zero privacy
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,5.0,Reviewed in the United States ,27 Sep 2019,Pete,"Your browser does not support HTML5 video. I am really impressed with this camera, and also own the Echo Show 5.  The wide angle lens covers a lot of my living room.  So happy I can monitor the activities of my 3 cats from the bedroom.  Setup is a breeze if you have owned a Ring device.  I also have the doorbell.  *****  Highly Recommend this item as well as a great price. One thing that is a bit troubling is the volume on the cam does not appear to be adjustable and is rather loud and distorted.  I have a support ticket in with Ring.  Working smoothly with Windows 10 PC and also Android phone.",Small size and high quality camera
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,28 Sep 2019,Finkledinkle,"Pros: Cost Daylight video Easy Setup Cons: Hardware that comes with it will not mount into studs (screws too shallow). Power cord is a proprietary micro USB (plug recessed deep on the camera) so unable to use just any micro-usb plug. Night video has issues keeping everything in focus (blurry top of the screen) First and foremost, its a 60 dollar camera.  The least expensive camera Ring has produced.  I have the Doorbell Pro, and the floodlight camera watching the front and back of my house, so was excited to see a cheaper option to put one in my garage. The camera itself is incredibly small, almost the size of the ring doorbell itself.  Setting it up was a breeze if you already have a Ring device.  Took me 15 minutes to get the camera up and running and added to my existing Ring app. The video quality is on par with the other devices in the daylight.  No complaints about that.  The night vision however,  seems like it has some issues.  I've noticed that anything on the top of the screen comes off blurry and out of focus in night vision.  I haven't experienced that with other ring cameras, and may be due to mounting the camera high on the wall and it having an issue keeping everything in focus.  I know they increased the viewing angles on this model, so it may also have to do with that.  Its purely speculation, but it is a 60 dollar camera, so not a deal breaker for me.  Its not like Spiderman will be breaking into my garage. The biggest negative on this device however (and why I took away a star) is the hardware.  The mounting screws are far too shallow to get through drywall and into a stud.  So they include the anchors for drywall, and you will need to mount this into the anchors.  This seems like a huge miss considering most Ring devices account for this and always have included the appropriate hardware. The other negative is the power cord.  Six foot is hardly enough to work with.  With the camera being powered with a micro-usb, if you're thinking ""well just buy a longer usb cord"", that won't work.  The plug in on the back of the camera is far too recessed for anything other than the cord that it comes with.  So unless you're looking to use a typical 120 extension cable, make sure you're planning on mounting this close to the outlet.","Great Camera for the price, if you want it mounted near an outlet"
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,01 Oct 2019,3rd Time is a Charmer,"I needed a cam to see the inside of the house when we are out. Decided to give this one a try since it was meant to be indoors. Pros: - smaller profile (I placed this cam next to the Ring Stickup Battery Cam, and an 8oz bottle of water for comparison) - easy setup (took a total of 2 minutes to get up and running) - two way audio had a delay, but still less than my Arlo cams. Cons: - initial lag. At least on my device, there seems to be about 2 seconds worth of feed that is “fastforwarded” before the stream stabilizes. Not a deal breaker, but the other ring cams I have do not do this. Overall, great product that fulfills a niche purpose. Cheap alternative if you need specifically, an economical indoor cam.",Literally a fraction of the size/cost of its bigger companion!
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,26 Sep 2019,DS,"This ring indoor camera looks like a solid camera, and I can't wait to receive my order to test it.  I am giving it a 4 star for now and will update later based on actual usage. But based on the features that are described here,  I think Wyze cam offers more value for rought 1/3 of the price.  Wyze cam provides free on-camera A.I for person detection and free 14 days of cloud storage, which has great value.",I would recommend Wyze Cam for better value
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,5.0,Reviewed in the United States ,28 Sep 2019,MariaSmiles,"Very easy setup, great image quality (light or dark), great audio quality, nice form-factor, perfect integration with my Ring network. INSTALL: This took about 4 minutes to set-up. That includes opening the box and updating my Ring app. Amazing! This is my 3rd Ring camera (first of this type), and I also have 3 other d-link cameras and 15+ other network-connected smart home devices and this one had been the easiest to set-up, by far! Most have required at least one call to CustSvc at some point in the process (& I'm very familiar with IOT and network installs). I didn't need any of that knowledge with this new Ring device. I'd recommend you install/update your Ring app first, as that was my only hiccup (old versions dont have the new hardware listed). APP: So: install/update Ring app > Open box > remove and unwrap device & plug (usb to 2-prong usb) > plug in to outlet > in the app, tap add device (or devices > add...) > Quick scan of barcode w/phone camera > and viola! you're off to play with some settings and have more convenience/security/peace of mind in your life! In the app, you can adjust motion zones, notification sound/volume, link to other devices, snooze motion, and other functions, as with the other Ring cameras. MOUNT: It can be mounted on a flat shelf surface, on the wall, or on the ceiling. Wall anchors and screws are included. And w/your own philips head screwdriver, the base moves to the back for wall mounting. The base also articulates quite a bit, maintaining stability, and holding its position well. It seems very well thought-out in that regard. USE: I'm using this in an unconventional way. My laundry room isn't easy to get to, so I have the cam pointed at my machines in the hopes of being able to check on loads before stopping what I'm doing and making the trek to a mid-cycle load. (Or for a quick chat with hubby if he's in there). I also plan to position it to capture other utilities, to check on any alarms that might be triggered (fire, smoke, flood...). Here's hoping i never need it for that. (pics to show light & dark quality; no editing or filters. I know I gotta clean up in there 😄) I rely on reviews to help me make informed decisions. I hope this review helped you :)","Very easy set-up, well-designed, great functionality"
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,2.0,Reviewed in the United States ,29 Sep 2019,Tracy,"I love Ring products. They are a great idea and work well. I just received a two pack indoor cameras which arrived promptly but one of the two power supplies was defective. I decided to chat customer support. In my opening chat I gave my name, described the problem, explained what I did to troubleshoot the problem and how I confirmed a dead power supply. The agent didn’t even read it and wasted my time asking questions that were already answered. The support chat took over 20 minutes with long delays between responses and the agent was still not able to confirm shipment of a replacement. It was as if the agent was working several calls and not focused on my chat. Defective product plus poor customer service is a recipe to loose loyal customers.  I was an early adopter of Ring and have many of their products. This experience has given me pause when considering them in the future or recommending Ring to others.",Defective product + bad customer service = loss of loyal customer
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,17 Oct 2019,K. Thomas,"We were looking at getting another smart camera to monitor the entryway coming into the house.  So far, I've been impressed.  I've only used 2 smart cameras before.  The first was a Yi camera that we bought from Amazon back in late 2017 for our baby's room.  It was an ""Amazon's Choice"" item and it was about $80 so we bought it, but it was a piece of junk and constantly dropped off the network despite claiming to have a strong signal.  We looked around and decided on a Nest camera for her bedroom.  It has worked flawlessly, but it was $250!  Even though we like it, I was not going to drop that much money on another indoor camera.  Then, Ring came along with this new (and small) indoor camera that's right around $60, so I decided to give it a shot.  Here is my review after using it for a few days. Pros: The video quality is great and does not seem to lag at all Has a built-in panic alarm, which I don't care about but others might (it's kind of weak though) It's small Setup is pretty easy Cons: It has a rather short power cable, which is not modular.  If you are going to put the camera on a table near an outlet, you shouldn't have an issue, but if you want to mount it on a wall several feet from an outlet, it's probably not going to reach.  Also, the micro usb port is inset into the camera inside a tiny tunnel and the USB cable happens to have the same shape at the end of it to make it easy to insert.  The cable length is an issue for me.  As a test, I tried using a regular micro USB cable and an Apple 2.4 A power supply.  It took a bit of jiggling, but I got the Micro USB end of the cable to seat inside the camera.  The 2.4 A power supply worked fine with it (the includes power supply is 2A) so I will be ordering a longer micro USB cable and using that instead. Another potential con is the ""Activating"" screen when you click on the thumbnail in the app to switch to the live view.  Sometimes it may take 2-10 seconds before the feed actually comes up. One other minor annoyance is the blue LED that turns on when the camera detects motion.  There is no way to turn it off nor is there any way to tell when someone is actively viewing the feed.  Our Nest camera provides the option to turn off the LED, but in normal operation, the LED is solid green, but when someone is watching the camera feed, it turns into a pulsing blue.  Not a big deal, but if you really wanted to make this thing incognito, it's not really possible unless you put tape over the LED. Conclusion:  For $60, this camera is perfect aside from the included power supply, but I can deal with that.",Great camera for the price
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,5.0,Reviewed in the United States ,29 Sep 2019,Blunt Honesty.,"I think it's best for this cam placement if you put it with a crowded counter or shelf to not be as noticeable as a recording camera. Once set,  it hides well. I already have 2 doorbells and 3 chimes and an outdoor cam with siren and security lights. I have another type of indoor cameras, the WYZE cams ... you can see my review on that in my reviews section ... they are not reliable at all. They are very hard to use when away from home .. can't share the videos from the phone. One even just stopped working!! Low priced,  and in this case,  you get what you pay for! This new indoor cam was easy as heck to set up and connect to the app to go right with my other cams. The view is amazing! The picture quality and sound is the best! Yes,  you'll pay more,  but do it! It's worth it. None of the RING products have EVER let me down,  close to home or away!","The RING products are the best,  in my opinion!"
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,5.0,Reviewed in the United States ,28 Sep 2019,JV,"For a while I have been using Ring cameras for the the exterior and Wyze cams for the interior on my house. With the new indoor cam I can now access all my cams from one app. To me the picture quality is great overall and especially in total darkness. Live view connection is a lot more stable than my Wyze cams. Alexa integration is a big plus, no need for third party hacks to complete routines. Because I already have Ring cameras it’s worth it to pay a little more over a Wyze cam.",Completes my ring of security
