product,verified,rating,location,date,author,content,title
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,04 Sep 2020,Jason Reid,"These little cameras are pretty handy.  Great picture and I've got six of them that are solar powered and they want amazing I don't think I will ever buy one this plug-in again I have not had one minutes problem with any of them and these cameras have saved me from two attempted incidents already on my property.  These are expensive as hell ($150 camera and solar panel) for what they are but WELL worth it...  Quality ain't cheap... Cheap ain't quality!  Guess you have to decide if your items and family are worth the150, hard,  sweat equity earned dollars...  Happy shopping!","If you're not getting a solar panel you may want to buy a longer cord or an extra battery, or both."
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,29 Oct 2019,Brad,"I am seeing a lot of negative reviews for this, but this is my experience!  I bought one of these to test out, and it works great. I hung it within the 30ft range from the wifi router, and it gets a clear a great signal.  It works as expected. I purchased 3 more for around the outside of the house and they all work great. You have to have a good wifi signal and they recommend if you don't, to use a repeater.  i don't have to do that in my circumstances (even though one of the cameras is located about 45 feet away and switches between weak and good signal.  I can perform all setting changes on my phone which is great, and i can see all 4 cameras - live at any time.  All my cameras are on the outside of the house.  I can remotely activate an alarm if necessary, I've tested it and it works.  I can talk through it as well.  You can specify separate zones within each camera and turn off motion detection using your phone if you happen to be doing yard work for instance and don't want it to record so it doesn't waste battery.  I love these cameras because my kids come home a few hours before i do from work and i can see them when they are outside the house.  If something were to happen, at least it will be recorded.  This won't prevent someone from breaking into my house, but they will sure as hell be on camera if they do.  Also, it will cost $3/month to use the cloud recording option, and if you have more than 3 cameras like I do, i recommend the $100/yr for that service.  It's worth it!",It does what it says it does - as long as you follow the rules!
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,3.0,Reviewed in the United States ,06 Nov 2019,Mark J,"1) The lack of customizable motion zones is a huge disappointment. If angled downwards, mounted ~9ft off the ground, it misses a lot of motion detection coverage towards the upper half of the lens. Wish it had motion zones similar to the Ring Doorbell Pro. Such a shame for an “all-new, gen 3” version of this camera. Is it wishful thinking to see a better motion detection zone coverage in future firmware updates? 2) It stops recording too soon even with the motion verification feature turned off. 3) Battery life is said to last 6 months to 1 year in the product info. At current battery drain rate, it’ll be 2 months max.",Poor Motion Detection Zone Coverage
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,1.0,Reviewed in the United States ,14 Aug 2020,The Vid Pro,"I have a dozen of these Stick-Up cameras.  Ring use to be amazing, now they are Junk.  Terrible customer support. Good Luck EVER trying to talk to a live person. ""Product Support is temporarily unavailable.""  Two weeks???  That's NOT ""Temporary""! I have two Ring commercial accounts, I own two full ring alarm systems, and each has a dozen or so sensors.  I also have 18 Ring cameras at two locations.  All the outdoor cameras are located under eaves or overhangs, and work fine.  I tried locating one out in an unprotected area, and the first rain storm it flooded and no longer works properly. And yes, it was installed 100% correctly.  I've tried repeatedly to get help from Ring, to no avail.  Customer support is now just a computerized loop of canned support answers.  So VERY VERY DISAPPOINTED.  I cannot recommend RING products to ANYONE.","CAMERA LENS FULL OF RAIN WATER, NOT SUITABLE FOR OUTDOOR USE!! ZERO CUSTOMER SUPPORT!!!"
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,1.0,Reviewed in the United States ,07 Dec 2019,Running Man,Be careful.  They recently changed the design and you can’t swivel it to mount on a roof. They want you to purchase a $20 kit.  They also don’t give you the tools anymore.  There is a reason why the price is a little cheaper. Not at all happy with the changes.,Watch out for recent changes to this device
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,1.0,Reviewed in the United States ,23 May 2020,Mike,"After having device for 4 months it started showing ""critical low battery"" on the app.  This is a constantly plugged in device.  I called Ring support and they told me first that they would turn it over to engineering, then told me that they were working on it and tried to give me two options.  The first was a ""work around"" to where I have to treat this device differently than the 3 other Ring products I have while I sit back and wait for them to do something to fix this.  The second option was to buy a new battery, to which I explained I would have to climb up on the side of the house to swap a battery that I had no idea was not going to put me back in this same situation 4 months from now.  Crappy support answer.  I've put in for a warranty replacement, will update after that process runs its course.",Low battery on a plugged in device
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,02 Dec 2019,Jeremy Teran,"I didn't need a doorbell camera so I was looking for something I could mount somewhere on my porch.  Setup and installation was very easy.  The battery life has been great.  I turned off notifications, which is supposed to help with battery life.  The only 2 drawbacks I have seen is the Live Mode doesn't takes a while to come up, if it comes up at all, despite my router being less than 10 feet from the camera.  The router is indoors and there is an exterior brick wall between the router and camera, but that shouldn't be enough to degrade the signal as much as it has.  If I wanted to use live view to communicate with someone outside, I don't think it would be an effective option.  The other drawback is that the video quality isn't great when you zoom in.  So if someone walks by the house and does something to a vehicle, or the mailbox, it would be very hard to get enough detail to identify someone.  I still recommend the product though, just know it may have some limitations that could be a showstopper for some use cases.","Good buy, limited WiFi and zoom detail."
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,1.0,Reviewed in the United States ,16 May 2020,Linda Schriber,"Installed cam, and after it did its software update, got message that “battery is critically low”.  Interesting, as it is a WIRED cam. Got a hold of support, had me do a reset, which meant had to get ladder back out to go reset it.  When it first came up, no live video and after a second reset, got video, but critically low battery message still there. Can only get live view with my iPhone but not with iPad Pro. Deleted and reinstalled app, no joy. Joined a Ring Community thread and found that almost every cam has the same issues. I have been copied in on literally hundreds of emails from user’s experiencing same. This has now been almost 3 weeks and Ring, (an Amazon Company, I think), does not appear to have any ability to fix it, much less issue a statement on their site that acknowledges the problem. I have several other Ring products, and have been very satisfied, however, I won’t be buying any more products or recommend any until they get their act together.",HUGE SOFTWARE PROBLEM
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,11 Oct 2020,Single Dad,"Purchased two of these but so far only have put up one. Purchased the battery version this way when the power goes out the cameras are still active as long as your router and modem are active.  Our modem and router are on a UPS or a uninterrupted power supply so as long as the power the modem and router are working the video will the recorded when the cam motion sensor detects someone there. My complaint is the mounting bass which is screw to the wall the mounting holes go horizontal but the studs in the garage are vertical.  To make sure the two screws were in solidly mounted the base sideways.  Not the best mounting because what is the bottom comes a bit away from the base. Those who designed this should have considered putting another vertical hole in it as well, that the bracket could be mounted to a vertical 2 x 4 stud. Will be also adding a DC power adapter with a smart plug to occasionally top off the charge on the battery so it's always fully charged. According to ring you can't do this but I have already tried it and it works fine but the DC adapter that's available is a little too strong so you have turn off the power to prevent the battery from being overcharged.","Camera works well, mounting on vertical studs a fail."
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,1.0,Reviewed in the United States ,25 May 2020,RichardS,"I finally caved and bought the Plug-In version of the camera. After installation it shows an error message that the battery is critically low and live view is not possible. This is the PLUG-IN version and it does NOT include a battery. Googling the issue you'll find many people with the same problem. Ring gives this as the solution: ""Confirm the device your have is the Stick Up Cam Plug-In, and that the battery is not installed in the device. If you have a battery operated Stick Up Cam, please create a new thread on your concern. Next, ensure the power source field says power outlet or electrical socket. Try removing the battery from the Stick Up Cam Plug-In, leaving it out for a minute or two, and then inserting the battery again. While this is a Plug-In device, you can twist the bottom of the compartment to remove and re-insert the battery if applicable."" Note that they ask you to verify it has NO battery. Followed by the advice to remove the battery in the next sentence. Again, this is the plug-in version and it does not include a battery. I do hope that they will release new firmware for their device, clearly the firmware it updated itself to is not meant for this camera. Unless you're planning on spending more money and getting a battery for your plug-in version I would not recommend buying one at this time. Update: I decided to buy a battery to see if it resolves the issue w the battery. It didn't. And the battery wont charge up either. Made no difference. On top of that the camera starts recording a few seconds after beginning of motion and sometimes not at all. My kid riding her bike in front of it didn't set it off most of the time. So it's going back to Amazon and I am trying out a different brand. Bummer.",Major Firmware Issues
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,17 Jan 2020,Tony,"I bought one of these on Black Friday and since day one, intermittent signal, it would not show me live view, it would disconnect from the modem and not work at all. I called Ring customer support and they tried to fix my issues. Spent 3 hours on the phone with a technician diagnosing all the issues such as going into my wifi router settings and reserving an IP for it and countless other things that I dont want to bore you with. In the end, they told me the problem was not the camera, it was my router because they were able to connect it through my Cell phone hotspot. PLEASE, do yourself the favor and just order a replacement if you are having problems like me. As soon as I got my new replacement the new camera worked flawlessly. There seems to be quality control issues with some of these models especially the black Friday ones so make sure you get a replacement and dont take the Ring support “it’s your router” problem.",If Your Camera Doesn’t Work Read This
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,04 Jun 2020,Chris,"Update: Thanks to Jason of ring, i was able to get this matter resolved. He walked me through some troubleshooting and determined the camera was in fact dead and sent us a replacement. So here are some basics if you are considering these cameras for yourself. Alexia: So when I first bought these for my grandmother, I had them working on my amazon account, but unfortunately at the time and possibly still as of writing this, there is no way to have motion alerts brought up on a single alexia. So I was getting alerts for both my camera and my grandmothers. To fix this i made her a amazon account of her own, and migrated her ring cameras to another account. Battery: My camera only needs the battery swapped out once every month unless there is a lot of traffic in front of my door. I recommend buying an extra battery and when you know you will have to swap out, charge it the night before and change it in the morning. you'll be able to see how much battery is left via the app and Ring will email you when its time to charge as a reminder. Solar Panel: I had no luck with the solar panel given my location, I can only recommend a solar panel addition if you are in a really sunny area and/or the camera gets sun. Plug in: The Plug in comes with a cord and a outdoor adapter. The outdoor adapter can act as a extension cord that gives you a giant extra length of cord to give yourself some room to play with when setting it up inside or out. I̶ ̶b̶o̶u̶g̶h̶t̶ ̶t̶h̶i̶s̶ ̶f̶o̶r̶ ̶m̶y̶ ̶g̶r̶a̶n̶d̶m̶o̶t̶h̶e̶r̶ ̶a̶n̶d̶ ̶o̶n̶e̶ ̶o̶f̶ ̶t̶h̶e̶ ̶c̶a̶m̶e̶r̶a̶s̶ ̶h̶a̶v̶e̶ ̶d̶i̶e̶d̶.̶i̶ ̶c̶o̶n̶t̶a̶c̶t̶e̶d̶ ̶t̶h̶e̶m̶ ̶t̶h̶r̶o̶u̶g̶h̶ ̶e̶m̶a̶i̶l̶ ̶a̶n̶d̶ ̶2̶ ̶d̶a̶y̶s̶ ̶l̶a̶t̶e̶r̶ ̶i̶ ̶g̶o̶t̶ ̶a̶ ̶r̶e̶p̶l̶y̶ ̶t̶h̶a̶t̶ ̶i̶ ̶h̶a̶v̶e̶ ̶t̶o̶ ̶c̶a̶l̶l̶ ̶t̶h̶e̶m̶ ̶d̶u̶e̶ ̶t̶o̶ ̶C̶o̶v̶i̶d̶ ̶1̶9̶ ̶(̶s̶e̶r̶i̶o̶u̶s̶l̶y̶,̶ ̶t̶h̶a̶t̶'̶s̶ ̶t̶h̶e̶ ̶g̶o̶ ̶t̶o̶ ̶e̶x̶c̶u̶s̶e̶ ̶f̶o̶r̶ ̶e̶v̶e̶r̶y̶o̶n̶e̶ ̶a̶s̶ ̶t̶o̶ ̶w̶h̶y̶ ̶t̶h̶e̶y̶ ̶c̶a̶n̶'̶t̶ ̶d̶o̶ ̶t̶h̶e̶i̶r̶ ̶j̶o̶b̶)̶ S̶o̶ ̶w̶h̶e̶n̶ ̶I̶ ̶c̶a̶l̶l̶e̶d̶ ̶a̶n̶d̶ ̶t̶r̶i̶e̶d̶ ̶g̶e̶t̶t̶i̶n̶g̶ ̶t̶h̶e̶m̶ ̶t̶o̶ ̶r̶e̶p̶l̶a̶c̶e̶ ̶i̶t̶ ̶u̶n̶d̶e̶r̶ ̶i̶t̶s̶ ̶w̶a̶r̶r̶a̶n̶t̶y̶,̶ ̶t̶h̶e̶y̶ ̶g̶a̶v̶e̶ ̶m̶e̶ ̶a̶ ̶b̶u̶n̶c̶h̶ ̶o̶f̶ ̶b̶u̶l̶l̶c̶r̶a̶p̶ ̶a̶b̶o̶u̶t̶ ̶h̶o̶w̶ ̶e̶v̶e̶r̶y̶t̶h̶i̶n̶g̶ ̶i̶s̶ ̶w̶o̶r̶k̶i̶n̶g̶ ̶f̶i̶n̶e̶ ̶o̶n̶ ̶t̶h̶e̶i̶r̶ ̶e̶n̶d̶.̶ T̶h̶e̶ ̶c̶a̶m̶e̶r̶a̶ ̶i̶s̶ ̶d̶e̶a̶d̶!̶ ̶i̶t̶s̶ ̶b̶e̶e̶n̶ ̶d̶e̶a̶d̶ ̶s̶i̶n̶c̶e̶ ̶M̶a̶y̶ ̶2̶0̶,̶ ̶2̶0̶2̶0̶.̶ ̶I̶ ̶d̶o̶n̶'̶t̶ ̶c̶a̶r̶e̶ ̶i̶f̶ ̶t̶h̶e̶y̶ ̶a̶r̶e̶ ̶n̶o̶t̶ ̶h̶a̶v̶i̶n̶g̶ ̶n̶e̶t̶w̶o̶r̶k̶ ̶p̶r̶o̶b̶l̶e̶m̶s̶,̶ ̶t̶h̶e̶ ̶p̶r̶o̶b̶l̶e̶m̶ ̶i̶s̶ ̶w̶i̶t̶h̶ ̶t̶h̶e̶ ̶c̶a̶m̶e̶r̶a̶!̶.",Had some issues but it was resolved
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,5.0,Reviewed in the United States ,24 Oct 2019,David S.,"I have a much better security camera system for my home's exterior but thought I might try one of these cams indoors since I have the Ring alarm system and a Ring Doorbell already.  I made the silly mistake, I guess, of assuming there would be some kind of integration with other Ring products - there isn't.  None.  Not a single thing. It seems like common sense to me that they'd integrate in a couple of ways.  I assumed that I'd be able to tell these cameras to only sense motion if the alarm was armed.  Nope. I figured I could at least set it to detect motion when I wasn't in the house.  Nope.  There isn't even any kind of proximity setting for it to even know if you're home or not.  They are not location aware in any way.  The Ring alarm system isn't either, so I suppose I should have known better already. I also assumed that if my Ring alarm went off the cameras would automatically come on and start recording.  Nope! The only motion option at all is to not alert you to motion during specific hours.  Note, this doesn't stop motion detection during these hours, it only stops the alerts. Motion detection/recording is only an on or off thing... absolutely no options whatsoever. Annoyed by the lack of integration I still mounted the camera in my great room.  I figured I try it for a few days and see how long the battery would actually last with motion recording on.  This is a high traffic area so I wasn't holding my breath... and sure enough, after not even 1 full day the battery is down to 80%.  This is with all the 'battery saving options' on.  This was only a test as I don't actually want recording of any kind going on in my house while I'm home unless the alarm is armed or going off. With absolutely no options, no integration with Ring alarm and no settings to limit it's recording this thing is really only good for one thing; on demand video with no automatic recording.  So, the thing is turned off now, doing nothing.  I can still activate it from my phone to occasionally check my house isn't burning down. Hopefully someday Ring will update the software and provide some common sense integration with it's other devices. This is all a shame as the build of the camera is quite good considering the low price as is the video quality.  The audio isn't great but it never is on cameras of any kind. ***UPDATE*** Ring support reached out to me directly almost immediately after I posted my review (Good on them) and told me how to link the Alarm, somewhat, to the camera.  You have to go into your Base Station settings, then linked devices, then you can set the cameras to record when the alarm goes off - but only then.  Make sure you have the updated app that just came out to do this. I didn't.  Again, the setting is in your base station, not in the cameras. This solved probably the biggest issue I had with the camera.  The rest of my review is still accurate though per Ring support.  Hopefully they'll add the other much needed features in the near future. ***ANOTHER UPDATE*** From Ring Support: ""The Modes feature will be released in November and will allow you to have the option to record motion only if the Ring Alarm System is set to Away Mode"".  This will be a great update and should have been available on launch.  I wonder if they are only just now thinking of it from all the negative feedback and reviews, but glad it's 'coming soon' either way. ***ONE MORE UPDATE*** Ring provided me early access to the 'Modes Feature' and I've been using it for the past few days.  It resolves all the issues I had with the alarm integration.  With modes you can set your cameras to only record when your alarm is set.  They can all be set independently and act differently depending on if you have your alarm set to off, home, or away.  For instance, you can set your exterior cameras to record when your alarm is set to home mode, but have your interior cameras are turned off.  You can set your interior cameras to only record while in away mode, etc. etc.  Or any combination.  The cameras can now be set the same way motion and door sensors can.  This is a great improvement.  They haven't told me exactly when this feature will be made public but have said it will be released 'by the end of the year'. I've increased the rating from 3 stars to 5.  This software update really has resolved every issue I had with the cameras.  I've now ordered and installed an additional 6 for my home. ***LAST UPDATE*** Having the modes features and my cameras set to only pop on and record during an alarm event (which is rare) and be off at all other times, I've had 2 months to evaluate battery life, almost exactly 60 days now.  All my cameras were down to below 10% battery level when I checked them last night.  Given the rate of battery drain I had expected them to last 3 months - though 2+ still isn't bad.  I have two external cameras on my entry gates outside with the solar panel add-on, they stay fully charged at all times even though it's pretty much been non-stop dark and cloudy days here since installation.  They are set to record all motion and since they point at a street they record events dozens of times per day... so if you're thinking of getting the solar panels for outdoor use, I highly recommend them.",Zero Integration with Ring Alarm
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,5.0,Reviewed in the United States ,03 Mar 2020,Jarrett Brown,The solar panel charges if placed in the sun mine has never dipped below 95. Not a lot of options with this camera like i have with others regarding motion zones and area coverage but for exterior entry doors this is perfect.,It has its place
"Ring Stick Up Cam Battery HD security camera with two-way talk, Works with Alexa - White",1,3.0,Reviewed in the United States ,24 Sep 2020,Mike Mathis,"Great camera for my backyard, the motion sensitivity can become a challenge to dial in. If you connect the solar panel make sure you keep to the battery setup or you will find yourself changing the battery one a week. My WiFi Router is only 12 ft on the other side of the wall and it reports a poor {RSSI-76.0} signal strength. I have another Ring Doorbell/Camera on the front door and it reports the same signal strength and it's about 80 ft away from the router. I can switch fine to Live View and back, just slower than I want with a wireless system. Wish it was better.","Convenent, easy to setup, WiFi is poor."
