product,verified,rating,location,date,author,content,title
"All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze (2020 release)",1,5.0,Reviewed in the United States ,04 Jun 2020,Dajaab,"I don't understand why so much bad reviews ? I received this cam today, already installed at my front door, connected with Ring app... It was so easy ! Picture is clear, 1080HD, wired with my previous bell switch, no worries about the battery... Set up with Ring app takes 10 seconds, same for Alexa, same with my Fridge Samsung Family hub... again, so easy Only one thing matters, a good WiFi. It's the key !  I use 3 Eero pro so I have a strong Wifi everywhere inside and outside of my home but you can also use the Ring Chime pro, less expensive then Eero. It works well, I confirm and I was not paid for this review.",Very happy with this $100 door bell
"All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze (2020 release)",1,3.0,Reviewed in the United States ,05 Jun 2020,User,"I had the original Ring Doorbell for about a year and really enjoyed it. It was cheap but lower quality video resolution. It was fine for the time I had it. When the same thing with improved video was being released, I jumped on it. I received it today and got it installed. The video quality is night and day as shown in the photos and much better than the 1st generation. Good work ring. Unfortunately, the installation and mounting sucks compared to the 1st generation. Why they did this, I have no clue but here are the issues. 1. The mounting plate on the first generation has connections for the wiring. This made it very easy to remove the device and charge, especially in the winter months where we live and the batteries lose charge. 2nd generation has a mounting plate and the wiring on the back of the unit, which was a pain especially when the existing wire is not very long. This will be a nightmare having to remove this and recharge compared to the 1st generation. I had no issues with the 1st generation. This is a failure for Ring in my opinion. I am debating about keeping my 1st  generation instead of this now. 2. The mounting of the device to the frame also sucks. The 1st literally had no gaps and was secure in my opinion. It had guides that made the doorbell align to the mount. The 2nd generation does not and there are gaps all the way around and loose. I mounted it no differently than before, in fact the holes for 1st and 2nd generation are identical which is a plus, but again I see this mounting as a failure for Ring. I literally just installed this, and outside of the perfect video, I can’t attest to motion and nightvision yet. I am disappointed in the execution of mounting the device. I have no idea why this changed this from the 1st generation but this was a bad move in my opinion. I still have no idea why these require a battery they never stay charged when connected to wiring, but I assume this unit will have the same issue for me as well come winter. They really need to rethink the whole battery idea and have a hardwired version and battery version or fix the way these thing function when power is applied. At this point I may deal with it and hope Ring fixes these mounting and wiring flaws. If this mounted the same way as the 1st generation, I would not be writing a review because I had no issues with the device other than the battery and that wasn’t enough for me to write a review. Excellent otherwise but seriously why did you change the way these mount? ***Update 6/6/2020*** So I decided to keep it primarily because I had already offered to sell my 1st generation to a neighbor, but I did end up having to make some changes. Ultimately I bought some spade terminals and soldered them to my doorbell wire with heat shrink tubing (Ring provided in older versions, but not this one for some reason). While it was easy for me, it won’t be for others. Overall I am still upset over this mounting as it is extremely poor execution when the previous version was perfect. I guess this is Rings way to get the price down to $99 by cutting corners. The doorbell it self seems quality but mounting just plain sucks. I have no other words for it. You can see my updated photos of what I did. There are two photos that show the camera quality difference. The low quality image is from a generation 1 ring and the better quality HD is from the generation 2 ring. Night vision appears to be decent and motion the jury is still out because of the People only filter. I am still trying to tweak it. I am still leaving only 3 stars because of the mounting issues and there is still a gap between the mounting plate and the doorbell. Maybe Ring will fix and send everyone a new mount, but that is wishful thinking.","Better video quality, poor installation and mounting (Updated 6/6/2020)"
"All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze (2020 release)",1,1.0,Reviewed in the United States ,05 Jun 2020,sean branstetter,Returning this device after waiting over a month for it and now I’m mad. The way it comes you can’t even install on vinyl siding because there is no bracket to hold it off the uneven surface. Then they moved the wiring bolts to the back of the device itself so if you have shorter wires it’s impossible to connect. I’ve seen the first gen ring doorbell and they changed everything about it. Why make a product that you can’t mount and not include the right mounting brackets that’s stupid.,Mounting on vinyl is impossible
"All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze (2020 release)",1,1.0,Reviewed in the United States ,09 Jun 2020,logchief,Misleading and very displeased...I expected a battery removal but now realizing that it’s called 2 gen meaning not the ring 2 with removal battery...RIDICULOUS!!!! Now I have a additional battery I bought that I can’t use...pissed off!,Misleading on battery!!!
"All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze (2020 release)",1,2.0,Reviewed in the United States ,04 Jun 2020,Christopher,"Image in product listing is of matte/solid color (I already own one of these in Venetian Bronze, and it looks like the product image here). The device I received has a texture to it and the finish has a faux-sandblasted quality to it with antique copper faux highlights mimicking lighting effects (I suppose) which does not match the image in the product description or the image on the box itself. It is NOT unattractive, all I am saying is it doesn't look anything at all like the image (originally) posted to this product listing or the image on the box, both of which depict a  smooth and consistent matte gray. I also did not realize Ring 2nd Gen is NOT the Ring 2, which has been consistently referred to everywhere as the 2nd generation of the Ring doorbell, just as most people are referring to the Ring 3 as the third generation. The branding is terribly confusing and I think Amazon should brace for a LOT of returns from customers who presume, as I did, that I was ordering an update of Ring 2 and will be disappointed to discover the battery is not swappable inf R2G. That’s not why I sent it back, I sent it back b/c it was hideous (individual tastes will vary of course). A much better name for the device would be “Ring 1 (Second Generation)”. That’s MUCH clearer. Returned.",Product Looks NOTHING Like This
"All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze (2020 release)",1,4.0,Reviewed in the United States ,05 Jun 2020,Mr Richie,"Well where do i begin? I thought i was ordering the one with the removable battery but it was this one instead. I guess i'll hard wire it so i don't have to babysit my doorbell battery wise. Good 1080p Hd Video. good sound that comes put of the door bell (your voice). I also ordered the ""All new ring chime pro"" Only because it doubles as a door bell & a router extender. Have fun with it & stay safe.",Hmmmmm....
"All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze (2020 release)",1,2.0,Reviewed in the United States ,05 Jun 2020,JLO,"New Design Ring gen 2 is NOT backwards compatible with anything but the app  , battery is built in , mounting brackets are different size , hell even the screw driver is different , I was looking forward to having the ring video doorbell 2 only to find out it is anything but the ring video doorbell 2 It is a totally different everything , You have to remove the entire camera to charge it also.",why change a good thing
"All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze (2020 release)",1,1.0,Reviewed in the United States ,17 Jun 2020,Ashley,"I've been using the ring doorbell for about 6 weeks now. Overall, the performance is very poor compared to other ring devices. I use the ring security system and monitoring inside of my home, and figured adding the doorbell would be a good addition based on my success with their other products. However, the doorbell all around is ineffective and an embarrassment to the company. Installing and setting up with the instructions is pretty straight forward. It took three separate attempts to connect to my phone and app before it finally did though. The picture quality is good for both day and night. The doorbell DOES NOT pick up on most motion though. It DOES NOT even pick up my mail carrier putting mail into my mailbox, which is directly next to the doorbell on my porch. Not only does it not register motion, but it sends NO notifications to my phone. I've tried reconnecting the doorbell to my app and wifi, tried downloading the ring app again, changed settings in my phone, done everything I can think of but still cant get it to work. Overall - the doorbell doesnt register motion, doesn't record motion, and doesnt give notifications. SO IT IS USELESS.",USELESS - doesnt record motion or give notifications.
"All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze (2020 release)",1,5.0,Reviewed in the United States ,05 Jun 2020,Danielle Cadier,Works great and looks great. Took 10 minutes to update and 5 to install.,Looks and works great.
"All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze (2020 release)",1,4.0,Reviewed in the United States ,04 Jun 2020,Britt,This is my first Ring doorbell. I followed the instructions (which were quite thorough) for an easy hardwire setup. I played with the settings for a while until I managed to find the right setup for me. The sensitivity is surprisingly accurate and the quality of video is pretty good for what it is. No issues here.,About what I expected
