product,verified,rating,location,date,author,content,title
"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",1,1,Reviewed in the United States ,1-Jun-17,Loki,"Update Jan 2018: I'm giving up on these. I had two of them (this and a Ring 2) and they both miserably fail to do their job properly. Frequent disconnects from the network (when I know the network is fine), several minute delay of relaying a ring to the chime and phones, not announcing that batteries are about to go (so they don't work for days until someone knocks and I know the doorbell is no longer online because of the battery), and I can't use them at all to detect motion due to its inferior motion detection system, abysmal interface and total lack of options for mounting and software knobs to achieve a somewhat sane surveillance mode, so it's just an expensive doorbell, nothing else. Doesn't even work half of the time. Two different models! I have to say that customer service, once I escalated the original issue, was superb in that they tried replacing the original one and then were nice enough to send me a Ring 2 without charge. Sadly, the product is not on par with this. I can't wait for the Blink version to come out to try that, but for now I'll go back to my simple, dumb 20 bucks doorbell set. This one never failed me, once: SadoTech Model CX Wireless Doorbell with 1 Receiver Plugin and 2 Remote Buttons Operating at over 500-feet Range with Over 50 Chimes, No Batteries Required for Receiver, (White), Fixed Code C Series June 2017: When I first installed the door bell it worked somewhat great, with all the motion detection bells and whistles turned on. I also have a Chime so I can hear if someone rings the doorbell without having to rely on my phone all the time, and added the 30 bucks a year subscription to save motion/ring events in the cloud. After a few months the nightmare of constant noise/notifications from motion alerts started. Nothing had changed. Neither the position of the device, the settings, or frequency of traffic. I emailed support, which was an utterly disappointing experience. They first tried to get me to change the settings to make it less chatty. When I questioned that, they tried to explain how the motion detection works and that the range control doesn't actually control the range but size of heat signatures picked up by the motion sensor. Say what? Fine. Don't care, just tell me how to fix it. They recommended pointing it down a bit more (by buying one of their wedge kits), which I did. No change. Change settings again, no change. I recommended to add a still image behind the range settings screen at some point so I don't have to keep printing out screenshots of the range settings view and a live view screen to overlay them (which apparently, since the range doesn't do what it says on the tin, is utterly useless anyway) - ignored (this is of course reserved for the more premium model). Multiple back and forth emails later and I still can't use motion detection (which now also seems to eat up all the battery every 2-3 weeks - because for whatever reason motion detection and silent reporting still happens even if it's ""turned off""). They continuously fail to address my concern that nothing has changed on my end and it has to be a camera/doorbell issue. When I cancelled my subscription and asked if I can get a partial refund, they stopped responding altogether. I'm about to ditch this thing, go back to my cheap wireless doorbell and add a SmartThings integrated camera to watch over the front porch. This product is utterly useless for this purpose, and I don't need a brick as a doorbell that needs to be charged every three weeks. For a device that costs 200 bucks (I include the cost for the video storage subscription here) I expect more - it should work, I shouldn't have to learn or understand the inner workings of the motion detection mechanism, the UX should be intuitive, I expect decent battery life, proper and working functionality, and customer service should be stellar. None of that applies, unfortunately. Update from June 2017: After I could not find any setting to quiet down the motion notifications, customer service kindly sent a replacement and I returned the original. Unfortunately the same issues are still happening. I just can't seem to find any setting that's not going to make the doorbell go after every car going by even with the motion detection turned off. I have it set to the least sensitive settings, purchased a wedge kit to point it downward to avoid the street, and changed motion zones to all conceivable options, all to no avail. All points to software faults at this point (and perhaps systemic hardware design issues as well). The device is therefore useless for me for the following points: * I can not turn off the motion detection completely, even if I turn it off on the app it still triggers. It's ridiculous that turning it off doesn't work or is just per app suppression of notifications! * My partner's phone app which I have shared the door bell with also has the motion detection turned off but still gets the notifications. * The constant reacting to motion drains the battery - I don't have a regular doorbell outlet and am not willing to invest in custom wiring to feed it with power. That's the whole reason I've bought this device so I can be independent of a power supply! I am extremely unhappy with this.","Not ready for prime time: Too many motion events, terrible battery life, no resolution for problems reported."
"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",1,1,Reviewed in the United States ,20-May-16,JL,"UNRELIABLE! After installing the new Ring Pro doorbell, it was working for about 2 weeks. Then it just stopped working. The problem is that it stopped working after Ring pushed an automatic update to the doorbell (BTW there is no option to control this). So the doorbell doesn't work.Takes hours to reach the customer service. They tell me that there is some ""trending problem"", and promise it'll be fixed that evening. After 3 days, NOTHING, still broken! They don't even push an email to existing customers apologizing, or notifying of the issue as a courtesy. It's been 3 days with a completely broken doorbell. Nest, alarm systems, etc. always work; this Ring does not. You don't realize how much of a problem a broken doorbell presents until... it's broken! Kids, friends, deliveries, etc. Remember, you have to pay someone to install, AND re-install your old doorbell. This went into a stucco painted wall, so putting back the original doorbell is expensive. Don't waste your time and $$$.",UNRELIABLE!!
"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",1,4,Reviewed in the United States ,14-Sep-16,Lisa427,"I have only been using the Ring for a couple of weeks now but so far it seems worth the cost.  I don't mind the $30 per year cloud storage fee as I'd much rather not have to house the hours of video data this thing records each day in being at the front door.  Installation wasn't difficult once we determined we had the right configs.  Things you should know: 1) we tested ring out of the box after a full charge (the ring button will fully circle with blue light when comeplete) and it worked like a dream.  Good picture, although fish eyed, even in the dark.  That surprised me. 2) we then installed the ring hard wired to our existing doorbell. The doorbell worked, but the Ring video and motion/button notification no longer did. 3) we checked the long list of compatible doorbells that you can find on the Ring website.  While the advertising and box says it works with virtually every doorbell... It doesn't.  We have a Nutone bell. Fairly common.  Doesn't work with ring. I was determined to get this thing working. 4) went to Best Buy and purchased the Ring chime.  It's a plug in ring chime that allows you to install the Ring without hardwiring to your existing doorbell.  So we have the Ring doorbell screwed in to the same place on the doorframe, but the wires are capped off and not connected to Ring. Plugged in and synced up the chime to wifi and it worked.  It's very loud.  You can also hear the Ring chime outside pretty loud so with that plus the Ring chime on every phone, iPad, etc in your house... Maybe not necessary to have the Chime unless you have a 4000+ sq ft house or don't have phones, tablets or computers with Ring app on them near you.  But the plug in Chime was only $30.  To me less hassle and cost than buying and installing a compatible doorbell transformer. 5) Ring began working like a champ.  Then it grew increasingly unpredictable.  We played with the motion settings, decreased it so that cars going by wouldn't alert us of motion at the door, etc.  Butterflies set it off; they say it's heat sensored; not sure butterflies are warm inside, but I digress.  It still works when it needs to ""most"" of the time. 6) As a doorbell, it's flawless.  If someone pushes the button, the video begins.  Talking to the visitor is clear and easy to accomplish.  This is the best feature of the doorbell. 7) motion is hit or miss.  It works, maybe not always, but enough to give me peace of mind on top of my other home security without video capabilities.  Sure I get video at 4am of nothing, so if you are a scared woman living alone this may freak you out more than it helps, but for people with latchkey kids or teens that you want to keep an eye on in terms of verifying they're home or that unwelcome visitors aren't at your home, this is excellent. For people who get deliveries while at work or out of town, or folks who can't get up to answer the door, excellent. To keep intruders at bay... Eh, there are better surveillance systems out there for that. 8) the live view feature does not work if you set up using the not-hard-wired method.  So if doing what I did and using the Ring chime, you will not be able to view live feed from your doorbell.  You'll need the stick up cam.  Didn't know this until after I did all of the above to get this thing functioning.  But, we ended up buying a Ring stick up cam after all to get a better view of the opposite side of our home since the view from Ring is blocked... and we love it. Use it daily. It's motion detection is actually a bit more sensitive but that's okay.  We drilled a small hole in our garage door wall to hard wire electricity to the stick uo cam as it works hard every day and loses battery life in less than 2 months for us. Don't depend on the battery. It will drive you nuts.  Or get the solar charger panel. All in all, I'm happy we made this purchase.  I wonder is the newer version really worth it for ""better"" video quality.  This one doesn't nearly give out 720p so I'm guessing the new version saying 1080p is more like 720. The newer version had some bad reviews in terms of functionality and quality of the doorbell itself so I went with the longer-tested, older version and am quite pleased.  So far so good and worth $200 IMO.  We are still playing with doorbell types and have yet to find one that works after trying two different mechanical transformers.  Customer service was less than helpful and referred us back to the list of tested doorchimes.  If you have one that is not on the compatibility list, chances are it will not work hard wired and you will need the Ring chime.  And again, know that the live feed will not work.  Also concerning charging, it of course depends upon your usage but with a few notifications per day, we notice the battery has drained down about 8% over the last few weeks.  I suspect it will need to be unscrewed and put on the charger within the next 5 months or so at this rate.  If you are hardwiring, it will charge itself.  If you are using the Ring chime and not hardwiring, you will need to charge it using the included USB charger, so expect having to remove it from the front porch every 5-7 months or thereabouts if using this method.  Also don't be afraid to keep playing with the settings... we have managed to get it pretty close to perfect over the last few weeks.  It takes some trial & error.  It still misses some movement, and still picks up nothing... but it's better to have than not, IMO.","It works, but some things you should know first..."
"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",1,1,Reviewed in the United States ,7-Aug-18,Kindle Customer,"I had my ring for little over 2 years and often had issues with the device. Several times,we have had to remove and reset the device. Most recently (in thelast 2 weeks or so) I started getting blank recorded videos (completely black).  I opened a support ticket and I was told they're aware of the issue and I was asked to charge the unit in the house outlet and also perform a reset.  Which I did, but still continue to have same issue.  After going through those two steps provided by the ring support team, the frequency of these blank videos went up.  Finally they told me I need to replace the unit.  here is their exact email...""I’d be more than happy to replace your Doorbell, but I can see that it isn’t under standard 1 year manufacturer warranty""  and my follow up question to them was...am i expected to replace the unit every 2 years and I was told ""The lifetime of the Ring products is more than three years."" Clearly, they have work to do to get the product up to speed. It’s too expensive to have to replace every 2 years. I really liked the unit while it was working, but am just little frustrated by their support and customer service.",Ring Customer support
"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",1,3,Reviewed in the United States ,14-Mar-17,LaLunaTrevor,"I wish I would have spent the extra money for the newer model. My main issue is that the motion will pick up cars driving by on the street 20 yards away, but hardly ever get people walking on the sidewalk just feet from my door, and sometimes I will even get up to the second step of my doorstep only a couple feet from the thing and do a dance and it literally wont get it till I am within a foot of the doorbell. These issues are intermittent and that's the annoying thing. At one point I had it dialed in to not get the cars on the parking lot, but then it would only ever get people if they were literally knocking on the door already, and I don't mean the delay, I mean you could stand there for as long as you want, but till you are right up near the door it wont sense you. Then I dialed it out and eliminated the whole middle section, and that helped with the cars. but because the leftover motion zone was so limited, it would only capture people once they were already past my door. (I live in a townhome, and there is a main walk about 7 feet from my front door). The motion response time, and even the doorbell ring time is so delayed that I will almost always get just the back of people as they go away, even watching the videos after. I know part of it is that my situation isn't perfect for this, being that it only takes a couple seconds to be out of vew of my door and then knocking on it, but still I wish that at least the time from motion to recording was faster, cause then I could at least watch the after videos to see what happened. Like mentioned before, the main thing that bugs me, is I have the motion settings set to only about 10 feet, but they wont get the sidewalk 7 feet away, and only get the road 20-30 yards away every time. My other issue is that this thing is massive. I suppose that may be helpful as a deterrent, but still its a bit of an eyesore up on my porch. This is still a pretty good product, and I feel safer having it on my door, but I wish I would have just spent the extra money fro the upgraded model.",spend the extra money for the new model.
"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",1,1,Reviewed in the United States ,22-Jan-17,Amazon Customer,Installed this a week ago.  Beyond frustrated with it.  The motion detection just doesn't work.  Drives us crazy with too many false alerts (at least 10 a day) or just complete failures (misses mailman entirely every day and won't pick me up at all no matter how much I jump around in front of it).  When it does happen to work it takes at least 2 min to engage and alert us.  By then the person is gone.  Don't blame our wifi.  We have best hi speed offered by ATT and the router is 5 feet away.  Final note:  the design is visually flawed.  It doesn't look like a doorbell so no one uses it.  looks more like a video camera than a doorbell so everyone sees it but knocks on the door anyway instead of pushing it.  We really wanted this to work as we need this level of security at the entry but this just won't do the job.  P.S.  minor issue but now I will have to repair 4 large holes I had to drill into the stucco to mount it.  If you really want to buy this to try it out I highly recommend a temporary attachment of some kind for at least the first few days before committing to a more permanent mount it might save you the hassle of a repair when you inevitably return it.,Too many flaws going to return it
"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",1,1,Reviewed in the United States ,14-Dec-15,JP,"Arrived on time and well packaged.  Instructions were clear and the App was easy to install on my iphone.  Easy to install, and looked great.  The video would pixel and could not clearly show a person if there was light behind the target;  but it was marginally passable.  The audio was just awful.  You could not understand anyone at the door, and they could not understand you.  The audio kept breaking up.  I insured that we were linked on my Netgear router and not my Almond expander.  No change.  I contacted customer support and they basically advised me to reboot the Ring -- that is go thru the setup sequence again.  Did that and no change.  I thought I would work on it later, and then discovered it would not alert me that there was someone standing at the door -- the motion sensor feature did not work well.  Really disappointed.",Did not ring a bell with me.
"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",1,1,Reviewed in the United States ,18-Apr-18,seactygrl,"I bought this back in the fall of 2016. It worked great! I didn’t like that I had to pay a fee per year, but I paid the $30/year.  I had it hardwired to the house, but would have to charge the Ring during our cold winters (-20). That was fine. Then for some reason my live view stopped working. It was hard wired and it said I had 0% battery.  I spent 2 hours on the phone with there troubleshooting team. I factory reset it once, I did the normal reset five times and the answer was—- I have to buy their upgraded protection service for $100 per year. Not happy. Not happy at all. I might as well buy a new Eing every other year for the price they want me to pay for a warranty. How about a product that works???",Didn’t work after 1 1/2 years. Told me to upgrade.
"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",1,3,Reviewed in the United States ,15-Apr-17,William Hoke,"When it works, it's really cool. The video and audio quality are good, and the interfaces easy to use. The online record is easy to access via the phone or web. We can see who came. We have a recording of one oddball coming to the door that I'm happy to have to provide police in case something bad happens. We've been able to confirm that some commitments people have made were actually met. However, it often fails to detect motion, even when someone has passed right in front of it. There are times when we'll come and go right past it, and it will capture nothing. We're probably averaging about a 75% success rate currently. Yes, yes, we've tried changing the settings and re-testing - between 5 and 10 times. At some point, it just gets old. The more devices I buy, the more time I spend taking care of them, and the less time I have for anything else. After a while I think maybe I exist to serve them, and not the other way around. I don't regret this purchase, but I'm conflicted about recommending it.",Great product ... when it works
"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",1,1,Reviewed in the United States ,29-Mar-19,liyipui123,"Here’s what happened in my house yesterday. Some thief stole my Ring Doorbell and did a factory reset, then put it under their account and deleted all the historical videos from there, obviously including their footprint caught by Ring. The whole process is so easy that it doesn’t require any permission from my end. The only notification I got was an email saying, “Your Ring Device Has Changed Ownership”, after the device has been transferred to their account and I already lost access to it. I’ve had Ring Doorbell and Ring stickup camera for over a year with their Protect Plus Plan which stated, “Your Ring videos are stored in the cloud for up to 60 days (in the USA).” However, Ring Support Team told me the videos are gone and they couldn’t recover it. They do offer free replacement on stolen device, which I appreciated, but now I’m seriously concerned with the functionality of this product. 1.  As a security product, why Ring allows factory reset and change of ownership without account holder’s permission? If there’s a permission requirement sent to me (like most security system do nowadays), then I will have opportunity to deny it before they can delete the videos. 2. Since I paid the Protect Plus Plan under my account, I would assume the videos stored in the cloud are associated to my account not with the device. Even if they can delete the video locally stored on the device, why they can delete those stored in the cloud, which supposedly been protected under my account? The logic behind security products like Ring is that you pay for emergency situations like this. If the system only works when nothing happened but failed when thief coming, I don’t think anybody should waste their money.",ALERT! Anybody can steal your doorbell and walk away!
