product,verified,rating,location,date,author,content,title
"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",1,1.0,Reviewed in the United States ,29 Jan 2018,Walt Frank,"Installed today.  Low-volume, garbled audio from the speaker in the doorbell.  Apparently a hardware problem. A replacement will be shipped, but Ring first expected me to wait 7 working days or more for the replacement.  I had to insist on express delivery.  Motion detector works erratically.  Also, I am not receiving tone alerts to my phone when the doorbell button is pushed.  Ring tells me that this is due to a software problem that has to be solved at their end.  Resolution date uncertain.  Overall, performance is nothing like what Ring describes in their TV ads.  I had planned to buy more from Ring, if this first product proved worthwhile. But, after having wasted half a day on this one, I will not be buying anymore Ring products until they give me a basis for confidence.","Avoid this product, at least for the near future"
"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",1,5.0,Reviewed in the United States ,11 Dec 2017,Chrissy Gem,I’ve had my ring doorbell for a couple weeks now and I couldn’t be happier! I moved to a new neighborhood recently and had a lot of creepy solicitors come to my home. I paired this with a no soliciting sign. It was packaged with all the necessary tools and mounting plates needed for attaching outside my home. I plugged in the rechargeable battery and let it fully haste before going further. That took about 10 hours.I did not have an existing doorbell so I was able to mount it and set upnrahee quickly. This does come with everything you need to wire into an existing doorbell if you choose to do so. Once I figured out the best placement for my doorbell using the side angles mount I was able to attach it in minutes. I downloaded the app for the Ring doorbell and completed the set up. Once attached I placed the last security screw and was ready to go! I also purchased a chime for indoor use which is just an extra device that plugs into any outlet and rings nice and loud so you are sure to hear the doorbell. My ring is set so that it senses motion about 15 feet away. Once it senses that Ring alerts my phone and the doorbell and the chime room no to alert me someone is approaching. Video has been very clear and I love being able to talk and see whoever is outside my door without opening the door. Works great with the night vision.As a single woman living alone this is a must in today’s society. I feel much safer knowing I can look outside at a live view anytime I need to. Comes with stickers you can place on a window or door letting people know that there is video surveillance.,A must for home security
"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",1,1.0,Reviewed in the United States ,20 Feb 2018,LJ Bujak,Your browser does not support HTML5 video. Beware:  Company & Products are both very Disappointing...  First unit [RING 2]  I received early October '17 was DOA - Replacement unit has had intermittent problems from first week installed.  Camera failed completely in November 2017; unit transmits Video that is recorded as just Black/ with Noise! Still fighting with RING to get a replacement – No Success;  dozens of emails with most going Unanswered.  When I did get a response its NOT from Tech Support or Customer Service or Product Management  ~~  it's from a Social Media Community something person that is totally clueless. The RING Chime also is intermittent.  I don't know how RING stays in business!  -LJ,Beware:  Company & Products are both very Disappointing..
"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",1,1.0,Reviewed in the United States ,13 Aug 2018,Another Consumer,"This product is not worth the money one that I regret purchasing.  Do not buy without reading. Pros Easy to setup Great documentation Cons Requires monthly service plan (while it is cheap, it adds up over time) video quality is poor and choppy no feature to send still image of what triggered motion sensor When battery starts to go dead, the unit triggers random motion sensor chimes that are confusing and annoying Once the trial is up, no storage of videos and no local storage options. Once the trial is up, alerts and notifications are delayed to the point that the person/thing that triggers the motion event are gone. Requires very fast broadband connection (min 50 - 100Mbps) Always on/Live View is the only way to view video whenever you want but it drains the battery very fast Will not work with Blue Iris and other software packages for local video storage. Bottom Line --------------- If you are non-technical and willing to pay for a service plan then this could be the product for you.  There are better options out there if you are remotely technical or if you are willing to learn.  If you care about your privacy and storing your data, then this is not the product for you. I had reasonable hopes for this product.  I was hoping for timely alerts, clean video feed, simple setup, and no need for a traditional doorbell setup.  Now this product is reduced to a standard doorbell.  All because Ring wants to force you into a monthly service plan, snoop through your data, and control you as the consumer. This product could be so much better.",This product is a huge dissappointment
"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",1,3.0,Reviewed in the United States ,09 Aug 2017,Doug W,"I have mixed feelings about this product.  Before I really get started - note that when you look at the reviews they're mixed in with the reviews for the extender - the doorbell reviews are less positive. Anyway, the motion detection is terrible.  It catches cars far off in the distance and misses people walking up onto the porch.  The video quality is good when it works, which is usually.  Sometimes it just records black.  The audio quality is not understandable between the phone and the unit.  The software is kind of iffy - the software for other products like the Arlo is much better, showing useful thumbnails for the video, (and by the way not charging for storage for the first five cameras). I contacted support about the motion detection and the black video and the audio problems.  We've been circling the drain where they keep wanting me to send updated bandwidth figures and rebooting the unit (which improved the video somewhat but not the audio or motion detection) and then after that they want me to call their support number.  So basically they don't have online support, they just have a couple of canned messages that you'll get every couple of days.  Just go right to calling support.",Feels very first generation even though it isn't
"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",1,3.0,Reviewed in the United States ,03 Dec 2018,Kikikins,"Three stars for the peace of mind the Ring provides, great picture quality, and low monthly monitoring cost. Two stars off for bizarre motion sensitivity that significantly lowers the usefulness of the product. My house faces a quiet street that dead ends several homes down, only neighborhood cars and delivery trucks pass by my house.  The front door sits ~10 feet from the street, with a single car driveway on the left half of the property and a small patio and landscaped area (with a tree) on the other.  The Ring is installed at my front door and gets a perfect fish eye view of the patio/landscaped area, with equal views on either side of my driveway on the left and my neighbor's driveway on the right. I have the Ring set to the lowest motion sensitivity, which, according to their chart, means it should only pick up motion right on my patio or the inside edge of either driveway (see picture - the Ring should only pick up motion in the blue areas). 1. People: this works well, but because the sensitivity is set so low, there's a few second delay. It mostly picks up delivery drivers as they are leaving my front porch, unless they're slow to place the package.  This isn't really a huge problem, but if someone were to steal a package from the porch, the camera would not be quick enough to pick up a face. 2. Traffic: it picks up EVERY. SINGLE. CAR. that drives by, even though it's far outside of the selected sensitivity area. I get dozens of notifications every day as my neighbors innocently drive up and down our quiet street. 3. Driveways: It picks up my neighbor's car when they pull into their driveway, but doesn't pick up my car in my driveway.  Even if I park in the driveway, it doesn't pick up any motion until I get out of the car and approach the patio. I can't figure out why it likes their car better than mine, when the field of vision is exactly the same. Ideally, I'd like the Ring to pick up motion on my patio and the closest part of my driveway only. As it is, it only picks up patio motion within a couple feet of the door and nothing in the driveway, but somehow still picks up EVERY CAR in the street. In reality, this camera serves little purpose other than the live view function. I can't check the dozens of motion notifications I get each day when 99% of them are cars. I use the Ring alarm system as well, and I like that this is all in one app (and one price for monitoring). I wish I had more controls around the sensitivity of the camera, and that it was better at filtering out motion outside of the set zones.","Nice peace of mind, but unevenly applied motion sensitivity limits usefulness"
"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",1,5.0,Reviewed in the United States ,05 Nov 2017,Carol H.,"Your browser does not support HTML5 video. Update! See attached video catching delivery person delivering my pkg and then stealing it! I received the Ring doorbell and am very happy with it. It was easy to connect to my wifi and very easy to install. The directions are clear and simple, the best I've seen on a product like this. I downloaded the Ring app on my phone and was immediately able to see video of my front door and communicate with those outside. The range is wide and very clear with sound and color. Awesome product, get it!",Ring Doorbell
"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",1,1.0,Reviewed in the United States ,06 Apr 2018,Mark D. Anderson,"I read reviews, which is why I purchased the product, that were 4 and 5 stars. What I missed was the fact that the reviews were from the product being hard-wired; that is, not using Wi-Fi. I use Wi-Fi: fiber optic cable internet; router w/in line-of-sight and about 20' from an extender; and, router w/in 40' of doorbell itself and 20' from extender. This Wi-Fi use of the product, due to a weak signal despite the close proximity to the router and an extender, causes the video to ""ratchet""; that is, you see someone in motion, then nothing for 4 - 5 seconds, then a brief motion detection again. In other words, useless. A lot of money for useless. Can't return because it has been over 30-days. It took me that long to figure out what was going wrong. DO NOT buy if you intend on using Wi-Fi!",Wi-Fi connectivity can render the product all-but useless.
"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",1,1.0,Reviewed in the United States ,20 Aug 2018,CiraldoFamily,"Imagine leaving your house, getting in your car and then driving away. Then, once you are three blocks away from your house, your phone alerts you that motion was detected at your door. I got that notification this morning. I was the motion, and it took that long to tell me. That's, well...useless. Completely useless. Who needs a doorbell that tells you someone was there a while ago? And if you want to know who that someone was that came to the door ten minutes ago, it won't tell you. Not without a monthly fee, that is. Because, unlike it's competitors, there is no video history AT ALL unless you pay for it. For as much as Ring charges, you should be able to expect it, at a bare minimum, to be reasonably responsive and to allow you to at least see a live feed of the camera and a picture of who was there without having to pay for it. I could not be more disappointed in this device.","Unreliable, Unusable without paying for additional features"
"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",1,1.0,Reviewed in the United States ,03 Jan 2018,NeverFinished,"Biggest waste of money I've made in a long time. Bought this in mid November, 2017. Battery goes dead in about a month. Takes hours to recharge. Doorbell is 60 ft from the router. Originally got a weak wifi signal. Spent more money on a Ring Chime Pro. It's 40ft from the router and 20 ft from the doorbell. Still have weak signal issues. Also have 2 Ring Chimes. One loses it's connection to system regularly. I'm resetting something every few days. After the first 30 days you have to have the subscription to access your recored activity. The final straw is it takes a minute or more to access the app to answer the doorbell. Whoever rang it is gone by then. Don't buy this product. It's not worth a damn.",Very expensive unreliable doorbell.
